timestamp	remote	refid	st	t	when	poll	reach	delay	offset	jitter
1740232526	213.5.132.231	145.185.133.33	4	u	59	64	377	34.469	-14.073	48.932
1740232526	150.241.82.187	193.182.111.13	3	u	57	64	367	66.581	+46.757	31.494
1740232526	159.196.178.7	.PPS.	1	u	61	64	377	295.743	-31.768	26.968
1740232526	202.65.114.202	202.65.114.203	2	u	58	64	377	216.438	+6.475	35.272
1740232526	2a01:258:fffe:f	193.120.142.71	2	u	57	64	377	38.375	+8.914	32.574
1740232526	2603:c020:0:836	128.138.140.44	2	u	63	64	377	185.345	-23.551	40.647
1740233738	213.5.132.231	145.185.133.33	4	u	30	64	377	32.845	-5.825	6.128
1740233738	150.241.82.187	193.182.111.13	3	u	32	64	377	62.523	-5.295	4.704
1740233738	159.196.178.7	.PPS.	1	u	34	64	377	304.526	-20.162	31.028
1740233738	202.65.114.202	202.65.114.203	2	u	22	64	377	215.020	-8.388	33.008
1740233738	2a01:258:fffe:f	193.120.142.71	2	u	27	64	377	26.234	-2.956	24.725
1740233738	2603:c020:0:836	128.138.140.44	2	u	27	64	377	180.673	-19.230	3.443
1740234946	213.5.132.231	145.185.133.33	4	u	66	128	377	32.983	+3.612	4.993
1740234946	150.241.82.187	193.182.111.13	3	u	63	128	377	62.665	+1.800	5.497
1740234946	159.196.178.7	.PPS.	1	u	52	128	377	321.411	-1.570	35.295
1740234946	202.65.114.202	202.65.114.203	2	u	119	128	377	215.484	-4.635	31.465
1740234946	2a01:258:fffe:f	193.120.142.71	2	u	65	128	377	23.667	+8.115	4.483
1740234946	2603:c020:0:836	128.138.140.44	2	u	130	128	377	195.104	-7.888	1.796
1740236156	213.5.132.231	145.185.133.33	4	u	84	128	377	30.801	+0.948	3.151
1740236156	150.241.82.187	193.182.111.13	3	u	88	128	377	57.901	-1.680	4.657
1740236156	159.196.178.7	.PPS.	1	u	84	128	377	301.274	-16.730	16.612
1740236156	202.65.114.202	202.65.114.203	2	u	6	128	377	215.650	-3.137	1.659
1740236156	2a01:258:fffe:f	193.120.142.71	2	u	81	128	377	24.165	+3.802	5.170
1740236156	2603:c020:0:836	128.138.140.44	2	u	18	128	377	185.933	-15.906	1.227
1740237365	213.5.132.231	145.185.133.33	4	u	108	128	377	33.070	+0.575	2.795
1740237365	150.241.82.187	193.182.111.13	3	u	121	128	377	65.274	+0.081	1.549
1740237365	159.196.178.7	.PPS.	1	u	106	128	377	307.935	-13.482	23.426
1740237365	202.65.114.202	202.65.114.203	2	u	30	128	377	219.183	-5.931	1.771
1740237365	2a01:258:fffe:f	193.120.142.71	2	u	106	128	377	25.832	+4.774	2.960
1740237365	2603:c020:0:836	128.138.140.44	2	u	51	128	377	184.826	-17.325	1.732
1740238572	213.5.132.231	145.185.133.33	4	u	128	256	377	33.070	+0.575	0.587
1740238572	150.241.82.187	193.182.111.13	3	u	18	256	377	61.788	-0.117	0.735
1740238572	159.196.178.7	.PPS.	1	u	12	256	377	300.445	-18.472	29.400
1740238572	202.65.114.202	202.65.114.203	2	u	40	256	377	215.240	-4.332	2.123
1740238572	2a01:258:fffe:f	193.120.142.71	2	u	265	256	377	24.406	+3.272	3.045
1740238572	2603:c020:0:836	128.138.140.44	2	u	73	256	377	183.681	-17.182	2.957
1740239785	213.5.132.231	145.185.133.33	4	u	33	256	377	29.524	+0.047	1.106
1740239785	150.241.82.187	193.182.111.13	3	u	169	256	377	61.788	-0.117	1.413
1740239785	159.196.178.7	.PPS.	1	u	159	256	377	300.445	-18.472	21.244
1740239785	202.65.114.202	202.65.114.203	2	u	207	256	363	212.034	-4.548	1.912
1740239785	2a01:258:fffe:f	193.120.142.71	2	u	153	256	377	24.940	+6.712	1.055
1740239785	2603:c020:0:836	128.138.140.44	2	u	219	256	377	180.389	-13.754	1.606
1740240997	213.5.132.231	145.185.133.33	4	u	191	256	377	28.801	+0.410	1.688
1740240997	150.241.82.187	193.182.111.13	3	u	51	256	365	62.650	-0.122	2.628
1740240997	159.196.178.7	.PPS.	1	u	69	256	377	301.755	-15.123	14.616
1740240997	202.65.114.202	202.65.114.203	2	u	95	256	177	212.034	-4.548	2.292
1740240997	2a01:258:fffe:f	193.120.142.71	2	u	47	256	377	24.940	+6.712	0.882
1740240997	2603:c020:0:836	128.138.140.44	2	u	102	256	377	180.389	-13.754	1.360
1740242198	213.5.132.231	145.185.133.33	4	u	72	256	377	32.312	+2.771	1.223
1740242198	150.241.82.187	193.182.111.13	3	u	202	256	133	64.204	+2.646	1.696
1740242198	159.196.178.7	.PPS.	1	u	237	256	377	302.473	-14.154	10.833
1740242198	202.65.114.202	202.65.114.203	2	u	5	256	377	217.281	-5.171	2.711
1740242198	2a01:258:fffe:f	193.120.142.71	2	u	182	256	377	22.422	+5.857	2.431
1740242198	2603:c020:0:836	128.138.140.44	2	u	262	256	377	182.811	-12.583	1.450
1740243400	213.5.132.231	145.185.133.33	4	u	211	256	377	32.312	+2.771	1.338
1740243400	150.241.82.187	193.182.111.13	3	u	87	256	177	61.794	-0.073	2.232
1740243400	159.196.178.7	.PPS.	1	u	124	256	377	302.473	-14.154	10.404
1740243400	202.65.114.202	202.65.114.203	2	u	146	256	377	217.419	-5.514	3.041
1740243400	2a01:258:fffe:f	193.120.142.71	2	u	58	256	377	22.422	+5.857	2.632
1740243400	2603:c020:0:836	128.138.140.44	2	u	141	256	377	183.171	-14.969	2.419
1740244608	213.5.132.231	145.185.133.33	4	u	96	512	377	30.089	-2.940	5.540
1740244608	150.241.82.187	193.182.111.13	3	u	764	256	374	61.794	-0.073	1.912
1740244608	159.196.178.7	.PPS.	1	u	23	512	377	299.728	-16.883	2.142
1740244608	202.65.114.202	202.65.114.203	2	u	28	512	377	218.139	-6.002	2.376
1740244608	2a01:258:fffe:f	193.120.142.71	2	u	488	512	377	26.175	+3.771	2.980
1740244608	2603:c020:0:836	128.138.140.44	2	u	13	512	377	187.154	-15.460	3.044
1740245810	213.5.132.231	145.185.133.33	4	u	275	512	377	30.089	-2.940	4.572
1740245810	150.241.82.187	193.182.111.13	3	u	140	512	347	62.524	-5.225	4.891
1740245810	159.196.178.7	.PPS.	1	u	174	512	377	299.728	-16.883	2.706
1740245810	202.65.114.202	202.65.114.203	2	u	176	512	377	210.120	-5.795	1.538
1740245810	2a01:258:fffe:f	193.120.142.71	2	u	113	512	377	27.884	-1.490	5.386
1740245810	2603:c020:0:836	128.138.140.44	2	u	154	512	377	186.014	-21.271	5.699
1740247011	213.5.132.231	145.185.133.33	4	u	433	512	377	33.585	-5.726	5.858
1740247011	150.241.82.187	193.182.111.13	3	u	300	512	237	62.524	-5.225	3.297
1740247011	159.196.178.7	.PPS.	1	u	342	512	377	304.476	-23.612	4.889
1740247011	202.65.114.202	202.65.114.203	2	u	324	512	377	210.120	-5.795	1.865
1740247011	2a01:258:fffe:f	193.120.142.71	2	u	270	512	377	27.884	-1.490	3.950
1740247011	2603:c020:0:836	128.138.140.44	2	u	329	512	377	186.014	-21.271	3.689
1740248219	213.5.132.231	145.185.133.33	4	u	45	512	377	33.585	-5.726	7.733
1740248219	150.241.82.187	193.182.111.13	3	u	421	512	177	62.565	-7.301	8.783
1740248219	159.196.178.7	.PPS.	1	u	488	512	377	304.476	-23.612	3.826
