Iteration,Latency/Jitter (ns)
0,30254
1,23962
2,21217
3,30074
4,21668
5,21588
6,17971
7,26688
8,20897
9,20806
10,18672
11,28460
12,22340
13,22169
14,23471
15,30184
16,29292
17,24874
18,37127
19,28521
20,27809
21,37268
22,31567
23,28611
24,31126
25,35243
26,51956
27,34472
28,32368
29,35545
30,14625
31,16338
32,30534
33,28051
34,29793
35,33260
36,26587
37,46044
38,29072
39,27238
40,27950
41,26798
42,32118
43,32779
44,33230
45,110916
46,36596
47,30865
48,37378
49,43249
50,768879
51,23611
52,30705
53,34232
54,34433
55,34031
56,27730
57,27839
58,27650
59,37478
60,21658
61,31046
62,30915
63,35033
64,47327
65,32879
66,40584
67,40724
68,26758
69,34613
70,27068
71,26487
72,26708
73,26607
74,30154
75,33370
76,34882
77,38099
78,35684
79,35304
80,27820
81,27399
82,31436
83,29253
84,28661
85,30825
86,34373
87,34762
88,32128
89,28311
90,27619
91,28421
92,23291
93,30926
94,34412
95,43659
96,114864
97,31116
98,28511
99,32559
100,32648
101,34663
102,28511
103,36176
104,29522
105,28500
106,29552
107,35514
108,64990
109,32769
110,35053
111,35104
112,34061
113,35194
114,37879
115,29042
116,48228
117,36526
118,35985
119,29493
120,54440
121,38600
122,36887
123,43439
124,27810
125,34933
126,34522
127,27399
128,28010
129,29843
130,24503
131,29312
132,33150
133,30064
134,54510
135,31797
136,34462
137,34412
138,39702
139,36366
140,31366
141,28351
142,35214
143,29282
144,31667
145,29242
146,27910
147,29814
148,34993
149,34653
150,41054
151,35625
152,36135
153,44902
154,15016
155,27118
156,30305
157,24734
158,31095
159,30113
160,32478
161,26958
162,37378
163,29413
164,28561
165,30625
166,27168
167,86200
168,38319
169,38891
170,34893
171,36165
172,35605
173,40053
174,35724
175,35114
176,29412
177,46885
178,46686
179,44250
180,40965
181,32258
182,22700
183,37167
184,28101
185,28070
186,29643
187,31036
188,27499
189,30856
190,34422
191,33310
192,46835
193,32308
194,34282
195,34101
196,37628
197,35715
198,28200
199,28250
200,31286
201,30435
202,28862
203,35484
204,33581
205,31637
206,35013
207,31597
208,45703
209,33220
210,46615
211,43710
212,25926
213,34012
214,32749
215,28661
216,27980
217,29313
218,31085
219,28320
220,29162
221,38349
222,32639
223,31456
224,28111
225,28651
226,29523
227,30304
228,27829
229,29954
230,38019
231,35414
232,34492
233,34202
234,34883
235,28662
236,31737
237,29653
238,43940
239,30976
240,30775
241,26097
242,35714
243,10798
244,17620
245,12982
246,34592
247,32559
248,26998
249,27920
250,31797
251,29833
252,29323
253,31106
254,30605
255,32218
256,27980
257,54540
258,37688
259,33871
260,34803
261,27109
262,35163
263,29533
264,30555
265,37919
266,30665
267,26427
268,41115
269,29743
270,31186
271,45793
272,32288
273,35715
274,38861
275,27859
276,26077
277,27880
278,30324
279,22139
280,30415
281,29994
282,34111
283,27730
284,28591
285,29723
286,24143
287,36205
288,31005
289,30275
290,33701
291,35003
292,29262
293,34913
294,29083
295,30885
296,31096
297,27449
298,31106
299,34673
300,34923
301,35755
302,43238
303,35955
304,32178
305,45123
306,29172
307,22259
308,29633
309,31507
310,30655
311,27660
312,29573
313,34131
314,32980
315,27098
316,34593
317,28150
318,32158
319,31346
320,27369
321,86360
322,40464
323,37458
324,37978
325,35313
326,34913
327,30925
328,67024
329,73746
330,70931
331,50632
332,20957
333,39031
334,34532
335,30284
336,25595
337,21488
338,25866
339,21598
340,21238
341,16838
342,25996
343,20205
344,23231
345,21388
346,26286
347,20927
348,21157
349,21899
350,26497
351,20376
352,20185
353,18923
354,25495
355,21308
356,19313
357,23061
358,25896
359,22319
360,20276
361,22139
362,28671
363,34492
364,25365
365,49530
366,44502
367,35293
368,31978
369,38650
370,20025
371,19935
372,28932
373,30004
374,30114
375,33209
376,27469
377,28400
378,27769
379,23832
380,30695
381,34722
382,35204
383,34462
384,34793
385,27329
386,27619
387,27670
388,76642
389,55441
390,39050
391,35404
392,32438
393,53849
394,62605
395,55061
396,46725
397,35174
398,27910
399,29072
400,32238
401,31116
402,28751
403,24344
404,32719
405,31356
406,32829
407,624947
408,29813
409,33180
410,35334
411,22620
412,35484
413,32679
414,33942
415,28120
416,33881
417,28992
418,30525
419,14524
420,30866
421,33671
422,27689
423,28772
424,29983
425,30414
426,28020
427,30816
428,35404
429,40614
430,36496
431,34893
432,33971
433,34492
434,34342
435,28451
436,29313
437,47477
438,63647
439,39282
440,37287
441,25405
442,32930
443,33330
444,27068
445,783796
446,18182
447,29262
448,35333
449,15747
450,26807
451,27870
452,34422
453,27249
454,29703
455,24003
456,86310
457,36797
458,33450
459,27419
460,28321
461,31226
462,29953
463,27890
464,31758
465,31997
466,35224
467,31697
468,28521
469,29102
470,44311
471,30635
472,31136
473,29553
474,27860
475,93674
476,38319
477,42598
478,27379
479,44251
480,31937
481,33811
482,34673
483,34642
484,28151
485,34162
486,27889
487,28972
488,23863
489,31055
490,33401
491,36125
492,31236
493,42067
494,39732
495,95207
496,38350
497,35594
498,35364
499,61724
500,40393
501,34462
502,37578
503,39081
504,16468
505,23732
506,25766
507,27900
508,29923
509,33782
510,34161
511,27399
512,28832
513,27679
514,29283
515,28030
516,29743
517,35975
518,30084
519,26898
520,27089
521,27048
522,27449
523,30014
524,34562
525,34322
526,35164
527,37247
528,45873
529,36266
530,29232
531,28051
532,80699
533,32849
534,40854
535,33581
536,19945
537,32218
538,29923
539,26927
540,26517
541,27619
542,26818
543,29793
544,30796
545,33791
546,28050
547,27108
548,27429
549,24434
550,30334
551,34973
552,35004
553,33280
554,38409
555,34723
556,27559
557,27368
558,27850
559,24514
560,29623
561,31597
562,34712
563,45554
564,37437
565,32759
566,41997
567,17470
568,14996
569,16468
570,36977
571,34192
572,51374
573,32288
574,30785
575,33700
576,26908
577,25927
578,37938
579,26978
580,29973
581,36476
582,32178
583,23873
584,22079
585,21317
586,21778
587,21528
588,20877
589,15777
590,300203
591,12762
592,19924
593,22290
594,22149
595,9906
596,9264
597,21458
598,19604
599,24684
600,21818
601,17420
602,25215
603,21408
604,21938
605,22721
606,29182
607,31176
608,26337
609,27820
610,28300
611,27589
612,31105
613,30636
614,34632
615,33991
616,27949
617,27198
618,28441
619,31587
620,28180
621,30715
622,34943
623,35685
624,32068
625,35945
626,43048
627,38190
628,32438
629,44050
630,23852
631,24593
632,27388
633,30345
634,34051
635,33080
636,28050
637,27459
638,30074
639,29423
640,27729
641,28891
642,32779
643,33761
644,28582
645,27939
646,29633
647,84606
648,30584
649,31466
650,61363
651,40173
652,43319
653,30966
654,29743
655,41004
656,28150
657,32759
658,33892
659,36365
660,27799
661,37809
662,35043
663,28170
664,29963
665,29704
666,29122
667,31837
668,31717
669,29593
670,30024
671,29413
672,28150
673,28962
674,29824
675,26998
676,29593
677,466888
678,12852
679,23501
680,29232
681,28180
682,30675
683,29043
684,28631
685,29553
686,29763
687,28070
688,27850
689,32298
690,17841
691,28611
692,29393
693,31837
694,30735
695,25706
696,31156
697,34292
698,33691
699,33350
700,28852
701,35173
702,32098
703,30525
704,35865
705,30414
706,37709
707,27218
708,31707
709,31477
710,39442
711,28671
712,19214
713,28861
714,29834
715,27850
716,28811
717,33350
718,34522
719,28971
720,34373
721,29252
722,29292
723,36917
724,32068
725,27469
726,30775
727,32359
728,32719
729,28601
730,34352
731,30144
732,29242
733,29864
734,27990
735,28100
736,34222
737,34021
738,41536
739,32489
740,29202
741,48348
742,42548
743,17570
744,15617
745,27188
746,29183
747,31096
748,26677
749,26828
750,27038
751,24003
752,32238
753,35815
754,32318
755,34472
756,33150
757,37348
758,28260
759,44581
760,37188
761,35685
762,34822
763,32147
764,36927
765,29724
766,36095
767,32318
768,30134
769,42908
770,33991
771,27459
772,25535
773,33731
774,33541
775,26948
776,27679
777,26918
778,25405
779,29343
780,30425
781,30785
782,31677
783,27850
784,34742
785,28861
786,26016
787,26738
788,30445
789,33871
790,34021
791,33921
792,35966
793,28641
794,28571
795,28281
796,24813
797,31536
798,40614
799,31597
800,32789
801,35274
802,42087
803,36576
804,33140
805,45212
806,15186
807,15436
808,24783
809,30625
810,33871
811,33260
812,37097
813,27699
814,27850
815,27579
816,23862
817,32769
818,33741
819,31606
820,34642
821,53639
822,37247
823,36336
824,29162
825,35144
826,29092
827,29092
828,30966
829,28050
830,29162
831,35664
832,34502
833,40684
834,35444
835,36827
836,45232
837,25936
838,17451
839,27318
840,34022
841,26848
842,28992
843,33961
844,33510
845,34633
846,28320
847,28191
848,28300
849,23100
850,29132
851,33020
852,32749
853,36426
854,27960
855,68216
856,45152
857,27669
858,37408
859,27589
860,30194
861,32739
862,32318
863,38811
864,36416
865,49060
866,32017
867,34683
868,13142
869,25946
870,26868
871,28020
872,30705
873,30325
874,27319
875,20435
876,25435
877,30194
878,30334
879,31046
880,28792
881,35063
882,27529
883,28311
884,24383
885,30655
886,34562
887,34042
888,34492
889,36957
890,37749
891,28450
892,34883
893,28621
894,83685
895,64529
896,34853
897,40123
898,19454
899,29373
900,27649
901,23171
902,29894
903,33610
904,31777
905,26638
906,26437
907,27780
908,25525
909,30795
910,34573
911,34232
912,34191
913,38300
914,34081
915,28271
916,27669
917,28471
918,24073
919,30946
920,34662
921,34733
922,31777
923,27088
924,28011
925,40734
926,28120
927,27980
928,29282
929,32248
930,36666
931,17891
932,19894
933,30596
934,27148
935,29713
936,34342
937,30375
938,37889
939,27098
940,26737
941,26296
942,26568
943,30114
944,30825
945,69609
946,29703
947,34472
948,355288
949,25225
950,35384
951,39912
952,51414
953,30755
954,29793
955,33150
956,32589
957,27870
958,34572
959,26838
960,26487
961,28972
962,29864
963,34231
964,33701
965,34272
966,28100
967,35745
