Iteration,Latency/Jitter (ns)
0,22342
1,4829
2,4960
3,4989
4,4889
5,4468
6,4469
7,4479
8,11371
9,4448
10,4469
11,4458
12,5350
13,5030
14,4489
15,4468
16,4459
17,23545
18,4619
19,5290
20,5099
21,4498
22,4469
23,4468
24,11592
25,4538
26,4498
27,4488
28,5000
29,5250
30,4529
31,4469
32,4478
33,11061
34,4558
35,4468
36,4459
37,4929
38,5009
39,4559
40,4468
41,4468
42,4459
43,4669
44,4478
45,4479
46,4468
47,4969
48,5010
49,4468
50,4458
51,4449
52,11141
53,4499
54,4479
55,4468
56,5229
57,5090
58,4478
59,4458
60,4459
61,11091
62,4539
63,4448
64,4458
65,5000
66,5270
67,4548
68,4469
69,4479
70,4468
71,4619
72,4458
73,4468
74,4469
75,5059
76,4829
77,4459
78,4468
79,4458
80,11131
81,4488
82,4449
83,4458
84,5230
85,5130
86,4509
87,4448
88,4468
89,11141
90,4538
91,4459
92,4469
93,5120
94,5220
95,4539
96,4448
97,4448
98,20559
99,4708
100,4438
101,5009
102,5009
103,4478
104,4459
105,4458
106,11171
107,4519
108,4478
109,4458
110,5020
111,5170
112,4539
113,4469
114,4448
115,11000
116,4588
117,4448
118,4459
119,4709
120,5020
121,4568
122,4489
123,4469
124,4468
125,4699
126,4468
127,4468
128,4469
129,5010
130,5040
131,4489
132,4458
133,4468
134,11101
135,4518
136,4469
137,4459
138,5170
139,5110
140,4528
141,4468
142,4459
143,10961
144,4559
145,4459
146,4468
147,4950
148,4990
149,4578
150,4479
151,4469
152,4478
153,4669
154,4468
155,4468
156,4479
157,5049
158,4999
159,4488
160,4459
161,4468
162,11071
163,4488
164,4468
165,4469
166,5270
167,5079
168,4479
169,4449
170,4458
171,20598
172,4649
173,4829
174,4979
175,4879
176,4469
177,4488
178,4468
179,11482
180,4509
181,4459
182,4448
183,5320
184,5080
185,4478
186,4458
187,4459
188,10941
189,4539
190,4468
191,4459
192,5230
193,5129
194,4488
195,4449
196,4448
197,10980
198,4568
199,4458
200,4459
201,4969
202,5130
203,4599
204,4479
205,4468
206,4468
207,11241
208,4468
209,4448
210,4459
211,5090
212,4940
213,4468
214,4458
215,4459
216,11161
217,4519
218,4468
219,4458
220,5150
221,5209
222,4498
223,4468
224,4469
225,11041
226,4579
227,4459
228,4468
229,4930
230,4930
231,4749
232,4479
233,4459
234,4458
235,4679
236,4478
237,4468
238,4479
239,5019
240,4929
241,4469
242,4459
243,4448
244,11231
245,4509
246,4448
247,19928
248,4499
249,4459
250,4458
251,11201
252,4478
253,4478
254,4479
255,4979
256,4949
257,4478
258,4469
259,4478
260,11101
261,4498
262,4468
263,4479
264,5140
265,5180
266,4529
267,4449
268,4458
269,10980
270,4568
271,4468
272,4469
273,4939
274,5049
275,4559
276,4489
277,4468
278,4479
279,4679
280,4478
281,4459
282,4468
283,5000
284,5030
285,4489
286,4448
287,4448
288,11041
289,4499
290,4449
291,4468
292,4979
293,5170
294,4509
295,4459
296,4438
297,11010
298,4558
299,4468
300,4459
301,4990
302,5070
303,4589
304,4449
305,4468
306,4458
307,4658
308,4458
309,4469
310,4469
311,4989
312,5009
313,4499
314,4448
315,4458
316,20249
317,4549
318,4999
319,5099
320,4589
321,4468
322,4468
323,4479
324,4669
325,4478
326,4458
327,4890
328,4960
329,4849
330,4478
331,4449
332,4458
333,11131
334,4478
335,4468
336,4469
337,5260
338,5059
339,4499
340,4469
341,4468
342,10970
343,4518
344,4469
345,4479
346,5130
347,5140
348,4539
349,4458
350,4448
351,11071
352,4568
353,4469
354,4459
355,4899
356,5019
357,4589
358,4488
