Iteration,Latency/Jitter (ns)
0,38770
1,-4822
2,3845
3,-7618
4,3364
5,-6085
6,2923
7,2431
8,1791
9,11348
10,-12757
11,7772
12,558
13,-13258
14,5898
15,1870
16,5358
17,-2729
18,-7246
19,5517
20,-8228
21,6198
22,-3359
23,3554
24,5698
25,-5163
26,728
27,-1806
28,-5333
29,3183
30,6189
31,-7918
32,9064
33,-3690
34,-11896
35,7632
36,2291
37,-7377
38,9836
39,-8750
40,2642
41,5658
42,2853
43,277
44,-9761
45,9465
46,-9471
47,2612
48,17039
49,-24840
50,1430
51,14634
52,-12627
53,9185
54,-9341
55,-273
56,11288
57,-9311
58,5027
59,-915
60,1480
61,-1776
62,-6446
63,-1806
64,11940
65,-10784
66,15406
67,-4671
68,-8960
69,13121
70,-13698
71,11038
72,-6516
73,578
74,14505
75,-11976
76,-10583
77,8804
78,207
79,2191
80,-6575
81,11028
82,-13198
83,4055
84,8463
85,-10613
86,5086
87,16098
88,-14851
89,5036
90,-6154
91,-5935
92,4937
93,-3440
94,-3740
95,14004
96,-10974
97,8523
98,-4441
99,-6075
100,2812
101,4817
102,7100
103,-9120
104,-7467
105,12220
106,-9661
107,-53
108,7150
109,-965
110,-2437
111,3032
112,-664
113,15416
114,-19309
115,17680
116,-12867
117,-123
118,-3490
119,-2708
120,3253
121,3093
122,-6495
123,11669
124,-11715
125,6519
126,14715
127,-16083
128,7050
129,-6485
130,-6355
131,14965
132,-5293
133,-7377
134,8734
135,-5754
136,107
137,9715
138,-8869
139,-1837
140,1500
141,7471
142,-1636
143,-11374
144,10577
145,-6736
146,-775
147,11469
148,-13658
149,-4562
150,11779
151,-333
152,-1677
153,-403
154,5667
155,308
156,-11024
157,15747
158,-5884
159,-5664
160,14975
161,-19269
162,10978
163,3093
164,-13900
165,7682
166,-1536
167,-10292
168,19473
169,-9200
170,1259
171,-3780
172,3875
173,12500
174,-13869
175,6640
176,-6015
177,-1175
178,-3730
179,-2948
180,-244
181,16118
182,-11806
183,5448
184,-4722
185,4195
186,-4812
187,-2719
188,4486
189,2141
190,-394
191,-4121
192,4756
193,-9691
194,10888
195,-2718
196,1680
197,-3520
198,528
199,-2097
200,-5092
201,16057
202,-9862
203,899
204,-1235
205,-4732
206,-785
207,10367
208,-694
209,-1085
210,-3129
211,-3390
212,12671
213,-9050
214,-5774
215,9596
216,-6045
217,12060
218,-5884
219,-4852
220,8873
221,-5723
222,1349
223,-7447
224,7682
225,1429
226,-2598
227,4286
228,-6536
229,2392
230,-1656
231,2141
232,-7848
233,4936
234,-5283
235,8854
236,-3319
237,1710
238,-3329
239,267
240,8544
241,-6576
242,-6245
243,13383
244,-11665
245,-2638
246,15065
247,-13779
248,8233
249,-3109
250,3784
251,768
252,-2718
253,4786
254,-1646
255,-7908
256,-313
257,-404
258,8513
259,-1926
260,-5524
261,9465
262,-8569
263,57
264,328
265,1710
266,3804
267,518
268,-11294
269,6018
270,-1325
271,7220
272,2071
273,-7467
274,7241
275,-4281
276,10958
277,-7959
278,-4691
279,15175
280,-11294
281,-11475
282,4997
283,-674
284,8743
285,-6465
286,2091
287,-4792
288,77
289,2151
290,-945
291,-1135
292,-4832
293,3213
294,-2157
295,5988
296,-5172
297,-374
298,9625
299,-10112
300,8633
301,-4471
302,5628
303,5637
304,-10743
305,9645
306,-4642
307,709
308,-7197
309,7020
310,2132
311,-1767
312,-4030
313,7431
314,-4612
315,-4622
316,17029
317,-17416
318,8594
319,-1747
320,-8549
321,1550
322,5227
323,-7888
324,16057
325,-15953
326,7592
327,-4352
328,3494
329,2512
330,-1416
331,-9972
332,10467
333,-10403
334,15717
335,-5774
336,-6485
337,7501
338,-9751
339,12019
340,-6966
341,3023
342,-4451
343,7040
344,-3981
345,-1245
346,-1115
347,6119
348,-1426
349,-7968
350,12390
351,-13639
352,13613
353,-9501
354,3023
355,-2247
356,-3630
357,-2027
358,15446
359,-4511
360,3774
361,-14020
362,198
363,16718
364,-16564
365,13232
366,-4962
367,-174
368,13393
369,-14260
370,-214
371,-1966
372,-3229
373,8142
374,-9241
375,-1926
376,7611
377,-5653
378,11979
379,-7838
380,1630
381,14765
382,-15522
383,1550
384,-5644
385,-2638
386,5518
387,3834
388,-10232
389,13592
390,-2718
391,2001
392,-6265
393,-6365
394,5397
395,5598
396,3654
397,-5834
398,-9161
399,7261
400,-4952
401,708
402,12551
403,-5383
404,327
405,-4641
406,2481
407,-3099
408,3835
409,-7197
410,5508
411,-5314
412,9195
413,-2127
414,-3359
415,12139
416,-11595
417,8053
418,-10633
419,14704
420,-1475
421,-5714
422,909
423,-3991
424,-7006
425,6589
426,-2588
427,-1325
428,13272
429,-10673
430,8062
431,-10543
432,-2127
433,6279
434,-3680
435,10878
436,-2047
437,-10553
438,3594
439,1179
440,-4472
441,7982
442,7381
443,-3419
444,-6085
445,-4130
446,1810
447,-3870
448,14925
449,-9220
450,-5554
451,10176
452,-9681
453,12310
454,1630
455,-10773
456,5417
457,-6605
458,2602
459,17610
460,-15152
461,1009
462,1550
463,-2427
464,-2488
465,-4582
466,-654
467,11870
468,-10744
469,8954
470,-3560
471,-754
472,16067
473,-16865
474,-4972
475,18742
476,-18518
477,12701
478,-11885
479,-584
480,14124
481,-10834
482,3353
483,-3319
484,-3960
485,20856
486,-23307
487,658
488,20636
489,-16364
490,9024
491,-7487
492,-2057
493,13383
494,-17296
495,16077
496,-12727
497,1099
498,8283
499,-13999
500,1790
501,6339
502,-3840
503,4846
504,-7106
505,-895
506,6349
507,-3931
508,27599
509,-23527
510,5167
511,-8169
512,6550
513,-8589
514,9465
515,-7237
516,9304
517,-10352
518,11318
519,-6144
520,1059
521,6198
522,-5743
523,1379
524,-4341
525,4816
526,4005
527,-3360
528,-12637
529,6650
530,-2247
531,-3540
532,15597
533,-9722
534,4957
535,-4632
536,-1025
537,-203
538,2361
539,-4391
540,1099
541,-2939
542,9826
543,-5213
544,-6095
545,13533
546,-10753
547,9254
548,-2147
549,-4391
550,16408
551,-13869
552,8142
553,-3570
554,-5944
555,2241
556,2362
557,-10934
558,20165
559,-12386
560,8423
561,-11776
562,5999
563,13522
564,-14079
565,-8179
566,13633
567,-4451
568,-4522
569,-2918
570,-1386
571,5968
572,-4060
573,1379
574,4756
575,1580
576,12290
577,-16053
578,-9080
579,15176
580,-12737
581,10807
582,-6475
583,2942
584,-1115
585,-2207
586,8413
587,-9581
588,-4371
589,21958
590,-23097
591,17981
592,-744
593,-9711
594,6449
595,-10333
596,6039
597,11018
598,-16885
599,7902
600,-4542
601,1790
602,-1105
603,4015
604,-8118
605,5487
606,869
607,8803
