Iteration,Latency/Jitter (ns)
0,-958832
1,-121092
2,-9501
3,6550
4,-6055
5,-8860
6,10848
7,-4542
8,-3269
9,5567
10,-4962
11,-314
12,2702
13,-2267
14,5537
15,-5233
16,848
17,6539
18,-8279
19,12440
20,-3049
21,11549
22,-2428
23,-4081
24,8663
25,-4061
26,6830
27,-3249
28,-3620
29,3293
30,-264
31,-10653
32,9906
33,25234
34,-23878
35,8042
36,-15964
37,7491
38,-2868
39,-4872
40,6920
41,-7127
42,7612
43,-835
44,-4251
45,5928
46,-1045
47,298
48,-1116
49,-7277
50,7801
51,-4471
52,-3971
53,7982
54,-6134
55,6749
56,-1325
57,-10573
58,11068
59,-5103
60,4686
61,-224
62,-6836
63,8904
64,-4922
65,-3159
66,9064
67,-8680
68,6610
69,-3981
70,-6465
71,9615
72,-4992
73,5217
74,6489
75,-13749
76,7100
77,-4021
78,17570
79,-13860
80,-6755
81,7170
82,-945
83,-10382
84,11107
85,-4963
86,6579
87,-2147
88,-7547
89,7762
90,-3941
91,-4060
92,7090
93,-6405
94,9034
95,-2869
96,-11044
97,11118
98,-4121
99,18983
100,-15071
101,-6536
102,7241
103,-3239
104,3734
105,-1065
106,-2889
107,3734
108,7521
109,-16263
110,8813
111,-5583
112,4435
113,318
114,-6937
115,7441
116,-4371
117,-3920
118,7330
119,-6605
120,6860
121,11048
122,-22366
123,11619
124,-5333
125,4736
126,1580
127,-8469
128,6660
129,-4011
130,-3299
131,7160
132,-6966
133,7972
134,-3891
135,-8819
136,12090
137,-4582
138,4405
139,428
140,-7948
141,6890
142,-3490
143,4736
144,1229
145,-8299
146,8362
147,-2548
148,-11706
149,11628
150,-3519
151,6409
152,2481
153,-11966
154,7721
155,-4341
156,-4181
157,6990
158,-6746
159,7121
160,348
161,-12567
162,12009
163,4666
164,-4712
165,-814
166,44260
167,-31282
168,-14360
169,3063
170,15917
171,2211
172,-11144
173,-2899
174,-8609
175,4004
176,6188
177,-6766
178,3534
179,-11134
180,7010
181,-4341
182,-3199
183,7040
184,-5924
185,6910
186,-1947
187,-9251
188,10316
189,-4952
190,5006
191,-384
192,-6755
193,7481
194,-3610
195,-5484
196,8523
197,-7297
198,7752
199,-4562
200,-7488
201,10627
202,-3389
203,4095
204,-384
205,-7007
206,10677
207,-7928
208,-3290
209,2942
210,-2277
211,24172
212,40594
213,-64425
214,12130
215,-9080
216,2381
217,388
218,-5874
219,6238
220,-4212
221,-2988
222,7681
223,-6515
224,5517
225,1580
226,-14570
227,5026
228,-4892
229,-3330
230,6169
231,-6074
232,5757
233,107
234,-4262
235,7101
236,-2799
237,6750
238,-1225
239,-6005
240,10958
241,-5012
242,8072
243,-4241
244,-7447
245,8242
246,-2808
247,-4872
248,2762
249,-965
250,4766
251,-1045
252,-8950
253,11518
254,-4411
255,4405
256,-714
257,-6896
258,7371
259,-4131
260,-4301
261,3283
262,-604
263,5377
264,-3790
265,-8439
266,12891
267,-6195
268,4977
269,-835
270,13703
271,-13499
272,-4301
273,-2678
274,292349
275,-898198
276,-312102
277,-46611
278,-21153
279,-9952
280,-7357
281,23952
282,-14410
283,-764
284,327
285,-7136
286,6549
287,12490
288,-4040
289,-10904
290,26597
291,-948082
292,-74033
293,9635
294,-11375
295,-3580
296,3072
297,2823
298,-11956
299,9435
300,-5083
301,-3109
302,7141
303,-7708
304,7661
305,168
306,13582
307,-12728
308,-1776
309,6369
310,-4822
311,-10102
312,9925
313,-2778
314,8343
315,5958
316,-19179
317,10597
318,-6997
319,-7418
320,9374
321,-925
322,2672
323,167
324,-9141
325,12180
326,-6014
327,6158
328,-604
329,1510
330,-2388
331,-2468
332,-10513
333,9455
334,-3320
335,4365
336,1589
337,-11254
338,10427
339,-2518
340,1760
341,1099
342,-9301
343,10105
344,-4011
345,-7037
346,7230
347,-524
348,6049
349,-2278
350,-8018
351,3073
352,-8720
353,-6926
354,1830
355,-4100
356,-1476
357,15746
358,-17616
359,8122
360,-4010
361,-2328
362,4686
363,-6115
364,922939
365,-976406
366,-955175
367,10897
368,3303
369,-4222
370,819
371,4535
372,12621
373,19914
374,-34959
375,-3650
376,6770
377,-8188
378,367
379,2722
380,1891
381,20155
382,-23598
383,428
384,6549
385,914553
386,-963261
387,-948823
388,-1777
389,-534
390,11579
391,-6876
392,8102
393,-1215
394,46004
395,-30310
396,-9521
397,-3530
398,-4522
399,-6104
400,5838
401,-304
402,8323
403,-4131
404,-7097
405,7602
406,-4832
407,5697
408,5207
409,-9110
410,5627
411,-3419
412,-12627
413,14374
414,-5734
415,3113
416,911537
417,-954564
418,42497
419,49149
420,-25391
421,-21663
422,-6977
423,8573
424,-3300
425,3053
426,-1205
427,-3450
428,5277
429,-2007
430,4736
431,-8900
432,-3
433,15676
434,-13609
435,-5854
436,7200
437,-3389
438,3654
439,-1075
440,-5794
441,8172
442,-875
443,1851
444,-6936
445,4084
446,408
447,20996
448,-30331
449,10397
450,-2688
451,3133
452,427
453,-8590
454,6840
455,-1085
456,2231
457,-1566
458,-3810
459,5176
460,-5653
461,-2548
462,7000
463,-3319
464,3403
465,-1977
466,-614
467,3393
468,-5855
469,-2207
470,7130
471,-3590
472,3583
473,-2027
474,-9451
475,10346
476,-4602
477,6620
478,-935
479,18512
480,-17155
481,-1977
482,-6997
483,2231
484,548
485,5677
486,-6325
487,448
488,5107
489,-5284
490,7511
491,1910
492,26287
493,-28307
494,-4051
495,-5794
496,908691
497,-961417
498,-947290
499,-9892
500,-775
501,8113
502,9194
503,-4131
504,3704
505,-2628
506,-4361
507,6900
508,-745
509,-6184
510,9755
511,-10152
512,7340
513,-2017
514,-8630
515,9395
516,-3450
517,17120
518,-8800
519,-10443
520,6289
521,-2819
522,4145
523,-5633
524,-294
525,5267
526,-5944
527,-4372
528,10737
529,-4642
530,3483
531,6249
532,-12236
533,5918
534,-1246
535,-5754
536,12661
537,-10442
538,5166
539,-2608
540,-7918
541,8744
542,13322
543,-12908
544,-1666
545,-5203
546,8844
547,-7568
548,7981
549,-7036
550,-1556
551,8363
552,87
553,-11735
554,3573
555,-3440
556,-9992
557,4285
558,-6726
559,-764
560,5156
561,-11495
562,17901
563,-10633
564,-1807
565,7250
566,-6866
567,10146
568,-1846
569,-1065
570,4796
571,1559
572,6920
573,-273
574,-6466
575,15796
576,-14039
577,4715
578,177
579,-9712
580,10467
581,-3039
582,8763
583,-6756
584,-5664
585,5407
586,338
587,-12817
588,12390
589,-4081
590,5357
591,-2167
592,-354
593,2712
594,-5182
595,9765
596,-4602
597,2793
598,18281
599,-22786
600,-6716
601,6319
602,-4962
603,3243
604,-5774
605,-11695
606,3663
607,-2257
608,-5724
609,6730
610,-4231
611,11839
612,-5914
613,-13579
614,11559
615,-2999
616,-23
617,999
618,-5404
619,1460
620,4606
621,-4783
622,5928
623,-5333
624,868
625,7201
626,-4993
627,8954
628,-2658
629,8172
630,4506
631,-6035
632,5818
633,-4101
634,-4592
635,7691
636,-6536
637,8903
638,2602
639,-14600
640,11047
641,-4882
642,3544
643,367
644,-8729
645,23291
646,-10072
647,528
648,12009
649,-23447
650,7501
651,177
652,-12336
653,11308
654,-4992
655,4175
656,-294
657,-7998
658,9715
659,28270
660,-17897
661,-10372
662,-6936
663,5848
664,-1206
665,-9601
666,10487
667,57
668,929
669,-865
670,-8980
671,31506
672,-933073
673,-76498
674,-11545
675,3955
676,-4782
677,11007
678,-20272
679,9856
680,-6696
681,39481
682,-30571
683,-4291
684,-9882
685,9225
686,-5454
687,-4521
688,-414
689,-7768
690,107
691,3724
692,-7096
693,6779
694,-5794
695,167
696,9204
697,-9962
698,6760
699,257
700,-3429
701,6298
702,13633
703,-3109
704,3985
705,14394
706,-18909
707,-4862
708,5457
709,-334
710,-8158
711,28190
712,-22666
713,-5253
714,5788
715,-5493
716,7110
717,-2097
718,-10914
719,12571
720,-3690
721,57315
722,-37464
723,-9872
724,4094
725,-17226
726,4425
727,3012
728,26958
729,-26463
730,-12226
731,10496
732,2681
733,-2759
734,-123
735,-7577
736,2130
737,-1907
738,935943
739,-969032
740,8543
741,-976135
742,-8309
743,8082
744,-7026
745,10386
746,-1716
747,6269
748,-945
749,14093
750,-13057
751,-5694
752,11398
753,-2548
754,-7226
755,17800
756,-16905
757,-6796
758,9074
759,-3600
760,4756
761,3423
762,45934
763,-47032
764,-1586
765,-8730
766,6289
767,-3460
768,3363
769,-1055
770,-7948
771,10016
772,-3310
773,6459
774,-3149
775,-6265
776,6098
777,-3420
778,11289
779,5196
780,-18628
781,24764
782,25755
783,-30190
784,-13568
785,-4452
786,4676
787,-1426
788,-6876
789,6189
790,-3530
791,-3570
792,4185
793,1099
794,21558
795,-22205
796,11007
797,-7538
798,-5623
799,5086
800,-63
801,-6255
802,9044
803,-6585
804,-4091
805,4115
806,-1055
807,3473
808,-3500
809,-5643
810,9174
811,4545
812,2101
813,-4421
814,-9070
815,6679
816,-975
817,14955
818,-10132
819,-8339
820,5106
821,568
822,-10873
823,9715
824,-3670
825,3363
826,248
827,-6465
828,9575
829,10035
830,-19050
831,4616
832,-4071
833,4265
834,72093
835,-70526
836,5147
837,-9150
838,2591
839,-263
840,-6145
841,7632
842,-1616
843,-6275
844,13482
845,-9140
846,3904
847,-5043
848,-6575
849,10056
850,-3340
851,3023
852,7842
853,-11505
854,4405
855,-4050
856,-3530
857,3343
858,-1616
859,2732
860,-1366
861,-1326
862,9725
863,-8439
864,-5594
865,2672
866,-7667
867,7030
