Iteration,Latency/Jitter (ns)
0,22902
1,8085
2,18774
3,7514
4,7283
5,9026
6,9708
7,21440
8,9187
9,9428
10,9267
11,20448
12,10079
13,9508
14,8807
15,20939
16,9688
17,7564
18,7333
19,7323
20,20648
21,9016
22,8385
23,7343
24,7354
25,19166
26,9308
27,9588
28,9919
29,21249
30,8125
31,7794
32,7845
33,9468
34,9348
35,9288
36,33672
37,9046
38,9387
39,9357
40,9328
41,20097
42,9678
43,9337
44,9468
45,50865
46,8556
47,19175
48,9898
49,9898
50,9728
51,21901
52,9809
53,7534
54,7333
55,8786
56,21189
57,8907
58,9768
59,9948
60,20758
61,7554
62,7944
63,9197
64,8636
65,9198
66,9047
67,9217
68,9397
69,20829
70,9337
71,9457
72,9598
73,22321
74,9267
75,9517
76,9297
77,22111
78,9117
79,8976
80,9167
81,18965
82,7834
83,7254
84,8035
85,9177
86,20879
87,9057
88,9367
89,9287
90,20869
91,8286
92,8236
93,9528
94,8967
95,19817
96,7815
97,9277
98,9287
99,20708
100,9567
101,8846
102,9347
103,31087
104,7874
105,8696
106,9307
107,21279
108,8145
109,7274
110,8176
111,9367
112,10800
113,19847
114,7844
115,7273
116,7253
117,8687
118,20057
119,8736
120,8746
121,9247
122,8747
123,20868
124,8445
125,7284
126,7234
127,8215
128,10148
129,8846
130,9397
131,9277
132,22492
133,8937
134,9317
135,9047
136,19887
137,7363
138,7213
139,7213
140,7223
141,19506
142,9217
143,9397
144,9066
145,9077
146,9467
147,9067
148,9287
149,9398
150,9318
151,9427
152,8926
153,9678
154,20658
155,9608
156,9026
157,9307
158,20418
159,7524
160,7224
161,7194
162,7184
163,7384
164,9447
165,8956
166,9337
167,9327
168,19807
169,9598
170,9097
171,9307
172,7343
173,8536
174,27851
175,7654
176,8585
177,7244
178,7153
179,7253
180,7163
181,17753
182,9247
183,9097
184,9047
185,9117
186,9197
187,9397
188,8977
189,8556
190,18935
191,7343
192,8185
193,9087
194,8677
195,20528
196,8686
197,9217
198,9377
199,20188
200,9257
201,7394
202,7153
203,8606
204,20848
205,9036
206,9036
207,9157
208,20128
209,9608
210,9417
211,9227
212,19666
213,8195
214,7183
215,7514
216,8796
217,19836
218,9648
219,9107
220,9728
221,20107
222,9467
223,9357
224,9287
225,9217
226,19156
227,8044
228,9228
229,9247
230,21249
231,9568
232,9428
233,8776
234,8826
235,9848
236,8415
237,7283
238,7223
239,17873
240,9568
241,9328
242,9277
243,9357
244,20317
245,8486
246,9036
247,65321
248,34133
249,7764
250,7243
251,7704
252,41066
253,9518
254,7294
255,19786
256,7334
257,7224
258,8476
259,9047
260,10269
261,9948
262,9768
263,9748
264,10128
265,9618
266,9298
267,9648
268,10079
269,9257
270,9347
271,9428
272,9538
273,9247
274,8566
275,8506
276,20578
277,9628
278,9408
279,8787
280,21249
281,9598
282,9548
283,7414
284,7223
285,20207
286,9507
287,9217
288,8746
289,18194
290,9398
291,9137
292,9257
293,9408
294,9758
295,9107
296,9187
297,9318
298,20167
299,8997
300,9218
301,9317
302,20809
303,7945
304,7233
305,7233
306,7814
307,21089
308,9668
309,9046
310,7354
311,7484
312,48990
313,10850
314,9287
315,42769
316,10079
317,10029
318,9868
319,9297
320,9037
321,7414
322,19076
323,7704
324,9167
325,8696
326,21430
327,9758
328,8576
329,7263
330,7243
331,17633
332,8095
333,7284
334,7714
335,9177
336,22001
337,9527
338,8806
339,9258
340,20548
341,9547
342,9227
343,9127
344,9057
345,10280
346,7524
347,7224
348,79347
349,9999
350,8897
351,9598
352,22181
353,9368
354,7444
355,7654
356,9107
357,8806
358,8025
359,9056
360,9277
361,21099
362,9598
363,9337
364,8435
365,17813
366,8125
367,8045
368,9016
369,8946
370,20659
371,9338
372,28212
373,46376
374,9127
375,46837
376,7384
377,20868
378,9638
379,8586
380,9778
381,21089
382,9237
383,8987
384,9207
385,19997
386,9207
387,9087
388,8776
389,8997
390,21800
391,9377
392,9277
393,8485
394,19596
395,7424
396,7234
397,7254
398,7263
399,18795
400,9458
401,8566
402,9017
403,9437
404,20838
405,9378
406,9337
407,9127
408,19256
409,9538
410,8506
411,8907
412,21029
413,9578
414,9257
415,8866
416,8335
417,21310
418,8626
419,8896
420,8266
421,20778
422,8626
423,8826
424,8306
425,8856
426,9618
427,8796
428,8265
429,9056
430,20057
431,9608
432,8996
433,9347
434,20167
435,9478
436,9518
437,9358
438,8195
439,10629
440,30877
441,8406
442,9037
443,9017
444,43731
445,9147
446,21800
447,9638
448,9177
449,8807
450,21269
451,9397
452,9067
453,8947
454,19827
455,9227
456,8907
457,8797
458,9227
459,20478
460,9227
461,8816
462,9347
463,21009
464,9407
465,9307
466,8846
467,19616
468,8306
469,9207
470,9257
471,8826
472,21149
473,9077
474,9538
475,8636
476,19687
477,9367
478,9217
479,9247
480,7884
481,9177
482,9297
483,9116
484,9267
485,19867
486,7404
487,7434
488,7323
489,7384
490,20198
491,9538
492,8976
493,8996
494,21830
495,9077
496,9007
497,7404
498,7304
499,18745
500,9427
501,9357
502,9428
503,21229
504,54641
505,11030
506,9588
507,9258
508,9417
509,11311
510,9007
511,9337
512,8526
513,9197
514,9097
515,20388
516,8535
517,8736
518,8536
519,19416
520,9397
521,9327
522,8696
523,8496
524,20558
525,7424
526,7283
527,8666
528,22301
529,10098
530,9357
531,9307
532,23253
533,9538
534,9106
535,9578
536,21560
537,9528
538,9398
539,8786
540,7334
541,19867
542,9688
543,9197
544,9197
545,20277
546,9708
547,9748
548,9026
549,21159
550,7604
551,7293
552,7304
553,7304
554,19005
555,9508
556,9387
557,9137
558,9288
559,10389
560,9207
561,8766
562,9567
563,21970
564,9628
565,7884
566,8857
567,22622
568,9978
569,8275
570,51396
571,9668
572,9258
573,34113
574,8486
575,7705
576,42849
577,9999
578,22793
579,9487
580,8776
581,9287
582,20808
583,8165
584,7344
585,7855
586,9267
587,20938
588,9778
589,9448
590,9308
591,20438
592,9658
593,8556
594,9658
595,9338
596,9407
597,8426
598,9357
599,9477
600,22100
601,9378
602,9337
603,9438
604,21320
605,9577
606,9057
607,9268
608,20248
609,9488
610,9278
611,9017
612,7393
613,9437
614,9508
615,9207
616,9327
617,21891
618,9127
619,9267
620,8305
621,21951
622,9247
623,8967
624,8946
625,21950
626,7865
627,7283
628,7263
629,7313
630,18274
631,7534
632,7294
633,7323
634,7894
635,40344
636,10249
637,10139
638,8396
639,7314
640,7343
641,36107
642,7524
643,7303
644,18724
645,9147
646,9297
647,9237
648,7494
649,20047
650,7424
651,7284
652,7303
653,8616
654,20699
655,9167
656,9667
657,8245
658,18885
659,9277
660,9227
661,9357
662,9387
663,8576
664,9187
665,9838
666,8937
667,21770
668,9508
669,9528
670,9147
671,21951
672,9548
673,9608
674,9237
675,21971
676,9377
677,9387
678,9508
679,20428
680,9798
681,9667
682,9368
683,22121
684,9387
685,9588
686,9027
687,19787
688,9538
689,9187
690,9157
691,9027
692,21881
693,9007
694,8796
695,8926
696,21029
697,9287
698,8896
699,9358
700,20418
701,8646
702,28874
703,37790
704,9758
705,8555
706,41056
707,8686
708,21430
709,9527
710,9177
711,9508
712,21871
713,9547
714,7874
715,7955
716,9338
717,21149
718,9457
719,8455
720,8957
721,21540
722,9056
723,9177
724,9097
725,19836
726,8737
727,8405
728,8947
729,8346
730,19747
731,8205
732,9117
733,9718
734,21500
735,8195
736,9057
737,9347
738,7413
739,19406
740,9177
741,8536
742,9557
743,20979
744,9077
745,9157
746,8997
747,9077
748,9417
749,8004
750,7213
751,7233
752,7193
753,9428
754,9468
755,8956
756,8586
757,21039
758,9568
759,8446
760,8656
761,21059
762,8105
763,9006
764,9337
765,8476
766,22743
767,9247
768,8886
769,7263
770,34203
771,9338
772,9267
773,34604
774,8816
775,9187
776,43871
777,10469
778,22291
779,9397
780,9438
781,8957
782,9258
783,8295
784,7223
785,8546
786,8696
787,19937
788,9357
789,9077
790,9307
791,20468
792,9537
793,9337
794,9348
795,9057
796,20287
797,7314
798,7204
799,7204
800,8646
801,9478
802,8846
803,9117
804,9057
805,19025
806,7444
807,7224
808,7224
809,7214
810,17944
811,8115
812,8646
813,9497
814,9237
815,22191
816,9307
817,9237
818,9798
819,20648
820,9597
821,9287
822,8867
823,20298
824,7955
825,8636
826,9288
827,9117
828,9798
829,8996
830,9337
831,9577
832,20708
833,9076
834,9107
835,9167
836,21730
837,32089
838,36277
839,10480
840,9047
841,42790
842,9397
843,20498
844,9748
845,9027
846,7394
847,7214
848,18945
849,7774
850,9187
851,9207
852,9227
853,9317
854,7904
855,9287
856,9207
857,18594
858,7775
859,7274
860,7234
861,7874
862,19395
863,9167
864,9006
865,9458
866,8706
867,9999
868,9517
869,9327
870,9237
871,21450
872,8585
873,9026
874,9077
875,18775
876,7484
877,7233
878,7874
879,9107
880,20218
881,8997
882,8716
883,9327
884,8345
885,9458
886,9597
887,9728
888,8967
889,9748
890,9377
891,9177
892,8857
893,21079
894,9067
895,9157
896,9167
897,20568
898,9538
899,9528
900,8436
901,21099
902,9878
903,8175
904,52868
905,9728
906,9177
907,32069
908,9528
909,8426
910,40926
911,10480
912,9217
913,21600
914,9097
915,9177
916,9327
917,20769
918,9668
919,8065
920,9407
921,20588
922,9627
923,9187
924,8977
925,8947
926,9518
927,8646
928,8716
929,9267
930,20508
931,9327
932,9237
933,8837
934,20959
935,9468
936,8856
937,8616
938,8847
939,10129
940,9287
941,9237
942,9237
943,9678
944,9237
945,9338
946,7374
947,19596
948,9258
949,9407
950,9117
951,21109
952,9668
953,7744
954,9067
955,9557
956,10339
957,9287
958,9538
959,9387
960,9798
961,8206
962,7324
963,7314
964,7303
965,8305
966,7374
967,7264
968,7313
969,7293
970,31839
971,7504
972,7284
973,7334
974,10369
975,7444
976,7314
977,41497
978,9848
979,22651
980,9257
981,9718
982,9427
983,21320
984,10149
985,9497
986,8686
987,7364
988,9638
989,9037
990,9618
991,9257
992,21761
993,9587
994,9377
995,9457
996,21630
997,9418
998,9518
999,9117
1000,21570
1001,9056
1002,9458
1003,9658
1004,20047
1005,9478
1006,9607
1007,9258
1008,22191
1009,9989
1010,9277
1011,9558
1012,8576
1013,9878
1014,9397
1015,7745
1016,7324
1017,19636
1018,7564
1019,7324
1020,7324
1021,7323
1022,19195
1023,8777
1024,8956
1025,9608
1026,9116
1027,10049
1028,8065
1029,7343
1030,7293
1031,19496
1032,9507
1033,9067
1034,9488
1035,8616
1036,8826
1037,27000
1038,38962
1039,10319
1040,9347
1041,38230
1042,7493
1043,7334
1044,21821
1045,9308
1046,9387
1047,9257
1048,20588
1049,9818
1050,9297
1051,9297
1052,22913
1053,9317
1054,9377
1055,7764
1056,7323
1057,19416
