Iteration,Latency/Jitter (ns)
0,23696
1,28945
2,36950
3,22494
4,22212
5,21221
6,25429
7,22413
8,22122
9,22203
10,24156
11,28615
12,22463
13,21621
14,20840
15,27082
16,22012
17,32041
18,31029
19,29276
20,26490
21,28444
22,33293
23,51698
24,35427
25,35608
26,931002
27,25438
28,14698
29,33654
30,35768
31,36440
32,42060
33,38463
34,33814
35,37732
36,42271
37,31059
38,37932
39,36689
40,31791
41,28394
42,52019
43,36389
44,35378
45,35307
46,28344
47,28625
48,33895
49,48882
50,60324
51,35788
52,38754
53,35017
54,44264
55,32652
56,39435
57,35278
58,38303
59,37581
60,35959
61,37712
62,41529
63,38162
64,29827
65,36620
66,36480
67,37852
68,37491
69,38233
70,37631
71,36790
72,40016
73,36289
74,81484
75,54734
76,37551
77,37251
78,37873
79,36719
80,42050
81,44805
82,29456
83,35387
84,37472
85,36910
86,38223
87,40367
88,37411
89,34916
90,37963
91,36810
92,37381
93,39085
94,36779
95,37902
96,49894
97,25599
98,37371
99,35437
100,41439
101,35027
102,32291
103,22903
104,22674
105,20960
106,27783
107,21932
108,22944
109,24197
110,24877
111,42391
112,28064
113,27182
114,30278
115,24256
116,20860
117,27823
118,33123
119,35427
120,18095
121,15350
122,30708
123,34616
124,34005
125,34215
126,28554
127,35267
128,28104
129,28765
130,31019
131,30398
132,31410
133,32793
134,35788
135,39105
136,37611
137,34306
138,36118
139,36159
140,37963
141,36990
142,36590
143,29887
144,46769
145,37391
146,36980
147,48713
148,47751
149,36579
150,27532
151,36500
152,37151
153,37050
154,44425
155,33153
156,35768
157,38063
158,37010
159,36460
160,36900
161,45647
162,27783
163,36620
164,37722
165,37912
166,37351
167,38744
168,38453
169,36419
170,37411
171,37712
172,37642
173,37341
174,36940
175,41459
176,37812
177,34045
178,36780
179,38213
180,38483
181,37482
182,37090
183,37622
184,37050
185,38192
186,37752
187,39636
188,38453
189,95530
190,37963
191,37882
192,37161
193,38433
194,37171
195,34125
196,36139
197,24256
198,26280
199,22994
200,25659
201,26992
202,25669
203,6323
204,12535
205,16191
206,20479
207,25128
208,21692
209,21912
210,19788
211,28885
212,23826
213,24477
214,25509
215,27322
216,34205
217,32092
218,32121
219,28344
220,35478
221,29696
222,35307
223,29737
224,28223
225,34415
226,33214
227,33804
228,33724
229,36129
230,35808
231,36099
232,36049
233,36329
234,39656
235,37341
236,36659
237,24998
238,21451
239,24817
240,30779
241,32111
242,34867
243,34766
244,49013
245,34255
246,36749
247,36679
248,38513
249,36610
250,45666
251,45577
252,41189
253,35297
254,25338
255,34465
256,37632
257,39776
258,33053
259,34936
260,38003
261,36870
262,42641
263,34406
264,41809
265,34857
266,34455
267,37411
268,37351
269,37120
270,38413
271,37611
272,37532
273,37661
274,37993
275,37231
276,37731
277,48853
278,26200
279,37953
280,39004
281,37962
282,35879
283,38793
284,36228
285,37160
286,38263
287,36850
288,38323
289,37973
290,38192
291,39646
292,17283
293,10400
294,25128
295,27452
296,21562
297,22172
298,21592
299,28023
300,19979
301,22633
302,18706
303,24377
304,21061
305,22112
306,22022
307,28124
308,23034
309,27403
310,25338
311,26371
312,38603
313,34536
314,38183
315,32482
316,33323
317,42311
318,34896
319,47541
320,31239
321,32111
322,35247
323,27602
324,28074
325,28344
326,30639
327,32281
328,23085
329,32221
330,27553
331,28114
332,28163
333,24266
334,31129
335,31972
336,38864
337,37311
338,39435
339,36649
340,43623
341,32692
342,39906
343,40677
344,35457
345,35147
346,35257
347,35478
348,36750
349,36910
350,36460
351,37892
352,37772
353,38914
354,37591
355,41659
356,36339
357,14689
358,60594
359,33725
360,37451
361,37582
362,37431
363,37121
364,38062
365,37992
366,37171
367,37321
368,38433
369,22172
370,53341
371,37953
372,38573
373,36399
374,37121
375,51488
376,25118
377,37471
378,37211
379,36670
380,37792
381,42891
382,36550
383,37552
384,34105
385,37762
386,36719
387,44875
388,29677
389,23304
390,23696
391,21761
392,24436
393,21602
394,23295
395,22222
396,26811
397,28534
398,22053
399,30187
400,22263
401,22663
402,26120
403,22634
404,22834
405,21301
406,28855
407,32682
408,27603
409,28074
410,29145
411,27242
412,30218
413,37351
414,34486
415,33564
416,36800
417,34386
418,18325
419,28845
420,27884
421,28143
422,31110
423,35858
424,32522
425,35217
426,29296
427,35728
428,28405
429,28885
430,29987
431,35077
432,29947
433,41309
434,32151
435,32693
436,36359
437,35768
438,42381
439,36559
440,37060
441,37471
442,36871
443,45817
444,33504
445,34786
446,41589
447,40187
448,30157
449,37261
450,66616
451,67087
452,36409
453,36700
454,37692
455,37321
456,38543
457,36630
458,42090
459,34055
460,37712
461,37411
462,37011
463,38282
464,37792
465,37290
466,37862
467,37611
468,37692
469,42391
470,34796
471,39395
472,45907
473,28635
474,35738
475,36249
476,37492
477,37441
478,37782
479,37371
480,38203
481,36429
482,38383
483,38523
484,42171
485,29095
486,37592
487,27803
488,28304
489,23295
490,22102
491,27523
492,22213
493,22002
494,17393
495,27243
496,22122
497,22894
498,19808
499,25629
500,23766
501,24196
502,24597
503,25519
504,31831
505,16902
506,18586
507,25269
508,48271
509,28634
510,30739
511,33774
512,34075
513,27593
514,34686
515,27423
516,28184
517,24707
518,30258
519,35127
520,35387
521,46579
522,32592
523,32572
524,35538
525,36139
526,75282
527,75563
528,960969
529,19477
530,35658
531,35217
532,41359
533,46117
534,35929
535,40176
536,33534
537,43353
538,32191
539,36680
540,37602
541,37451
542,37672
543,41649
544,37311
545,32892
546,36009
547,37161
548,46759
549,27412
550,37872
551,36289
552,37922
553,37651
554,37682
555,37271
556,38453
557,36981
558,37541
559,38714
560,37792
561,39725
562,38032
563,43533
564,29165
565,36750
566,38093
567,37842
568,37050
569,37691
570,37171
571,37852
572,37031
573,37922
574,38323
575,38112
576,37151
577,37902
578,37300
579,37300
580,38603
581,37111
582,34205
583,25950
584,30318
585,24867
586,33504
587,34095
588,24346
589,32612
590,19408
591,11903
592,21481
593,21982
594,27092
595,21091
596,21140
597,21101
598,21151
599,23244
600,24287
601,28264
602,20168
603,25249
604,23836
605,30007
606,34676
607,32562
608,29276
609,30969
610,41179
611,30588
612,30348
613,29927
614,29567
615,32922
616,33353
617,36329
618,36720
619,37762
620,33694
621,51006
622,37782
623,35919
624,36028
625,23626
626,24998
627,28374
628,50526
629,36499
630,56968
631,37551
632,35958
633,38733
634,37392
635,37491
636,36690
637,38132
638,36589
639,39225
640,40477
641,35287
642,37772
643,34777
644,35668
645,36990
646,36980
647,37631
648,37922
649,38253
650,37471
651,39956
652,34625
653,38082
654,36850
655,38333
656,37392
657,37771
658,37301
659,38663
660,36379
661,38464
662,37200
663,37260
664,48872
665,26591
666,38023
667,38272
668,37280
669,42130
670,33964
671,37441
672,36960
673,37682
674,37421
675,37161
676,37862
677,41018
678,29827
679,8777
680,17724
681,23665
682,21221
683,21231
684,21511
685,27372
686,21712
687,21411
688,20309
689,24347
690,21962
691,22233
692,21832
693,28454
694,23746
695,24306
696,25980
697,26781
698,34636
699,40046
700,33935
701,36179
702,36930
703,48953
704,34957
705,32562
706,47961
707,55425
708,63560
709,60204
710,41759
711,18616
712,28304
713,44725
714,39315
715,30358
716,34586
717,26441
718,32672
719,30769
720,34245
721,31240
722,38253
723,29175
724,24687
725,28304
726,37221
727,44985
728,35778
729,37261
