Iteration,Latency/Jitter (ns)
0,38393
1,5200
2,4528
3,4478
4,4489
5,4519
6,11151
7,4569
8,4469
9,4468
10,4468
11,4459
12,4469
13,4458
14,4458
15,4459
16,4960
17,4478
18,4458
19,4479
20,4509
21,4468
22,4448
23,11232
24,4528
25,4468
26,4469
27,4468
28,4458
29,4469
30,4469
31,4478
32,4458
33,4639
34,4488
35,4459
36,4448
37,4448
38,4449
39,4438
40,4458
41,4449
42,10931
43,4529
44,4478
45,4468
46,4459
47,4458
48,4458
49,4459
50,4459
51,4518
52,11000
53,4478
54,4469
55,4479
56,4438
57,4458
58,4449
59,4458
60,4448
61,10931
62,4589
63,4469
64,4478
65,4478
66,4459
67,4458
68,4458
69,4459
70,4459
71,11001
72,4498
73,4448
74,4469
75,4458
76,4478
77,4449
78,4449
79,4448
80,4478
81,4619
82,4479
83,4469
84,4468
85,4478
86,4459
87,4468
88,4458
89,4469
90,10931
91,4549
92,4458
93,4458
94,4459
95,4458
96,4458
97,4469
98,4458
99,4458
100,4729
101,4479
102,4459
103,4468
104,4458
105,4469
106,4468
107,4468
108,4449
109,10881
110,4589
111,4478
112,4448
113,4449
114,4438
115,4448
116,4439
117,4438
118,4438
119,11011
120,4529
121,4458
122,4478
123,4439
124,4449
125,4468
126,4448
127,4459
128,4448
129,4628
130,4488
131,4479
132,4459
133,4458
134,4448
135,4519
136,4459
137,4458
138,10920
139,4549
140,4489
141,4468
142,4458
143,4459
144,4469
145,4478
146,4458
147,4459
148,11131
149,4499
150,4479
151,17974
152,4609
153,4469
154,4458
155,11060
156,4488
157,4468
158,4469
159,4478
160,4448
161,4459
162,4448
163,4478
164,19968
165,4709
166,4448
167,4438
168,4449
169,4428
170,4429
171,4449
172,11021
173,4589
174,4468
175,4448
176,4469
177,4458
178,4468
179,4459
180,4459
181,4458
182,11030
183,4518
184,4458
185,4459
186,4468
187,4468
188,4459
189,4458
190,4458
191,4459
192,4659
193,4469
194,4458
195,4458
196,4469
197,4459
198,4458
199,4448
200,4459
201,10911
202,4559
203,4468
204,4448
205,4469
206,4468
207,4468
208,4459
209,4468
210,4458
211,11061
212,4528
213,4469
214,4459
215,4458
216,4448
217,4459
218,4458
219,4448
220,10881
221,4529
222,4458
223,4448
224,4439
225,4438
226,4448
227,4499
228,4448
229,4458
230,10961
231,4519
232,4459
233,4478
234,4448
235,4449
236,4448
237,4448
238,4449
239,4458
240,4639
241,4458
242,4458
243,4459
244,4458
245,4438
246,4459
247,4448
248,4468
249,10891
250,4549
251,4479
252,4458
253,4468
254,4449
255,4458
256,4448
257,4459
258,4458
259,11081
260,4528
261,4458
262,4469
263,4469
264,4448
265,4448
266,4449
267,4458
268,10880
269,4578
270,4459
271,4469
272,4468
273,4468
274,4459
275,4458
276,4458
277,4459
278,10981
279,4509
280,4448
281,4468
282,4469
283,4468
284,4458
285,4459
286,4449
287,4468
288,4628
289,4468
290,4449
291,4458
292,4508
293,4448
294,4459
295,4448
296,4448
297,11031
298,4539
299,4469
300,4448
301,4458
302,4469
303,4458
304,4458
305,23755
306,4558
307,4448
308,4469
309,4458
310,4478
311,4459
312,4468
313,4458
314,11011
315,4548
316,4459
317,4469
318,4448
319,4468
320,4459
321,4468
322,4458
323,4509
324,4759
325,4469
326,4448
327,4448
328,4449
329,4458
330,4438
331,4448
332,4679
333,4489
334,4459
335,4468
336,4458
337,4459
338,4458
339,4468
340,4459
341,10860
342,4568
343,4458
344,4459
345,4438
346,4438
347,4459
348,4448
349,4458
350,4449
351,10971
352,4499
353,4448
354,4478
355,4459
356,4458
357,4448
358,4459
359,4458
360,4458
361,4648
362,4468
363,4459
364,4468
365,4468
366,4459
367,4459
368,4458
369,4468
370,10961
371,4589
372,4469
373,4458
374,4468
375,4449
376,4448
377,4458
378,4449
379,4459
380,11041
381,4468
382,4458
383,4479
384,4448
385,4458
386,4459
387,4459
388,4438
389,10910
390,4549
391,4459
392,4468
393,4458
394,4469
395,4459
396,4468
397,4448
398,4449
399,10981
400,4518
401,4448
402,4469
403,4458
404,4458
405,4468
406,4459
407,4448
408,10740
409,4619
410,4479
411,4468
412,4458
413,4459
414,4458
415,4468
416,4459
417,4458
418,10970
419,4518
420,4468
421,4479
422,4458
423,4468
424,4459
425,4468
426,4468
427,4459
428,4669
429,4469
430,4458
431,4468
432,4449
433,4448
434,4458
435,4459
436,4448
437,10870
438,4568
439,4468
440,4449
441,4458
442,4448
443,4459
444,4458
445,4458
446,4459
447,10971
448,4519
449,4468
450,4478
451,4469
452,4468
453,4508
454,4468
455,4469
456,4468
457,4629
458,4759
459,4479
460,4438
461,4438
462,4449
463,4448
464,11020
465,4498
466,4458
467,4469
468,4458
469,4468
470,4459
471,4458
472,4448
473,18976
474,4679
475,4468
476,4448
477,4459
478,4428
479,4438
480,4439
481,4448
482,4649
483,4458
484,4448
485,4449
486,4458
487,4438
488,4439
489,4449
490,4448
491,10881
492,4539
493,4449
494,4458
495,4458
496,4459
497,4468
498,4448
499,4449
500,4448
501,11151
502,4469
503,4468
504,4468
505,4459
506,4468
507,4468
508,4469
509,4459
510,10900
511,4568
512,4458
513,4439
514,4438
515,4438
516,4439
517,4438
518,4429
519,4438
520,11001
521,4528
522,4458
523,4459
524,4448
525,4458
526,4449
527,4469
528,4448
529,4509
530,4639
531,4469
532,4469
533,4458
534,4458
535,4449
536,4458
537,4468
538,4469
539,10911
540,4549
541,4468
542,4518
543,4469
544,4449
545,4468
546,4458
547,4479
548,4468
549,4669
550,4468
551,4468
552,4479
553,4468
554,4458
555,4469
556,4479
557,4468
558,10870
559,4549
560,4459
561,4448
562,4448
563,4439
564,4438
565,4439
566,4449
567,4438
568,10981
569,4499
570,4459
571,4518
572,4468
573,4449
574,4469
575,4448
576,4459
577,4459
578,4619
579,4478
580,4468
581,4469
582,4459
583,4448
584,4458
585,4459
586,4468
587,10940
588,4578
589,4468
590,4459
591,4478
592,4478
593,4469
594,4469
595,4458
596,4458
597,11031
598,4479
599,4468
600,4478
601,4468
602,4479
603,4468
604,4468
605,4449
606,11041
607,4569
608,4459
609,4448
610,4438
611,4469
612,4819
613,10940
614,4568
615,4468
616,4469
617,4448
618,4468
619,4459
620,4469
621,4458
622,4458
623,19237
624,4508
625,4448
626,4459
627,4458
628,4448
629,4459
630,4449
631,11181
632,4529
633,4468
634,4478
635,4469
636,4459
637,4458
638,4488
639,4459
640,4479
641,4649
642,4458
643,4458
644,4459
645,4458
646,4448
647,4449
648,4458
649,4468
650,10921
651,4539
652,4459
653,4468
654,4468
655,4459
656,4458
657,4468
658,4469
659,4469
660,10981
661,4478
662,4458
663,4469
664,4458
665,4458
666,4449
667,4459
668,4448
669,10890
670,4579
671,4479
672,4468
673,4468
674,4459
675,4459
676,4448
677,4458
678,4459
679,10971
680,4509
681,4478
682,4488
683,4479
684,4468
685,4458
686,4469
687,4509
688,4458
689,4608
690,4468
691,4459
692,4459
693,4478
694,4448
695,4459
696,4448
697,4458
698,10861
699,4539
700,4468
701,4468
702,4459
703,4469
704,4458
705,4468
706,4459
707,4458
708,11051
709,4488
710,4448
711,4459
712,4458
713,4468
714,4469
715,4478
716,4458
717,10901
718,4569
719,4459
720,4428
721,4438
722,4429
723,4438
724,4449
725,4429
726,4438
727,11061
728,4508
729,4469
730,4479
731,4458
732,4468
733,4469
734,4478
735,4468
736,4469
737,4609
738,4479
739,4458
740,4448
741,4439
742,4438
743,4448
744,4449
745,4439
746,10930
747,4538
748,4478
749,4459
