Iteration,Latency/Jitter (ns)
0,77868
1,-43170
2,-6410
3,-2323
4,15862
5,-17011
6,30539
7,-20166
8,-9567
9,10361
10,47431
11,-22000
12,-23613
13,-8774
14,2556
15,-4176
16,-590
17,3799
18,-2173
19,2326
20,3629
21,-9336
22,9369
23,53111
24,-24023
25,-21469
26,36089
27,-43881
28,2707
29,33935
30,-28081
31,-13865
32,30850
33,-23322
34,-9296
35,5141
36,-4988
37,-910
38,14729
39,-15217
40,5542
41,3468
42,35759
43,-33010
44,46609
45,-48510
46,2727
47,-6100
48,6353
49,-8093
50,6944
51,-7733
52,2396
53,5472
54,-6631
55,3779
56,-5078
57,372
58,7456
59,192
60,-670
61,-1621
62,1745
63,2115
64,-9206
65,1936
66,7265
67,-8334
68,1203
69,5632
70,-10017
71,7506
72,993
73,-7853
74,11383
75,-10759
76,-3244
77,7806
78,-649
79,-2494
80,-58
81,16713
82,3147
83,-17411
84,2757
85,1825
86,-8525
87,6875
88,-9436
89,6233
90,6233
91,-2944
92,4701
93,-5629
94,-10769
95,15771
96,-14736
97,11784
98,2065
99,-10658
100,2356
101,2265
102,57430
103,-43080
104,37112
105,-22521
106,-23873
107,38584
108,-42288
109,-5278
110,-550
111,14759
112,-16068
113,4911
114,2345
115,-9175
116,4320
117,56878
118,-23693
119,-23893
120,38043
121,-43641
122,-2974
123,-2413
124,18066
125,-16309
126,3277
127,2717
128,-9206
129,3478
130,-3284
131,-2383
132,16392
133,-16409
134,11623
135,-3605
136,36550
137,-36166
138,50827
139,-50864
140,4310
141,38193
142,-41386
143,-5128
144,-3365
145,17825
146,-16820
147,3198
148,3327
149,37062
150,-28072
151,-14015
152,12466
153,-9196
154,-4387
155,24127
156,-23593
157,613
158,3718
159,8628
160,-1952
161,4059
162,-11830
163,18095
164,-13403
165,7896
166,-159
167,-15818
168,9289
169,-6661
170,-680
171,9550
172,-5659
173,-1592
174,3659
175,953
176,-4437
177,3759
178,-5859
179,5261
180,-5569
181,8528
182,-11781
183,142
184,13838
185,-11250
186,-3064
187,5241
188,-3214
189,7626
190,402
191,-7392
192,19167
193,-17842
194,352
195,2196
196,-4888
197,3499
198,1484
199,2135
200,5963
201,-15337
202,10381
203,-5459
204,-1200
205,15330
206,-14836
207,3568
208,3268
209,-7783
210,3347
211,54464
212,-61594
213,15431
214,-14917
215,30790
216,-24365
217,38024
218,-23363
219,-15758
220,3448
221,2837
222,-9216
223,4510
224,-3775
225,-3826
226,18436
227,-16199
228,27995
229,-22601
230,-6942
231,6143
232,-4456
233,7836
234,4710
235,-12462
236,5682
237,-3424
238,-1191
239,14990
240,-16309
241,6994
242,-1892
243,-2483
244,18076
245,37993
246,-50243
247,4831
248,36490
249,-22761
250,-21209
251,7245
252,5492
253,-10498
254,3869
255,-2543
256,-600
257,-3565
258,13577
259,-3315
260,-5378
261,-9717
262,9510
263,-6922
264,10431
265,-7953
266,-2403
267,9830
268,-2293
269,1144
270,12274
271,-24374
272,10401
273,3338
274,-4226
275,4630
276,-4747
277,6554
278,-10729
279,9740
280,17274
281,-19786
282,793
283,7666
284,-18723
285,9649
286,10973
287,-4878
288,1364
289,-11931
290,1665
291,1414
292,-3916
293,3969
294,-3926
295,-4236
296,14679
297,-12462
298,-4066
299,14629
300,-10628
301,29286
302,-23422
303,-9136
304,23216
305,-22671
306,36810
307,-22701
308,-16259
309,7917
310,-1582
311,-2453
312,212
313,53943
314,-23162
315,-23703
316,-7853
317,3228
318,-3385
319,-3275
320,14048
321,41089
322,-45304
323,-5979
324,71
325,893
326,55306
327,-53088
328,6984
329,36100
330,-41607
331,-3194
332,-5679
333,24968
334,-22320
335,13447
336,-9647
337,-2533
338,1153
339,56599
340,-23864
341,-28862
342,-8435
343,8608
344,-2593
345,35949
346,-25136
347,-13544
348,30148
349,-29273
350,-1712
351,11223
352,-4818
353,-9005
354,8107
355,6974
356,3719
357,-13073
358,10231
359,-8525
360,-5498
361,4049
362,4850
363,-9977
364,6404
365,-4497
366,-780
367,14429
368,-11600
369,5612
370,-2143
371,-8554
372,16272
373,-6431
374,-579
375,3358
376,-7963
377,1654
378,-5158
379,1915
380,10351
381,-10157
382,11353
383,-7803
384,-3185
385,3198
386,2216
387,5111
388,-1862
389,-1361
390,-5629
391,-2853
392,5011
393,9780
394,-16951
395,14780
396,-3665
397,-12232
398,8087
399,2056
400,-5299
401,12425
402,-14886
403,3939
404,-1792
405,-2824
406,3939
407,-2272
408,6413
409,-3986
410,-3034
411,3489
412,-3175
413,-950
414,12756
415,-12813
416,7426
417,-5048
418,42141
419,-41597
420,-719
421,-2213
422,4039
423,-2653
424,3568
425,-790
426,36941
427,-35445
428,49205
429,-23533
430,-25897
431,39907
432,-23253
433,37853
434,-58168
435,4881
436,48643
437,-27891
438,37993
439,-64329
440,-209
441,4741
442,-1311
443,1785
444,-7422
445,25189
446,-22080
447,492
448,8167
449,41420
450,-39733
451,-6260
452,2045
453,-4797
454,-39
455,10431
456,-4617
457,142
458,16663
459,-17150
460,4580
461,3648
462,-9566
463,2597
464,-2253
465,372
466,6394
467,-15227
468,14128
469,-11991
470,7937
471,5451
472,-14034
473,-1902
474,16582
475,-13072
476,7004
477,-3815
478,3528
479,-3555
480,1875
481,893
482,2467
483,-4968
484,9960
485,-14525
486,3247
487,11353
488,-7131
489,-570
490,-329
491,-8825
492,29227
493,-19084
494,5602
495,-6521
496,-99
497,1916
498,-2574
499,6895
500,-6611
501,-5909
502,4870
503,52
504,-6581
505,4060
506,-3585
507,-1712
508,18046
509,-13785
510,1515
511,63882
512,-66244
513,19749
514,-19575
515,-2253
516,13367
517,-11820
518,3087
519,24428
520,32783
521,-53339
522,3308
523,-9717
524,34727
525,-32399
526,38744
527,-22540
528,-17201
529,6744
530,-6140
531,-2503
532,88508
533,-64770
534,14309
535,-27260
536,41630
537,-45795
538,-4807
539,-700
540,6013
541,-4577
542,31581
543,-28361
544,-5239
545,24208
546,-27571
547,3258
548,12896
549,-15848
550,12114
551,903
552,-8804
553,5922
554,-6460
555,6544
556,-6090
557,1935
558,9730
559,-3164
560,-10138
561,5161
562,-3104
563,5602
564,2106
565,-10228
566,4671
567,-3976
568,18617
569,-12322
570,-8735
571,27413
572,-13664
573,-8744
574,15771
575,-8955
576,11723
577,-17792
578,-2883
579,14959
580,-9406
581,16563
582,-10949
583,-11600
584,4710
585,2056
586,8437
587,4631
588,-16099
589,3528
590,2807
591,-4036
592,152
593,-1631
594,10832
595,-730
596,-18573
597,10852
598,-4407
599,13607
600,-7873
601,-9566
602,292
603,2075
604,1375
605,4910
606,-6941
607,48783
608,-32128
609,-16600
610,31050
611,-26548
612,-7523
613,7466
614,54033
615,-59721
616,12585
617,-11750
618,26922
619,-26388
620,40197
621,-23352
622,-18443
623,7796
624,-4346
625,43704
626,-23022
627,-20096
628,-1101
629,2096
630,-4126
631,28605
632,-25566
633,-3275
634,20240
635,-17882
636,3518
637,393
638,-5599
639,6974
640,-7191
641,602
642,15150
643,-16289
644,7346
645,-5900
646,42592
647,-40374
648,56838
649,-51235
650,1725
651,-1180
652,-2383
653,-1662
654,6073
655,-11480
656,-429
657,13607
658,-11930
659,1023
660,16793
661,-9486
662,60836
663,-58749
664,-6741
665,4611
666,74632
667,-63288
668,-7202
669,-5559
670,7035
671,-11991
672,343
673,1604
674,-5849
675,13697
676,-3805
677,-10799
678,5973
679,1224
680,-6281
681,12916
682,-2513
683,-4527
684,4771
685,-559
686,-4648
687,-4426
688,2426
689,15701
690,-9576
691,4039
692,-5308
693,6524
694,-3856
695,-4848
696,1966
697,-69
698,-6751
699,13888
700,-4276
701,-7343
702,15231
703,-17291
704,31240
705,-28412
706,17124
707,-8514
708,48392
709,-23583
710,-23222
711,-6901
712,61578
713,-20748
714,-23222
715,-18824
716,-4176
717,31862
718,-29715
719,44215
720,-41897
721,-7092
722,1815
723,15030
724,-16690
725,30279
726,-23583
727,8879
728,6473
729,36932
730,-23663
731,-29404
732,-5318
733,25910
734,37763
735,-62707
736,3779
737,-7683
738,33805
739,-26578
740,5351
741,12946
742,77428
743,-42869
744,-44192
745,-12882
746,8567
747,56108
748,-62346
749,16342
750,-13313
751,7946
752,293
753,-13795
754,5783
755,4089
756,-11209
757,20460
758,-16129
759,8037
760,-3946
761,-6491
762,12726
763,-5829
764,8637
765,-11890
766,562
767,2827
768,2497
769,5171
770,-4808
771,-739
772,-3876
773,-1692
774,-2342
775,15691
776,-16169
777,8969
778,-5609
779,-3896
780,3017
781,-4296
782,17294
783,-3876
784,-11760
785,66507
786,-48630
787,-11140
788,9961
789,-12793
790,6284
791,-550
792,-4346
793,-189
794,-3084
795,8597
796,2517
797,-6571
798,-3214
799,-870
800,43784
801,-40084
802,-9096
803,683
804,14750
805,-15909
806,30469
807,-24414
808,38945
809,-23062
810,-17962
811,5863
812,-3415
813,43864
814,-44181
815,-5710
816,3348
817,2487
818,49825
819,-47137
820,-2513
821,-5739
822,5321
823,54294
824,-59290
825,6995
826,-7964
827,5582
