Iteration,Latency/Jitter (ns)
0,-954154
1,-201684
2,16437
3,-11606
4,-2629
5,5496
6,-4152
7,-2660
8,4645
9,-7528
10,21126
11,-981986
12,-25312
13,20885
14,-981435
15,-26545
16,-24320
17,22017
18,-982437
19,-24440
20,-24741
21,22248
22,-982096
23,-25382
24,22218
25,-982336
26,-25643
27,-22146
28,20625
29,-982266
30,-25883
31,22258
32,-982317
33,-24851
34,-23929
35,21607
36,-981745
37,-26003
38,-23850
39,22338
40,-982267
41,-26143
42,22137
43,-982376
44,-25132
45,-23748
46,21727
47,-982417
48,-24821
49,20685
50,-982287
51,-23819
52,-23840
53,9764
54,-979521
55,-27356
56,19323
57,-980233
58,-25262
59,-23799
60,19232
61,-980073
62,217637
63,-976206
64,-228925
65,-23128
66,-23378
67,19403
68,-980293
69,-21284
70,15285
71,-980363
72,-24601
73,-24340
74,19794
75,-980063
76,-23859
77,-25351
78,16016
79,5706
80,-15464
81,7120
82,-4252
83,-3671
84,7139
85,-11075
86,9975
87,-3010
88,-4472
89,7590
90,-6416
91,-705
92,5486
93,-4753
94,5416
95,-2820
96,-2579
97,9324
98,-10534
99,9284
100,-1668
101,-3741
102,5667
103,-2088
104,6789
105,-1217
106,359003
107,-945958
108,-424424
109,16828
110,6017
111,-3891
112,-7849
113,11107
114,-4002
115,3603
116,107
117,-7809
118,8221
119,-3691
120,-5234
121,5396
122,-1156
123,4404
124,-3982
125,-6437
126,10356
127,-4272
128,2931
129,12520
130,-25252
131,12690
132,-972167
133,-26574
134,11638
135,-972629
136,-25792
137,-23288
138,11537
139,-972168
140,-26213
141,-24510
142,12128
143,-976746
144,-29369
145,16848
146,-980473
147,-25793
148,-22777
149,19613
150,-980413
151,-26544
152,20565
153,-980604
154,-25772
155,-22557
156,19202
157,-980603
158,-23899
159,-23990
160,19253
161,-980523
162,-25743
163,20835
164,-980453
165,-25171
166,-23468
167,19342
168,-980754
169,-24149
170,18771
171,-980533
172,-25041
173,-23478
174,20123
175,-980493
176,-22436
177,-26153
178,19643
179,-980504
180,-24871
181,267962
182,-973751
183,-280092
184,-21033
185,16396
186,-980343
187,-22427
