Iteration,Latency/Jitter (ns)
0,52655
1,35573
2,36985
3,38648
4,35933
5,41874
6,27417
7,44339
8,37296
9,36875
10,38007
11,37366
12,40642
13,34400
14,37085
15,37436
16,37176
17,37516
18,37556
19,37376
20,38398
21,31254
22,43457
23,37426
24,40943
25,34089
26,36734
27,37677
28,38217
29,37016
30,37856
31,39450
32,35843
33,36895
34,38248
35,36544
36,36865
37,38579
38,40061
39,38157
40,33789
41,38559
42,35642
43,37557
44,37947
45,37546
46,37977
47,72683
48,64366
49,55080
50,19001
51,37396
52,36534
53,38308
54,37156
55,37416
56,36945
57,37967
58,37316
59,37987
60,37356
61,40331
62,34982
63,43157
64,34981
65,34821
66,36915
67,37086
68,37596
69,36825
70,38007
71,37687
72,48857
73,25474
74,37586
75,38248
76,36584
77,37627
78,37967
79,36855
80,37967
81,37857
82,38017
83,36584
84,37697
85,36695
86,38748
87,38228
88,35763
89,37846
90,42054
91,35863
92,34311
93,37175
94,37476
95,37075
96,37636
97,37556
98,37376
99,41173
100,34491
101,38568
102,38568
103,35583
104,37306
105,37175
106,51212
107,24712
108,37315
109,36865
110,37447
111,37285
112,38007
113,37325
114,36795
115,37827
116,37175
117,40502
118,34150
119,38107
120,37355
121,36705
122,38268
123,38879
124,36484
125,56833
126,18009
127,37677
128,37185
129,37727
130,37566
131,37356
132,38097
133,36644
134,37286
135,37436
136,36955
137,37546
138,38328
139,37536
140,39741
141,35091
142,37146
143,47014
144,39079
145,27047
146,37576
147,35072
148,57163
149,39911
150,29882
151,42866
152,97289
153,39911
154,32777
155,40602
156,30713
157,38719
158,36334
159,41634
160,37035
161,37346
162,22287
163,38238
164,38949
165,36444
166,37136
167,36754
168,40913
169,37516
170,34571
171,37757
172,36915
173,37566
174,37196
175,37255
176,38559
177,42675
178,36744
179,32186
180,37507
181,37856
182,37146
183,39720
184,38549
185,35131
186,36705
187,37857
188,49328
189,31826
190,31535
191,36504
192,38298
193,37256
194,37586
195,40241
196,37136
197,34821
198,37406
199,38047
200,37045
201,37466
202,57163
203,18049
204,31245
205,46012
206,35322
207,36915
208,39570
209,35373
210,38107
211,37366
212,37326
213,37907
214,36183
215,37737
216,37566
217,37957
218,37576
219,37716
220,37056
221,38488
222,42605
223,31645
224,36524
225,39630
226,38118
227,35051
228,36955
229,38228
230,47154
231,27918
232,37116
233,38338
234,36765
235,37846
236,38629
237,36644
238,36845
239,37867
240,37296
241,38758
242,39811
243,34961
244,36605
245,37837
246,40582
247,34300
248,40642
249,37466
250,40131
251,30644
252,40632
253,34641
254,37586
255,37606
256,37517
257,37887
258,36654
259,37647
260,38818
261,37116
262,36634
263,343173
264,37406
265,37786
266,36655
267,41844
268,36765
269,49028
270,21737
271,38237
272,37637
273,37245
274,37826
275,48678
276,26435
277,37706
278,36804
279,38338
280,36454
281,37617
282,38377
283,36584
284,57875
285,25914
286,31214
287,37937
288,34952
289,36905
290,38027
291,37276
292,37265
293,40892
294,37436
295,35152
296,36655
297,39850
298,34461
299,38047
300,36955
301,37817
302,40141
303,35032
304,49398
305,26816
306,36835
307,40652
308,33960
309,37035
310,37727
311,37696
312,37106
313,38478
314,35813
315,38258
316,36614
317,38398
318,38418
319,36795
320,39770
321,36905
322,34761
323,38257
324,36544
325,37887
326,37456
327,37105
328,38338
329,21947
330,52474
331,37697
332,41754
333,33959
334,37426
335,36874
336,37195
337,39570
338,36274
339,36645
340,37646
341,37306
342,37155
343,37747
344,37917
345,37246
346,38428
347,39560
348,38127
349,34320
350,36735
351,37767
352,37446
353,42676
354,30493
355,47324
356,31003
357,35782
358,37646
359,36895
360,37376
361,37286
362,38468
363,36755
364,38067
365,37186
366,37836
367,37627
368,37836
369,40673
370,33799
371,40582
372,34510
373,39941
374,38218
375,34230
376,37536
377,37406
378,37216
379,37576
380,37256
381,37406
382,35131
383,40301
384,37566
385,36685
386,38218
387,37927
388,37115
389,37286
390,39600
391,35703
392,38678
393,35633
394,39319
395,37406
396,36164
397,37586
398,37216
399,37747
400,40652
401,37476
402,33539
403,37416
404,37816
405,37116
406,37556
407,37637
408,48998
409,26204
410,38698
411,36134
412,37516
413,37676
414,38589
415,36604
416,37266
417,37145
418,37897
419,36955
420,37517
421,38167
422,36895
423,37667
424,37326
425,37726
426,37366
427,40111
428,34761
429,37466
430,37537
431,38007
432,37005
433,37396
434,37146
435,39900
436,35583
437,36795
438,37937
439,37396
440,37887
441,37436
442,36784
443,38167
444,37707
445,37305
446,37637
447,37316
448,38327
449,36784
450,37166
451,37947
452,37987
453,40692
454,37156
455,33779
456,37426
457,37105
458,37707
459,37697
460,37055
461,37697
462,22798
463,52855
464,36795
465,37306
466,37536
467,37416
468,37506
469,37557
470,36875
471,38458
472,38919
473,36374
474,36905
475,37165
476,37527
477,37396
478,37686
479,38248
480,39900
481,37486
482,34420
483,37206
484,37175
485,37817
486,37035
487,37797
488,47195
489,28128
490,37496
491,38178
492,50150
493,24291
494,36414
495,38168
496,37065
497,37747
498,37606
499,37456
500,37326
501,37116
502,37636
503,43718
504,31284
505,38147
506,37075
507,39861
508,35272
509,35973
510,39220
511,37306
512,37636
513,37827
514,36905
515,31795
516,42475
517,38929
518,36414
519,37827
520,37356
521,37025
522,39049
523,36034
524,37686
525,37917
526,37246
527,36534
528,38007
529,38208
530,37436
531,37416
532,43537
533,33940
534,39139
535,33389
536,37015
537,37316
538,38137
539,36464
540,38108
541,47455
542,27447
543,37426
544,38318
545,36073
546,37657
547,16446
548,34400
549,33448
550,36995
551,37066
552,37797
553,38187
554,36805
555,37656
556,37176
557,37065
558,37937
559,36975
560,38457
561,39159
562,35582
563,37376
564,36986
565,37376
566,37436
567,36724
568,19432
569,51333
570,42836
571,37777
572,36825
573,37726
574,37426
575,37657
576,37736
577,36855
578,37887
579,37767
580,36464
581,38137
582,36874
583,40792
584,34861
585,39250
586,35602
587,40182
588,43257
589,29360
590,37125
591,37035
592,37476
593,36264
594,38368
595,45531
596,30503
597,37036
598,37235
599,37657
600,38588
601,36895
602,38198
603,35903
604,37767
605,37035
606,38247
607,39210
608,35422
609,37406
610,528893
611,34811
612,37256
613,37566
614,37085
615,41243
616,33368
617,37496
618,37727
619,37576
620,37336
621,37376
622,37496
623,37126
624,38237
625,37306
626,38017
627,36615
628,40411
629,343493
630,33799
631,37526
632,37476
633,37105
634,37757
635,37276
636,37716
637,37335
638,37216
639,38208
640,37366
641,37666
642,37035
643,37186
644,37777
645,118779
646,17999
647,36824
648,37186
649,37657
650,37506
651,37085
652,46704
653,7640
654,58255
655,37787
656,38678
657,903469
658,25033
659,37145
660,37516
661,36715
662,37897
663,37847
664,39039
665,36935
666,36444
667,37576
668,36915
669,38077
670,37256
671,37496
672,37716
673,37496
674,37696
675,39941
676,37426
677,34320
678,38238
679,36213
680,38358
681,37316
682,37206
683,36704
684,38868
685,36695
686,37596
687,37787
688,36905
689,38027
690,37667
691,37195
692,37396
693,37366
694,38368
695,588265
696,46543
697,26756
698,37175
699,37777
700,37226
701,37416
702,37346
703,38377
704,36885
705,37467
706,37245
707,37677
708,37676
709,36845
710,37887
711,38578
712,36494
713,37616
714,40182
715,35822
716,35873
717,37987
718,37235
719,37246
720,37356
721,37927
722,17198
723,60079
724,35061
725,37797
726,37556
727,37356
728,37065
729,37777
730,37977
731,37266
732,37376
733,37716
734,37436
735,37185
736,37516
737,37436
738,37596
739,37286
740,40642
741,19141
742,16226
743,322183
744,33829
745,37215
746,37426
747,37506
748,37136
749,37887
750,37556
751,37066
752,37786
753,37206
754,37356
755,37696
756,37687
757,38117
758,37276
759,37065
760,38268
761,39791
762,273380
763,42736
764,37355
765,37537
766,37716
767,37106
768,37446
769,37215
770,37557
771,37746
772,37617
773,37406
774,37406
775,37736
776,37215
777,36815
778,38007
779,38448
780,36895
781,345507
782,38228
783,55520
784,23880
785,30884
786,36264
787,39069
788,35332
789,37306
790,38899
791,35983
792,38117
793,36684
794,37967
795,37547
796,37636
797,36935
798,59828
799,20073
800,35713
801,34781
802,37866
803,37736
804,36585
805,37376
806,39770
807,31575
808,42977
809,35572
810,37316
811,39600
812,38518
813,35192
814,37236
815,37095
816,37256
817,37907
818,39289
819,38558
820,34029
821,37577
822,33007
823,41844
824,37807
825,37396
826,40351
827,37717
828,34420
829,36645
830,37626
831,37466
832,37386
833,48066
834,31185
835,34640
836,36884
837,39259
838,36454
839,37747
840,36724
841,37086
842,36564
843,38138
844,37887
845,37055
846,38318
847,38618
848,36073
849,36774
850,43167
851,35573
852,34019
853,40232
854,34751
855,37506
856,38117
857,37025
858,36905
859,37436
860,39139
861,45371
862,28088
863,37857
864,37877
865,36685
866,41543
867,34360
868,37386
869,38117
870,36494
871,37977
872,36885
873,37235
874,37336
875,37907
876,38358
877,36805
878,37426
879,40401
880,37075
881,34671
882,36985
883,37917
884,37356
885,38027
886,36555
887,22077
888,54548
889,36164
890,36664
891,37797
892,38328
893,36674
894,38078
895,40101
896,34911
897,38137
898,37216
899,37847
900,37396
901,37416
902,36694
903,37496
904,36805
905,37506
906,40441
907,38277
908,34250
909,37216
910,37987
911,36685
912,37235
913,43848
914,49178
915,20484
916,38147
917,37296
918,37406
919,36945
920,37637
921,37486
922,37696
923,37125
924,37596
925,37146
926,37897
927,38578
928,35813
929,37967
930,36905
931,40081
932,35613
933,36664
934,38388
935,37406
936,36955
937,37747
938,36665
939,37857
940,32526
941,42315
942,44809
943,30883
944,44179
945,30563
946,38558
947,37206
948,36554
949,37737
950,37657
951,37426
952,36684
953,39049
954,37246
955,36705
956,37496
957,37666
958,37206
959,40271
960,37717
961,34200
962,40412
963,35161
964,37095
965,36734
966,48207
967,27848
968,37997
969,36665
970,36905
971,47364
972,28669
973,36494
974,38208
975,42335
976,32707
977,36745
978,38077
979,37567
980,37606
981,37586
982,37286
983,41844
984,33338
985,38788
986,38538
987,37466
988,35031
989,40883
990,34681
991,35983
992,37837
993,40952
994,34430
995,37706
996,36854
997,37826
998,36465
999,37886
1000,37486
1001,37806
1002,37936
1003,37166
1004,38578
1005,36625
1006,37506
1007,37025
1008,37536
1009,39891
1010,36094
1011,37245
1012,37096
1013,40542
1014,33999
1015,37677
1016,44569
1017,30433
1018,37586
1019,37746
1020,20895
1021,54017
1022,36535
1023,40932
1024,34781
1025,37816
1026,42155
1027,33399
1028,42265
1029,32907
1030,37046
1031,37225
1032,37396
1033,37537
1034,36875
1035,37917
1036,37416
1037,37756
1038,37206
1039,40171
1040,37396
1041,35001
1042,37375
1043,37375
1044,36966
1045,37065
1046,62453
1047,15024
1048,36244
1049,36995
1050,37136
1051,37967
1052,37626
1053,37005
1054,37496
1055,37265
1056,37797
1057,37626
1058,38038
1059,36484
1060,37496
1061,38137
1062,36985
1063,37816
1064,37676
1065,37646
1066,41915
1067,36484
1068,33118
1069,37506
1070,37476
1071,37256
1072,38338
1073,31936
1074,42706
1075,37947
1076,37245
1077,37546
1078,36664
1079,37566
1080,37797
1081,37867
1082,37346
1083,37075
1084,37256
1085,40572
1086,35483
1087,37305
1088,38669
1089,36514
1090,37616
1091,37136
1092,40011
1093,37917
1094,34570
1095,38327
1096,38047
1097,35422
1098,37827
1099,46783
1100,30193
1101,35703
1102,37335
1103,39059
1104,35914
1105,37766
1106,36996
1107,38638
1108,36584
1109,37256
1110,37907
1111,36374
1112,38138
1113,38337
1114,37657
1115,36564
1116,37025
1117,38749
1118,37025
1119,40091
1120,39009
1121,32708
1122,37967
1123,37746
1124,37056
1125,37115
1126,40151
1127,35012
1128,38067
1129,36995
1130,36915
