Iteration,Latency/Jitter (ns)
0,17923
1,3296
2,2976
3,2946
4,2956
5,2956
6,2966
7,2956
8,2966
9,2955
10,2965
11,2945
12,2965
13,2945
14,8245
15,2966
16,2966
17,2966
18,2966
19,2946
20,2955
21,2955
22,2955
23,2965
24,2986
25,2956
26,2966
27,2956
28,7965
29,3066
30,2976
31,2956
32,2956
33,2955
34,2945
35,2945
36,2945
37,2955
38,2955
39,2956
40,2956
41,2976
42,2946
43,8106
44,3056
45,2976
46,2956
47,2955
48,2985
49,2945
50,2955
51,2956
52,2946
53,2956
54,2956
55,2966
56,2966
57,2966
58,8125
59,3066
60,2955
61,2965
62,2955
63,2956
64,2976
65,2946
66,2956
67,2946
68,2956
69,2956
70,2975
71,2985
72,2955
73,8185
74,3005
75,3006
76,2966
77,2956
78,2956
79,2946
80,2955
81,2945
82,2955
83,2955
84,2955
85,2955
86,2956
87,2956
88,8125
89,2976
90,2946
91,2996
92,2956
93,2956
94,2945
95,2945
96,2955
97,2955
98,2955
99,2955
100,2956
101,2956
102,2956
103,3106
104,2956
105,2956
106,2966
107,2995
108,14958
109,3055
110,2965
111,2955
112,2956
113,2986
114,8085
115,3026
116,2956
117,2966
118,2956
119,2966
120,2955
121,2945
122,2955
123,2945
124,2945
125,2955
126,2956
127,2956
128,2966
129,8156
130,3026
131,2956
132,2946
133,2945
134,2965
135,2955
136,2945
137,2955
138,2955
139,2956
140,2956
141,2956
142,2956
143,2956
144,8046
145,3006
146,2946
147,2966
148,2986
149,2955
150,2945
151,2965
152,2945
153,2956
154,2956
155,2956
156,2946
157,2956
158,2946
159,8186
160,2996
161,2975
162,2965
163,2955
164,2955
165,2986
166,2956
167,2956
168,2956
169,2956
170,2946
171,2956
172,2945
173,2955
174,8175
175,2955
176,2955
177,2965
178,2986
179,2956
180,2956
181,2956
182,2956
183,2956
184,2956
185,2985
186,2945
187,2955
188,2965
189,3086
190,2976
191,2976
192,2976
193,2965
194,2965
195,2965
196,2976
197,2966
198,2976
199,2966
200,2976
201,2975
202,2965
203,15990
204,3135
205,2986
206,2956
207,2966
208,2966
209,2966
210,2985
211,2965
212,2965
213,2955
214,2986
215,2956
216,8366
217,3005
218,2965
219,2986
220,2976
221,2976
222,2986
223,2996
224,2975
225,2975
226,2975
227,2976
228,2966
229,2976
230,2966
231,3116
232,2976
233,2975
234,2975
235,2975
236,2976
237,2996
238,2976
239,2966
240,2975
241,2975
242,2965
243,2976
244,2976
245,8005
246,3076
247,2986
248,3006
249,2965
250,2975
251,2975
252,2965
253,2966
254,2956
255,2966
256,2976
257,2966
258,2995
259,2975
260,8135
261,3025
262,2966
263,2976
264,2966
265,2976
266,2976
267,2965
268,2965
269,2965
270,2966
271,2966
272,2976
273,2996
274,2966
275,8105
276,2996
277,2965
278,2975
279,2975
280,2976
281,2966
282,2966
283,2966
284,2966
285,2965
286,2985
287,2965
288,2976
289,2976
290,8266
291,2986
292,2976
293,2975
294,3005
295,2966
296,2976
297,2996
298,2976
299,3025
300,2975
301,2976
302,2976
303,2966
304,8106
305,3046
306,2975
307,2965
308,2995
309,2976
310,2976
311,3006
312,2965
313,2975
314,2965
315,2986
316,2976
317,2966
318,2976
319,8165
320,3036
321,2985
322,2965
323,2976
324,2976
325,3006
326,2986
327,2975
328,3005
329,2966
330,3006
331,2976
332,2966
333,2975
334,8175
335,2985
336,2975
337,2966
338,2966
339,3006
340,2976
341,3005
342,2965
343,2976
344,2976
345,13736
346,3196
347,2966
348,2976
349,2976
350,2966
351,2965
352,2975
353,2985
354,2996
355,2976
356,2976
357,2976
358,2975
359,2975
360,7975
361,3065
362,2985
363,2986
364,2976
365,2966
366,2986
367,2956
368,2975
369,2995
370,2996
371,2966
372,2976
373,2966
374,2996
375,8195
376,3035
377,3005
378,2976
379,2966
380,2966
381,2966
382,2976
383,2975
384,2975
385,2975
386,2976
387,2986
388,2966
389,2966
390,8146
391,3006
392,2975
393,2965
394,3005
395,2976
396,2966
397,2996
398,2966
399,2966
400,2975
401,2965
402,2965
403,2966
404,2976
405,3105
406,2986
407,2976
408,2976
409,2976
410,2975
411,2975
412,2975
413,2966
414,2976
415,2976
416,2976
417,2976
418,2965
419,7995
420,3076
421,2965
422,2975
423,2955
424,2976
425,2976
426,3026
427,2996
428,2965
429,2965
430,2965
431,2976
432,2966
433,2966
434,8096
435,3006
436,2956
437,2956
438,2966
439,2955
440,2955
441,2955
442,2955
443,2975
444,2956
445,2946
446,2956
447,2946
448,2956
449,14157
450,3065
451,2955
452,2956
453,2986
454,2956
455,2956
456,2956
457,2956
458,2985
459,2945
460,2955
461,2945
462,8225
463,3026
464,2976
465,2976
466,2966
467,2945
468,2955
469,2955
470,2945
471,2945
472,2945
473,2945
474,2946
475,2946
476,2936
477,8115
478,3006
479,2956
480,2986
481,2956
482,2965
483,2965
484,2965
485,2955
486,2986
487,2956
488,2976
489,2966
490,2946
491,2956
492,8165
493,2996
494,2955
495,2985
496,2945
497,2955
498,2956
499,2956
500,2956
501,2956
502,2956
503,2946
504,2956
505,2975
506,2945
507,8105
508,2965
509,2975
510,2995
511,2945
512,2956
513,2956
514,2966
515,2956
516,2946
517,2956
518,2985
519,2955
520,2945
521,2955
522,3106
523,2975
524,2966
525,2966
526,2966
527,2956
528,2956
529,2956
530,2955
531,2965
532,2965
533,2965
534,2966
535,2956
536,7855
537,3065
538,2955
539,2966
540,2976
541,2956
542,2946
543,2946
544,2956
545,2956
546,2956
547,2955
548,2955
549,2955
550,2945
551,7995
552,3045
553,2955
554,2986
555,3026
556,2966
557,2956
558,2986
559,2945
560,2945
561,2955
562,2955
563,2955
564,2955
565,2956
566,8045
567,3015
568,2956
569,2956
570,2956
571,2946
572,3016
573,2946
574,2946
575,2945
576,2975
577,2945
578,2945
579,2945
580,2945
581,8185
582,2996
583,13586
584,2966
585,2956
586,2966
587,2945
588,2975
589,2945
590,2955
591,2945
592,2946
593,8196
594,2996
595,2956
596,2956
597,2966
598,2956
599,2955
600,2955
601,2975
602,2955
603,2955
604,2946
605,2986
606,2956
607,2966
608,8166
609,2966
610,2946
611,2956
612,2955
613,2975
614,2955
615,2955
616,2955
617,2956
618,2956
619,2956
620,2966
621,2956
622,2966
623,3106
624,2955
625,2955
626,2955
627,2955
628,2955
629,2956
630,2956
631,2966
632,2976
633,2956
634,2956
635,2955
636,2955
637,2955
638,3086
639,2965
640,2945
641,2946
642,2956
643,2946
644,2956
645,2956
646,2956
647,2956
648,2975
649,2945
650,2945
651,2945
652,8175
653,3046
654,2966
655,2956
656,2946
657,2956
658,2946
659,2956
660,2945
661,2955
662,2955
663,2955
664,2955
665,2956
666,2946
667,7915
668,3025
669,2955
670,2955
671,2946
672,2946
673,2946
674,2946
675,2946
676,2946
677,2946
678,2956
679,2956
680,2945
681,2945
682,14507
683,3055
684,2965
685,2966
686,2956
687,2986
688,2946
689,2956
690,2966
691,2955
692,2965
693,2965
694,2955
695,8215
696,3026
697,2956
698,2946
699,2966
700,2946
701,2955
702,2945
703,2945
704,2945
705,2945
706,2975
707,2946
708,2956
709,2956
710,8176
711,3046
712,2956
713,2986
714,2965
715,2965
716,2945
717,2945
718,2956
719,2956
720,2946
721,2946
722,2966
723,2966
724,2955
725,8165
726,3005
727,2955
728,2965
729,2966
730,2956
731,2986
732,2946
733,2956
734,2956
735,2965
736,2945
737,2965
738,2975
739,3026
740,3196
741,3025
742,3016
743,3026
744,3026
745,3035
746,3016
747,3026
748,3026
749,3025
750,3016
751,3026
752,3016
753,3025
754,8255
755,3086
756,3026
757,3015
758,3026
759,3016
760,3016
761,3005
762,3026
763,3006
764,3016
765,3005
766,3016
767,3016
768,3026
769,3156
770,3016
771,3046
772,3026
773,3015
774,3026
775,3016
776,3016
777,3015
778,3005
779,3016
780,3016
781,3016
782,3015
783,8235
784,3096
785,3026
786,3025
787,3016
788,3026
789,3016
790,3015
791,3016
792,3006
793,3026
794,3005
795,3026
796,3006
797,3016
798,3156
799,3036
800,3026
801,3046
802,3015
803,3016
804,3016
805,3036
806,3025
807,3036
808,3026
809,3056
810,3025
811,3026
812,8256
813,3086
814,3025
815,3026
816,3026
817,3015
818,3015
819,3016
820,13636
821,3085
822,3056
823,3026
824,8345
825,3046
826,3026
827,3036
828,3015
829,3026
830,3016
831,3016
832,3045
833,3026
834,3026
835,3026
836,3025
837,3026
838,8176
839,3116
840,3025
841,3026
842,3026
843,3026
844,3015
845,3016
