Iteration,Latency/Jitter (ns)
0,53055
1,38729
2,-64907
3,14061
4,-16135
5,29862
6,-23569
7,37686
8,-23659
9,40973
10,-51292
11,2049
12,-10243
13,5836
14,57454
15,-63244
16,13330
17,-14642
18,10836
19,-5435
20,306
21,13300
22,-15644
23,5967
24,546
25,-8591
26,5025
27,66751
28,-72652
29,14383
30,37426
31,-41643
32,-5926
33,-406
34,14122
35,-15734
36,5886
37,1058
38,-8351
39,5125
40,58075
41,-27015
42,-23700
43,38428
44,-41803
45,-5736
46,-45
47,13210
48,-15093
49,5055
50,7049
51,-14312
52,22508
53,40392
54,-25764
55,-24010
56,-10063
57,11196
58,-11346
59,-1006
60,3942
61,-2750
62,4384
63,1047
64,-8931
65,22608
66,39179
67,-25282
68,-23820
69,37406
70,-40591
71,-6277
72,76
73,13791
74,-15554
75,5175
76,1108
77,38397
78,-24280
79,43127
80,-28899
81,-23569
82,-9183
83,18260
84,-17918
85,4283
86,1118
87,-8351
88,5366
89,58215
90,-26926
91,-19070
92,-14402
93,6518
94,-5896
95,-1939
96,15204
97,-15323
98,4634
99,1668
100,-2228
101,16546
102,40762
103,-26985
104,-23138
105,37525
106,-41142
107,-5955
108,-1428
109,14853
110,-15954
111,4453
112,1789
113,-7669
114,22157
115,41434
116,-27156
117,-23660
118,37607
119,-40902
120,-6627
121,-1257
122,14342
123,-14752
124,3732
125,2981
126,37175
127,-24761
128,42405
129,-26875
130,-23749
131,-8752
132,5506
133,-5735
134,-1017
135,14763
136,-15694
137,5436
138,746
139,-7839
140,21957
141,-16356
142,30583
143,-26074
144,-5685
145,4794
146,-6286
147,-1558
148,15224
149,-15824
150,5265
151,1077
152,-6507
153,20494
154,-15744
155,4764
156,1649
157,-8641
158,5115
159,58576
160,-65108
161,15354
162,-16385
163,29381
164,-22828
165,-6898
166,19933
167,-15333
168,5105
169,1438
170,-9132
171,5505
172,58536
173,-66069
174,15685
175,-16175
176,30512
177,-20112
178,33589
179,-24281
180,-15273
181,4684
182,2229
183,-11496
184,7780
185,957
186,-7719
187,14733
188,-15063
189,28459
190,-23599
191,-2349
192,16997
193,-15834
194,8541
195,-1968
196,-8100
197,4263
198,57945
199,-26615
200,-22898
201,37436
202,-17778
203,-29761
204,38278
205,-24291
206,-15404
207,4765
208,1668
209,-8240
210,5526
211,58045
212,-65919
213,15134
214,38307
215,-24190
216,-23138
217,-1478
218,13731
219,-14351
220,40752
221,-28178
222,-14141
223,4995
224,947
225,37806
226,-23078
227,40812
228,-52704
229,1879
230,37827
231,-41824
232,-5535
233,-155
234,14383
235,-15995
236,5516
237,937
238,-8381
239,22478
240,40862
241,-26685
242,-25943
243,-6788
244,5436
245,-5856
246,-175
247,13802
248,-16406
249,30453
250,-23259
251,37336
252,-23108
253,41063
254,-51703
255,1128
256,-8962
257,5316
258,-6127
259,-956
260,14042
261,-15805
262,30764
263,-23159
264,37336
265,-24150
266,41684
267,-53646
268,2290
269,-8852
270,5907
271,-5054
272,-2790
273,15785
274,-16255
275,29951
276,-24030
277,37857
278,-17718
279,-20994
280,4363
281,2180
282,-9994
283,4624
284,58937
285,-64466
286,14462
287,-15734
288,30372
289,-22928
290,-2599
291,13080
292,-13691
293,6839
294,376
295,-8431
296,3833
297,59447
298,-65819
299,15235
300,48366
301,-52463
302,-5415
303,-1127
304,13070
305,-6798
306,-1677
307,1538
308,-8671
309,4854
310,58616
311,-48145
312,-1618
313,-9433
314,9794
315,814752
316,-826052
317,14883
318,-15373
319,4804
320,1248
321,-8521
322,5135
323,58957
324,-64567
325,14152
326,37296
327,-41273
328,-6146
329,-536
330,12780
331,-13731
332,4544
333,577
334,-7058
335,5315
336,56632
337,-25202
338,-24000
339,37446
340,-40551
341,-6026
342,-366
343,14533
344,-17147
345,6067
346,887
347,-8471
348,22488
349,40853
350,-26455
351,-24601
352,-8301
353,6077
354,-7178
355,416
356,14002
357,-15173
358,4854
359,1138
360,-8281
361,22719
362,40421
363,-26845
364,-23359
365,-8781
366,5085
367,-5325
368,-1097
369,14293
370,-15574
371,4894
372,998
373,-7750
374,22538
375,40522
376,-52153
377,-1918
378,57012
379,-53044
380,-9042
381,-436
382,12900
383,-15694
384,5676
385,1218
386,37085
387,-22948
388,40842
389,-51532
390,1408
391,-8801
392,4965
393,-5275
394,9243
395,61932
396,-65568
397,1107
398,-9322
399,12339
400,-5155
401,-2669
402,-5115
403,17839
404,-17908
405,31905
406,-25462
407,5616
408,4343
409,-16105
410,5957
411,1277
412,37486
413,-24831
414,-15354
415,5516
416,11677
417,-17147
418,3011
419,-6016
420,-435
421,14262
422,-16195
423,29882
424,-23529
425,38077
426,-23970
427,-3361
428,19893
429,-25243
430,-9492
431,5796
432,-5976
433,-1046
434,14953
435,-16115
436,29812
437,-23349
438,37526
439,-24250
440,-14933
441,2771
442,3582
443,-8661
444,5766
445,58726
446,-47504
447,-3291
448,36464
449,-41122
450,-5395
451,-436
452,14814
453,-16346
454,5065
455,1448
456,-8541
457,5186
458,58796
459,-64747
460,13771
461,38208
462,-22227
463,-25132
464,-265
465,14933
466,-16716
467,6438
468,-456
469,-8420
470,23339
471,41503
472,-27115
473,-23279
474,36073
475,-40090
476,-6256
477,7159
478,18270
479,-24471
480,2159
481,1228
482,-8291
483,3893
