Iteration,Latency/Jitter (ns)
0,-948603
1,-218086
2,-22056
3,9553
4,-980954
5,-26835
6,-24972
7,22147
8,-981816
9,-25203
10,-11646
11,10254
12,-981455
13,-26605
14,21486
15,-982036
16,-25543
17,21856
18,-982056
19,-26605
20,-23238
21,21135
22,-982197
23,-15453
24,12208
25,-982016
26,-24942
27,-24130
28,20163
29,-982046
30,-24140
31,-23178
32,20283
33,-982116
34,-24521
35,21005
36,-982086
37,-25072
38,-23579
39,21816
40,-982036
41,-26054
42,21366
43,-982076
44,-24812
45,-23849
46,21886
47,-982296
48,-25804
49,21045
50,-982136
51,-24431
52,-23890
53,21536
54,-982327
55,-26004
56,-22838
57,20695
58,-982156
59,-24391
60,20945
61,-982117
62,-25412
63,-23649
64,21826
65,-982637
66,-25874
67,22338
68,-982637
69,-25103
70,-18310
71,17038
72,-982207
73,-26094
74,-23379
75,22007
76,-981656
77,-26555
78,21917
79,-982326
80,-25123
81,-22989
82,20735
83,-982447
84,-24371
85,20675
86,-981836
87,-24300
88,-24912
89,21606
90,-982527
91,-25132
92,-22818
93,20745
94,-982608
95,-25302
96,21496
97,-981986
98,-24731
99,-24010
100,21155
101,-982016
102,-24671
103,21446
104,-982537
105,-25774
106,-23629
107,21496
108,-982487
109,-24140
110,-23810
111,21306
112,-982407
113,-25413
114,23229
115,-982487
116,-25883
117,-23870
118,21246
119,-982477
120,-25403
121,21196
122,-982597
123,-24652
124,-16996
125,14843
126,-982056
127,-23128
128,-25273
129,20534
130,-982286
131,-24341
132,21706
133,-982266
134,-25873
135,-23740
136,21336
137,-982467
138,-24832
139,20815
140,-982637
141,-24141
142,-14021
143,12559
144,-982156
145,-25503
146,-24380
147,22207
148,-982327
149,-25493
150,21836
151,-981154
152,-26615
153,-23760
154,21526
155,-982216
156,-25473
157,21556
158,-982527
159,-24701
160,-23319
161,21025
162,-982106
163,-25833
164,-23119
165,21565
166,-982066
167,-26023
168,21906
169,-982296
170,-25032
171,-23409
172,20674
173,-982216
174,-25182
175,-22678
176,20955
177,-982196
178,-24982
179,20704
180,-982166
181,-25192
182,-23349
183,21857
184,-982126
185,-25623
186,21696
187,-982157
188,-25362
189,-23449
190,20724
191,-981285
192,-26485
193,22077
194,-982186
195,-25333
196,-23830
197,21686
198,-982226
199,-25473
200,-23689
201,21245
202,-982016
203,-25252
204,21205
205,-981815
206,-26315
207,-22968
208,21366
209,-982186
210,-25543
211,21475
212,-982557
213,-25432
214,-23609
215,26675
216,-980403
217,-24000
218,-29480
219,19913
220,-981996
221,-25503
222,22187
223,-982046
224,-26013
225,-22458
226,20704
227,-982106
228,-26014
229,21927
230,-982557
231,-25343
232,-24531
233,22829
234,-982127
235,-24951
236,-24171
237,21515
238,-982537
239,-24190
240,20674
241,-982486
242,-25333
243,-23880
244,21966
245,-982727
246,-24902
247,21777
248,-982668
249,-25933
250,-23379
251,21907
252,-982587
253,-24091
254,-24951
255,22027
256,-982577
257,-25614
258,22567
259,-982687
260,-24721
261,-24842
262,32076
263,-982096
264,-33578
265,20133
266,-982066
267,-26374
268,-23449
269,21666
270,-981846
271,-25122
272,21676
273,-982628
274,-25543
275,-23128
276,20915
277,-982467
278,-24521
279,-23799
280,21596
281,-981515
282,-25684
283,21575
284,-982517
285,-25602
286,-23660
287,21696
288,-982507
289,-23069
290,19942
291,-982266
292,-16787
293,-31844
294,21035
295,-982467
