Iteration,Latency/Jitter (ns)
0,21626
1,12008
2,24090
3,24431
4,21786
5,25132
6,27707
7,35070
8,102038
9,28949
10,53787
11,24110
12,21435
13,18360
14,25262
15,29280
16,25462
17,22658
18,22958
19,25413
20,21976
21,20624
22,23519
23,25223
24,21676
25,63224
26,36894
27,36815
28,33207
29,35522
30,34089
31,29040
32,18450
33,22827
34,20213
35,20804
36,21986
37,19562
38,21866
39,21766
40,23900
41,35241
42,37376
43,37165
44,39749
45,34299
46,39590
47,43286
48,59557
49,27526
50,36434
51,37706
52,37055
53,37716
54,37726
55,36994
56,37416
57,39569
58,26796
59,32075
60,34370
61,37937
62,40220
63,33689
64,39018
65,36344
66,43096
67,32576
68,37005
69,36874
70,40822
71,37366
72,34780
73,37305
74,37596
75,49729
76,25202
77,37286
78,37455
79,39359
80,39189
81,34730
82,36715
83,38357
84,39900
85,34500
86,45931
87,33799
88,36975
89,13360
90,17348
91,21745
92,19943
93,20974
94,21305
95,23510
96,20603
97,22047
98,23259
99,23399
100,20183
101,21014
102,19231
103,25173
104,20313
105,19712
106,22507
107,25874
108,21455
109,21716
110,18139
111,24161
112,27286
113,22407
114,23780
115,23900
116,21185
117,22156
118,22027
119,28819
120,27998
121,24581
122,21976
123,24381
124,24972
125,26124
126,22107
127,26024
128,18149
129,27657
130,22798
131,37005
132,39729
133,11065
134,19252
135,20804
136,19511
137,25543
138,61982
139,36775
140,37876
141,38006
142,37506
143,37365
144,37345
145,37816
146,38007
147,38217
148,36934
149,37937
150,40721
151,33118
152,38567
153,39650
154,27627
155,34240
156,37926
157,37145
158,37886
159,37055
160,41724
161,21705
162,30723
163,25774
164,36584
165,41934
166,33658
167,38077
168,39619
169,34671
170,40050
171,35813
172,36794
173,37716
174,36664
175,32416
176,44118
177,37055
178,37666
179,36273
180,37957
181,40000
182,35191
183,40021
184,38086
185,36774
186,34600
187,25393
188,44098
189,11016
190,14311
191,28108
192,20283
193,20764
194,25653
195,22477
196,22377
197,19933
198,19291
199,17718
200,25153
201,20493
202,24241
203,19732
204,87009
205,21826
206,23038
207,25223
208,28368
209,25714
210,22427
211,31023
212,26605
213,21966
214,22066
215,22076
216,25302
217,21305
218,26395
219,25603
220,21185
221,24671
222,22177
223,20303
224,32406
225,23399
226,28278
227,22167
228,30272
229,15154
230,25703
231,19041
232,18720
233,20674
234,25683
235,43056
236,36233
237,36924
238,38057
239,38137
240,38297
241,41012
242,38367
243,33178
244,43527
245,32857
246,36403
247,36975
248,37636
249,36493
250,37295
251,37906
252,38037
253,41072
254,34650
255,36644
256,38187
257,40021
258,37595
259,34691
260,37315
261,37556
262,36824
263,38377
264,36674
265,39058
266,36364
267,37625
268,38117
269,36654
270,36444
271,23870
272,53105
273,37485
274,35993
275,38908
276,36845
277,37646
278,39249
279,35752
280,37335
281,37807
282,37285
283,33097
284,22097
285,18980
286,15024
287,19151
288,18880
289,19582
290,26004
291,20033
292,19641
293,19482
294,20984
295,20663
296,17328
297,27817
298,19382
299,20854
300,18610
301,25323
302,19281
303,21355
304,22938
305,24211
306,19211
307,21886
308,20864
309,29320
310,20994
311,22227
312,20263
313,26976
314,21194
315,23168
316,19702
317,28559
318,21395
319,22327
320,22688
321,24691
322,21356
323,37164
324,25283
325,24210
326,23298
327,27668
328,20503
329,24611
330,11046
331,12258
332,14492
333,23419
334,36815
335,36914
336,37947
337,37606
338,36904
339,37345
340,37346
341,38607
342,36964
343,37105
344,40100
345,37836
346,35482
347,37215
348,38146
349,36373
350,37836
351,38027
352,37676
353,36794
354,37095
355,38397
356,41383
357,34079
358,38899
359,38607
360,34681
361,37636
362,37385
363,37335
364,37125
365,38508
366,35812
367,37906
368,37907
369,38086
370,37666
371,37215
372,19652
373,55218
374,37746
375,38086
376,37175
377,36905
378,38257
379,36494
380,38137
381,24501
382,21786
383,23018
384,26084
385,26976
386,21806
387,24952
388,16836
389,11427
390,18991
