Iteration,Latency/Jitter (ns)
0,12153
1,18034
2,3096
3,3026
4,3016
5,3516
6,3296
7,3296
8,3035
9,3016
10,3026
11,3016
12,8436
13,3146
14,3025
15,3016
16,3026
17,3026
18,3015
19,3446
20,3326
21,3446
22,3036
23,3026
24,3026
25,3025
26,3016
27,3166
28,13926
29,3577
30,3246
31,3286
32,3406
33,3055
34,3036
35,3036
36,3035
37,3036
38,8466
39,3045
40,3026
41,3016
42,3026
43,3025
44,3196
45,3276
46,3427
47,3056
48,3015
49,3026
50,3036
51,3026
52,8345
53,3076
54,3016
55,3015
56,3025
57,3016
58,3166
59,3286
60,3446
61,3076
62,3016
63,3016
64,3025
65,3026
66,8356
67,3076
68,3026
69,3016
70,3026
71,3025
72,3025
73,3276
74,3326
75,3106
76,3015
77,3026
78,3016
79,3026
80,7113
81,3116
82,3026
83,3016
84,3025
85,3026
86,3026
87,3357
88,3337
89,3437
90,3056
91,3025
92,3026
93,3026
94,3026
95,8325
96,3046
97,3026
98,3016
99,3015
100,3016
101,3347
102,3276
103,3457
104,3066
105,3025
106,3025
107,3036
108,3026
109,8356
110,3056
111,3026
112,3026
113,3025
114,3026
115,3026
116,3316
117,3506
118,3086
119,3026
120,3026
121,3025
122,3026
123,8296
124,3076
125,3025
126,3026
127,3026
128,3025
129,3025
130,3256
131,3317
132,3115
133,3026
134,3016
135,3016
136,3015
137,8346
138,3106
139,3035
140,3026
141,3036
142,3036
143,3025
144,3456
145,3306
146,3316
147,3035
148,3026
149,3026
150,3036
151,3025
152,3146
153,3045
154,3036
155,3026
156,3026
157,3015
158,3326
159,3276
160,3466
161,3066
162,3026
163,3026
164,3025
165,3015
166,8085
167,3066
168,3026
169,3015
170,3025
171,3016
172,3016
173,3316
174,3446
175,3086
176,3025
177,3025
178,3026
179,3026
180,7435
181,3056
182,3026
183,3025
184,3026
185,3026
186,3016
187,3476
188,3366
189,3276
190,3035
191,3026
192,3026
193,3026
194,3025
195,3176
196,3056
197,3026
198,3025
199,3026
200,3026
201,3357
