Iteration,Latency/Jitter (ns)
0,48587
1,-15515
2,-125
3,7489
4,-7119
5,20043
6,-20294
7,-947
8,-2009
9,7078
10,12919
11,-13149
12,-2671
13,4524
14,-126
15,-1217
16,-2781
17,-2429
18,-3222
19,6788
20,355
21,2971
22,2549
23,-13240
24,2971
25,2249
26,1177
27,5595
28,-7419
29,-486
30,4323
31,-7991
32,11006
33,-13150
34,10735
35,3481
36,-4814
37,736
38,-4704
39,3792
40,-5605
41,4082
42,7008
43,-5706
44,-5766
45,21055
46,-22588
47,1578
48,9051
49,-1387
50,-3372
51,1347
52,-7839
53,3381
54,55940
55,-62072
56,14362
57,49508
58,-35332
59,-22838
60,37696
61,-23199
62,-15645
63,3762
64,2129
65,39008
66,-43377
67,55610
68,-61271
69,14181
70,-14773
71,28950
72,-23269
73,-1378
74,14041
75,424425
76,-433813
77,1718
78,-6858
79,3441
80,-3281
81,-3161
82,14071
83,37776
84,-47825
85,1057
86,44759
87,-30423
88,-15765
89,3161
90,3081
91,-8461
92,4783
93,54999
94,-61812
95,14492
96,37516
97,-23119
98,-24071
99,807
100,9322
101,-6698
102,-2499
103,2319
104,8631
105,-1328
106,-2209
107,-5706
108,5254
109,-9603
110,6688
111,-6678
112,9062
113,6948
114,-13221
115,9413
116,-10024
117,13080
118,-12169
119,5626
120,-2701
121,3933
122,-9353
123,13179
124,-14682
125,1267
126,11166
127,-8021
128,8010
129,-3542
130,-9192
131,5235
132,4583
133,5355
134,-9573
135,-2911
136,7228
137,-9683
138,11466
139,316
140,-6307
141,-1578
142,-3482
143,8010
144,-5897
145,8191
146,-4514
147,5976
148,-13280
149,4844
150,1978
151,35472
152,-23219
153,-15635
154,4363
155,1608
156,-8311
157,3862
158,-4624
159,-1107
160,14713
161,-14663
162,4253
163,2950
164,-2760
165,14622
166,-14983
167,4142
168,1648
169,-7810
170,3912
171,-4994
172,-1268
173,14472
174,37846
175,-47264
176,25
177,38578
178,-23720
179,-15024
180,6117
181,-1148
182,-7760
183,4454
184,55339
185,-61221
186,14212
187,-14673
188,4183
189,916
190,-356
191,14783
192,-15945
193,4433
194,1888
195,-7930
196,4363
197,-3341
198,-2160
199,14362
200,-8892
201,9283
202,-3292
203,1348
204,-6187
205,986
206,6357
207,-3532
208,14262
209,-12549
210,-7519
211,11376
212,-1859
213,-11837
214,5836
215,-3122
216,1699
217,-5286
218,5936
219,-7529
220,10495
221,1597
222,-1538
223,-3201
224,-4083
225,2750
226,-4323
227,8020
228,-4624
229,10244
230,-10806
231,2861
232,2750
233,-9844
234,13841
235,-8421
236,5204
237,-8811
238,-2731
239,2389
240,7129
241,5515
242,-2400
243,-9062
244,1958
245,3692
246,726
247,2039
248,-10034
249,3902
250,3602
251,-9523
252,3521
253,56221
254,-23580
255,-23149
256,36023
257,-22337
258,-23109
259,-566
260,14051
261,-15344
262,5024
