Iteration,Latency/Jitter (ns)
0,-954074
1,-227654
2,-20574
3,-31214
4,28739
5,-981355
6,13541
7,-972428
8,-34621
9,-19442
10,-32606
11,27787
12,-981926
13,-23339
14,-23780
15,4553
16,-3602
17,8902
18,3281
19,-3823
20,17247
21,-16597
22,2209
23,125
24,-4594
25,20703
26,-1087
27,-19422
28,3482
29,-2600
30,74
31,14371
32,-13009
33,12989
34,-13791
35,-1328
36,17608
37,-20384
38,37847
39,-32196
40,15925
41,-3392
42,-12018
43,-2690
44,12258
45,-12168
46,20483
47,-2430
48,95
49,-17007
50,35462
51,-13751
52,-22799
53,23449
54,33188
55,-23620
56,-17157
57,2389
58,97068
59,-950847
60,-146482
61,2991
62,24872
63,-18260
64,-26455
65,47705
66,-11057
67,-25994
68,17769
69,-38198
70,81969
71,-979912
72,-78914
73,15544
74,-975754
75,-20925
76,-37325
77,28708
78,-980203
79,-25253
80,26274
81,-15514
82,-30192
83,22277
84,-979161
85,-19382
86,-33538
87,32456
88,-979752
89,-27066
90,10835
91,-981395
92,-15775
93,-35282
94,28128
95,-981155
96,21085
97,-968591
98,-107919
99,27847
100,-981205
101,-20343
102,13450
103,-978209
104,-22808
105,-34200
106,27026
107,-981214
108,-20274
109,11817
110,-981254
111,-13521
112,-39089
113,26264
114,-981275
115,-18430
116,-34941
117,28208
118,-979902
119,-18250
120,29160
121,-19562
122,-35051
123,28448
124,-980794
125,-17308
126,23479
127,-13401
128,-36313
129,27737
130,-975584
131,-51192
132,54868
133,-36694
134,-2710
135,4623
136,-2049
137,31725
138,-968230
139,-53336
140,2721
141,11276
142,-5295
143,-36204
144,24761
145,52503
146,-55449
147,-8191
148,335
149,1587
150,2880
151,29731
152,-29711
153,-5105
154,12879
155,-9072
156,5776
157,22818
158,-25413
159,-22147
160,22517
161,-6037
162,-16035
163,17307
164,636
165,-18149
166,15494
167,-1107
168,4393
169,45771
170,-33999
171,31434
172,-50581
173,13490
174,-5926
175,-1618
176,-657
177,-16887
178,11617
179,7619
180,-7058
181,4032
182,-1488
183,27156
184,-19512
185,25754
186,-11718
187,-20825
188,26074
189,-10325
190,-36093
191,24852
192,-980734
193,-20343
194,24581
195,-13801
196,-32256
197,26234
198,-977878
199,-22969
200,14112
201,-36
202,-24140
203,25623
204,-10024
205,-35232
206,26094
207,-981004
208,-20774
209,12127
210,-977938
211,-19732
212,-35041
213,21535
214,-979652
215,-16225
216,21244
217,-8682
218,-22648
219,12529
220,-978410
221,-16165
222,10494
223,29280
224,4844
225,-21004
226,-21516
227,-40121
228,25202
229,-980874
230,-13461
231,20403
232,-11237
233,-17077
234,26825
235,-9884
236,15895
237,-12418
238,-9844
239,9803
240,16145
241,1007
242,-38097
243,96887
244,-969091
245,-156300
246,-807
247,7900
248,17237
249,13350
250,-13972
251,4834
252,6727
253,31104
254,-977327
255,-46433
256,-18139
257,4583
258,32907
259,-27908
260,59577
261,-62844
262,-6878
263,6487
264,-10595
265,9001
266,8872
267,53275
268,-51903
269,-19772
270,3892
271,4273
272,7138
273,-3351
274,1307
275,7990
276,30302
277,1427
278,-42235
279,55530
280,-57964
281,26745
282,-16837
283,-11236
284,10815
285,826
286,-12869
287,2990
288,-2670
289,-827
290,-3182
291,36013
292,-14001
293,-2180
294,-22628
295,25562
296,-6046
297,-40241
298,30442
299,-979211
300,-19592
301,25834
302,-13281
303,-39560
304,63304
305,-963121
306,-60188
307,-19252
308,21705
309,-11657
310,-34390
311,25984
312,-981305
313,-21265
314,24521
315,-7660
316,-35301
317,21335
318,-981385
319,-18921
320,22728
321,-11127
322,-16968
323,23690
324,-970805
325,-7429
326,-21606
327,19381
328,-967869
329,-21275
330,-24432
331,-9222
332,-16216
333,24210
334,-10425
335,-36615
336,23969
337,-980734
338,-18180
339,32907
340,-16216
341,-26986
342,10485
343,-979972
344,-13561
345,13019
346,-6147
347,-13982
348,21185
349,18049
350,-46403
351,-406
352,6397
353,105764
354,-956789
355,-180245
356,23770
357,4323
358,16125
359,-21225
360,1307
361,11777
362,20203
363,-20904
364,-9894
365,2229
366,2098
367,-7279
368,6006
369,45600
370,-39971
371,5185
372,-19873
373,3973
374,35341
375,-28299
376,43417
377,-21916
378,-5566
379,-15074
