Iteration,Latency/Jitter (ns)
0,42745
1,41913
2,32254
3,54728
4,22256
5,36603
6,36753
7,38988
8,36914
9,37906
10,39638
11,35140
12,38016
13,37565
14,35912
15,38657
16,37645
17,37705
18,37154
19,37244
20,41994
21,33668
22,37314
23,37835
24,39648
25,35812
26,36864
27,38086
28,37194
29,37745
30,37896
31,37565
32,37254
33,37756
34,36683
35,38567
36,40530
37,48666
38,23218
39,38136
40,37004
41,37876
42,37224
43,37284
44,38176
45,37194
46,37385
47,38186
48,37515
49,36953
50,40430
51,45169
52,26975
53,37645
54,38086
55,41493
56,33778
57,36924
58,37264
59,39999
60,35521
61,38617
62,38907
63,39369
64,36853
65,36834
66,34599
67,37655
68,37996
69,37164
70,37235
71,38136
72,37244
73,37705
74,37635
75,36593
76,38146
77,37104
78,39459
79,36683
80,37375
81,38095
82,37385
83,38547
84,37795
85,36282
86,37825
87,37455
88,37004
89,37445
90,50539
91,28568
92,40391
93,31022
94,37735
95,37285
96,37575
97,37575
98,43677
99,39568
100,29781
101,37625
102,39188
103,36122
104,37725
105,36834
106,38486
107,37444
108,39910
109,35070
110,37685
111,37786
112,36833
113,41132
114,34379
115,37104
116,40300
117,45971
118,26955
119,37635
120,36764
121,39398
122,35161
123,38527
124,37745
125,37295
126,38025
127,37134
128,37004
129,38977
130,36623
131,38236
132,36994
133,37725
134,37435
135,37074
136,42424
137,36423
138,35120
139,37464
140,37926
141,39308
142,36042
143,40490
144,29810
145,41994
146,36843
147,37605
148,37735
149,37585
150,37434
151,37645
152,37375
153,37415
154,37905
155,36983
156,39749
157,36824
158,35601
159,38487
160,40951
161,35141
162,36733
163,37164
164,37365
165,37745
166,37826
167,38266
168,37665
169,39148
170,47594
171,24240
172,39067
173,37565
174,38096
175,36623
176,37735
177,37465
178,37244
179,37666
180,39178
181,36403
182,36783
183,37765
184,38186
185,37325
186,38106
187,37695
188,36193
189,38607
190,37274
191,37595
192,37725
193,37485
194,37465
195,41142
196,36733
197,35802
198,37204
199,37104
200,50931
201,24820
202,36823
203,37705
204,37024
205,37956
206,38016
207,36733
208,38146
209,37655
210,37565
211,37856
212,37254
213,37255
214,40660
215,34589
216,37194
217,38537
218,36884
219,15764
220,61199
221,35501
222,38286
223,47825
224,9201
225,15192
226,16586
227,37995
228,36754
229,38076
230,38046
231,37084
232,37976
233,36392
234,37906
235,38156
236,37154
237,38297
238,36853
239,39709
240,36774
241,35932
242,37946
243,42374
244,32565
245,38036
246,36784
247,38747
248,36934
249,37064
250,37445
251,39789
252,30622
253,15363
254,65959
255,36322
256,38186
257,37636
258,42143
259,33758
260,36764
261,37444
262,42564
263,33557
264,37525
265,36794
266,37875
267,37305
268,37415
269,37053
270,38596
271,37766
272,36653
273,37655
274,37595
275,37655
276,37264
277,63223
278,30222
279,21123
280,37335
281,38447
282,35731
283,36473
284,37164
285,38026
286,37836
287,38086
288,36132
289,38236
290,37405
291,39318
292,36804
293,35861
294,38487
295,37455
296,37966
297,43366
298,40280
299,30431
300,38096
301,35571
302,38066
303,38277
304,38727
305,38567
306,35110
307,37715
308,37054
309,37404
310,37214
311,37606
312,37214
313,38096
314,37645
315,37465
316,37455
317,40510
318,34800
319,36834
320,38496
321,37124
322,37905
323,36924
324,38066
325,37806
326,36923
327,37315
328,38586
329,37294
330,42504
331,45100
332,7017
333,12227
334,20243
335,36884
336,38296
337,38857
338,36193
339,49487
340,24871
341,37034
342,38056
343,36783
344,37595
345,40751
346,35180
347,37685
348,38226
349,38116
350,36483
351,36794
352,37595
353,37725
354,48746
355,51261
356,14722
357,36513
358,36192
359,40189
360,29861
361,43165
362,37215
363,37535
364,38797
365,37294
366,35862
367,38787
368,36723
369,38647
370,37284
371,37505
372,37996
373,38136
374,36363
375,40069
376,36133
377,36854
378,37053
379,37705
380,38537
381,36713
382,37605
383,37766
384,36893
385,40872
386,47804
387,25923
388,36503
389,37315
390,37625
391,45179
392,30281
393,37094
394,39548
395,36043
396,36723
397,38386
398,36984
399,38126
400,37225
401,37705
402,37645
403,37124
404,37635
405,38576
406,36884
407,37144
408,38617
409,36573
410,38437
411,37575
412,39378
413,41132
414,33848
415,35651
416,37626
417,37234
418,36623
419,38286
420,37195
421,37955
422,37294
423,39579
424,35701
425,38457
426,36262
427,37505
428,38858
429,37414
430,37064
431,37385
432,25071
433,52083
434,36443
435,37855
436,37966
437,36162
438,37535
439,51211
440,24079
441,37315
442,37214
443,38477
444,36864
445,39398
446,36062
447,37505
448,38106
449,36563
450,38367
451,40080
452,36022
453,36783
454,36964
455,37865
456,37074
457,37855
458,37555
459,37575
460,37976
461,37615
462,39649
463,35591
464,37365
465,39970
466,44908
467,33276
468,32195
469,37545
470,36974
471,38006
472,38947
473,36433
474,36934
475,38336
476,36934
477,37465
478,37365
479,40470
480,40210
481,34830
482,38046
483,38347
484,34308
485,37545
486,37786
487,37244
488,37565
489,37585
490,37996
491,38887
492,38877
493,29349
494,42875
495,37115
496,37715
497,37234
498,37765
499,37405
500,37425
501,37785
502,36994
503,41733
504,34449
505,45450
506,29219
507,37886
508,37134
509,37705
510,37615
511,39027
512,36042
513,46922
514,27777
515,38467
516,39588
517,34550
518,40330
519,48726
520,24080
521,37725
522,39949
523,35010
524,38466
525,37194
526,36963
527,37155
528,38436
529,38386
530,46452
531,27396
532,44277
533,32476
534,36693
535,37495
536,37415
537,37795
538,37405
539,36673
540,38206
541,37705
542,37505
543,37574
544,37505
545,40511
546,40771
547,32906
548,37165
549,38937
550,36163
551,36513
552,37464
553,38196
554,37094
555,37534
556,37766
557,37184
558,37595
559,37515
560,37705
561,37966
562,36543
563,42935
564,32034
565,39419
566,37926
567,36503
568,38186
569,38186
570,36343
571,39548
572,49638
573,23518
574,36534
575,39799
576,36062
577,37645
578,37856
579,42173
580,41032
581,29018
582,38126
583,37594
584,37285
585,37124
586,38437
587,38627
588,36863
589,36032
590,38266
591,37244
592,37425
593,37434
594,38076
595,45350
596,30511
597,36833
598,40090
599,59607
600,12728
601,37595
602,38156
603,36974
604,37775
605,37685
606,38878
607,36302
608,38166
609,36974
610,38156
611,46202
612,33026
613,33447
614,37525
615,37244
616,37584
617,37195
618,41442
619,43306
620,28999
621,37695
622,36573
623,38096
624,37165
625,40139
626,31844
627,49037
628,29690
629,37204
630,37756
631,37364
632,37695
633,37795
634,36473
635,37004
636,39008
637,36683
638,40871
639,35080
640,37485
641,37134
642,37255
643,38416
644,38197
645,61900
646,14021
647,36182
648,36894
649,38076
650,37906
651,40039
652,47684
653,27176
654,36212
655,35922
656,38467
657,37084
658,37946
659,36573
660,37384
661,38447
662,36984
663,37705
664,54838
665,21003
666,37445
667,37154
668,37505
669,37736
670,37695
671,37845
672,37064
673,38477
674,37084
675,37715
676,37836
677,40851
678,36303
679,38997
680,34890
681,36313
682,37184
683,38517
684,38447
685,37434
686,36432
687,38537
688,37144
689,37144
690,36573
691,38517
692,37524
693,37435
694,37675
695,36793
696,41172
697,34529
698,37395
699,38687
700,36523
701,37445
702,38747
703,36733
704,40491
705,53525
706,19270
707,36933
708,42855
709,32646
710,36734
711,38376
712,36924
713,44528
714,31313
715,37806
716,36483
717,37926
718,37745
719,38046
720,36953
721,38237
722,38266
723,38237
724,41813
725,32505
726,36553
727,37645
728,37134
729,38016
730,37004
731,41042
732,42704
733,29039
734,41333
735,33928
736,37425
737,37695
738,38296
739,37485
740,45249
741,28618
742,38267
743,39819
744,36393
745,43206
746,33056
747,36042
748,36623
749,38457
750,36713
751,38607
752,36793
753,37264
754,40320
755,35822
756,36994
757,37164
758,39258
759,23769
760,49938
761,37656
762,37565
763,36874
764,39288
765,36393
766,37655
767,36623
768,37715
769,37675
770,37965
771,37194
772,38406
773,39749
774,34670
775,37494
776,39017
777,36934
778,36333
779,38627
780,37134
781,37465
782,37955
783,37415
784,42895
785,47744
786,22477
787,36402
788,38397
789,47854
790,33166
791,31263
792,40380
793,34329
794,37866
795,37425
796,37855
797,37395
798,37595
799,37915
800,38136
801,37034
802,37145
803,40670
804,35451
805,37415
806,37204
807,37675
808,37355
809,36964
810,38286
811,39639
812,38246
813,34399
814,37836
815,37204
816,37996
817,38467
818,36733
819,38827
820,36043
821,38867
822,37204
823,38828
824,36703
825,36603
826,37365
827,36954
828,37845
829,37545
830,37555
831,37635
832,40551
833,34409
834,38306
835,37645
836,36854
837,40560
838,46672
839,10985
840,51942
841,37966
842,37946
843,39919
844,36373
845,36332
846,36603
847,39208
848,37104
849,37534
850,37325
851,38647
852,36683
853,40872
854,34068
855,37735
856,36804
857,38246
858,37455
859,37525
860,37525
861,37064
862,41201
863,42475
864,34238
865,42013
866,27947
867,38366
868,42154
869,39669
870,30111
871,37755
872,37585
873,37245
874,38356
875,37855
876,36763
877,37976
878,36763
879,37856
880,44248
881,31593
882,37715
883,36964
884,39058
885,36984
886,37024
887,37585
888,37695
889,37715
890,44378
891,33928
892,28678
893,12838
894,67983
895,37545
896,41041
897,34098
898,37264
899,37786
900,37725
901,36944
902,37505
903,40490
904,35571
905,37344
906,37144
907,37705
908,37384
909,40530
910,34349
911,38417
912,37545
913,37445
914,37625
915,38035
916,36833
917,40932
918,47624
919,24290
920,37595
921,37044
922,38546
923,36663
924,38076
925,36944
926,37515
927,38146
928,37374
929,39289
930,36332
931,37165
932,37525
933,37665
934,37074
935,38156
936,37445
937,37414
938,37185
939,38056
940,37595
941,38036
942,38617
943,37053
944,38727
945,38336
946,10945
947,63634
948,35150
949,38126
950,38186
951,36092
952,38477
953,36653
954,38036
955,37435
956,36262
957,39188
958,36583
959,37765
960,37375
961,39729
962,35992
963,37695
964,37054
965,37435
966,38176
967,42605
968,31684
969,38637
970,40260
