Iteration,Latency/Jitter (ns)
0,17784
1,8797
2,3156
3,3086
4,3066
5,3056
6,3056
7,3257
8,3046
9,3056
10,3066
11,3056
12,3056
13,3056
14,3056
15,8316
16,3166
17,3106
18,3045
19,3046
20,3056
21,3105
22,3146
23,3045
24,3046
25,3196
26,3055
27,3066
28,3116
29,3056
30,9288
31,3076
32,3055
33,3066
34,3066
35,3055
36,3126
37,3056
38,3055
39,3056
40,3297
41,3066
42,3056
43,3066
44,8466
45,3065
46,3066
47,3066
48,3105
49,3126
50,3146
51,3066
52,3056
53,3045
54,3056
55,3066
56,3055
57,3056
58,8336
59,3145
60,3076
61,3046
62,3055
63,3046
64,3086
65,3055
66,3096
67,3046
68,3055
69,3046
70,3076
71,3156
72,7635
73,3126
74,3055
75,3046
76,3056
77,3065
78,3126
79,3046
80,3045
81,3116
82,3086
83,3055
84,3056
85,3096
86,3056
87,3236
88,3106
89,3066
90,3056
91,3066
92,3056
93,3056
94,3056
95,3056
96,3056
97,3056
98,3045
99,3096
100,3056
101,8406
102,3106
103,3045
104,3056
105,3046
106,3055
107,3146
108,3066
109,3065
110,3056
111,3056
112,3206
113,3056
114,3045
115,8436
116,3126
117,3056
118,3056
119,3046
120,3046
121,3066
122,3056
123,3286
124,3056
125,3056
126,3056
127,3056
128,3045
129,3046
130,3176
131,3066
132,3066
133,3076
134,3046
135,3116
136,3055
137,3056
138,3046
139,3046
140,3096
141,3046
142,3126
143,3046
144,8406
145,3085
146,3066
147,3066
148,3056
149,3066
150,3056
151,3045
152,3056
153,3066
154,3065
155,3056
156,3116
157,3066
158,8356
159,3136
160,3066
161,3146
162,3056
163,3056
164,3046
165,3126
166,3046
167,3126
168,3056
169,3056
170,3286
171,3056
172,8355
173,3116
174,3056
175,3066
176,3066
177,3066
178,3056
179,3056
180,3116
181,3076
182,3156
183,3055
184,3056
185,3156
186,16351
187,3256
188,3066
189,3065
190,3046
191,3096
192,3055
193,3046
194,3046
195,3066
196,3156
197,3046
198,3055
199,3296
200,3055
201,3046
202,3066
203,3055
204,3066
205,3056
206,3045
207,3056
208,3356
209,3076
210,3206
211,3236
212,3106
213,3056
214,3086
215,3055
216,3046
217,3056
218,3056
219,3046
220,3056
221,3046
222,3116
223,3066
224,3055
225,7404
226,3146
227,3066
228,3056
229,3056
230,3056
231,3066
232,3056
233,3086
234,3066
235,3206
236,3056
237,3096
238,3056
239,3056
240,3226
241,3116
242,3116
243,3045
244,3056
245,3046
246,3055
247,3056
248,3096
249,3045
250,3056
251,3086
252,3045
253,3056
254,8125
255,3076
256,3056
257,3055
258,3056
259,3046
260,3055
261,3056
262,3056
263,3055
264,3056
265,3046
266,3055
267,3116
268,9248
269,3136
270,3056
271,3046
272,3407
273,3056
274,3186
275,3066
276,3045
277,3046
278,3056
279,3045
280,3046
281,3046
282,10059
283,3126
284,3076
285,3056
286,3146
287,3045
288,3056
289,3056
290,3045
291,3066
292,3046
293,3056
294,3076
295,3076
296,8275
297,3116
298,3066
299,3056
300,3056
301,3076
302,3046
303,3106
304,3046
305,3046
306,3096
307,3056
308,3056
309,3046
310,8526
311,3146
312,3056
313,3045
314,3056
315,3056
316,3045
317,3036
318,3046
319,3046
320,3045
321,3096
322,3056
323,3046
324,3056
325,3196
326,3116
327,3136
328,3075
329,3066
330,3056
331,3055
332,3046
333,3056
334,3055
335,3056
336,3056
337,3065
338,3056
339,8436
340,3086
341,3146
342,3085
343,3056
344,3136
345,3046
346,3056
347,3056
348,3056
349,3056
350,3046
351,3086
352,3046
353,8376
354,3156
355,3056
356,3206
357,3246
358,3146
359,3055
360,3096
361,3056
362,3055
363,3086
364,3056
365,3055
366,3056
367,3136
368,3186
369,3076
370,3055
371,3056
372,3056
373,3046
374,3136
375,3116
376,3045
377,3046
378,3066
379,3055
380,3046
381,3056
382,3237
383,3076
384,3056
385,3056
386,3066
387,3056
388,3076
389,3056
390,3056
391,3086
392,3146
393,3055
394,3126
395,3136
396,8336
397,3086
398,3045
399,3046
400,3056
401,3065
402,3046
403,3056
404,3056
405,3106
406,3056
407,3095
408,3076
409,3066
410,15308
411,3226
412,3056
413,3046
414,3046
415,3106
416,3066
417,3045
418,3046
419,3106
420,3045
421,3036
422,3046
423,3206
424,3076
425,3056
426,3056
427,3066
428,3045
429,3086
430,3156
431,3146
432,3056
433,3056
434,3066
435,3126
436,3056
437,16742
438,3066
439,3045
440,3056
441,3056
442,3055
443,3066
444,3136
445,3086
446,3076
447,3095
448,3056
449,8326
450,3125
451,3056
452,3066
453,3055
454,3046
455,3066
456,3055
457,3056
458,3056
459,3055
460,3136
461,3096
462,3055
463,8446
464,3125
465,3056
466,3156
467,3056
468,3076
469,3135
470,3046
471,3056
472,3045
473,3056
474,3056
475,3075
476,3106
477,3056
478,3176
479,3066
480,3066
481,3096
482,3056
483,3055
484,3046
485,3056
486,3096
487,3056
488,3136
489,3055
490,3056
491,3056
492,8426
493,3106
494,3105
495,3056
496,3126
497,3056
498,3056
499,3056
500,3056
501,3136
502,3055
503,3056
504,3066
505,3065
506,8466
507,3236
508,3096
509,3055
510,3056
511,3056
512,3045
513,3046
514,3056
515,3055
516,3046
517,3046
518,3056
519,3056
520,8356
521,3126
522,3056
523,3096
524,3055
525,3106
526,3056
527,3055
528,3056
529,3046
530,3286
531,3046
532,3055
533,3056
534,8466
535,3146
536,3056
537,3056
538,3286
539,3046
540,3046
541,3056
542,3096
543,3086
544,3045
545,3046
546,3046
547,3046
548,3055
549,3206
550,3106
551,3086
552,3126
553,3056
554,3056
555,3096
556,3056
557,3056
558,3056
559,3096
560,3066
561,3056
562,3056
563,8386
564,3125
565,3056
566,3066
567,3095
568,3056
569,3046
570,3055
571,3056
572,3056
573,3055
574,3056
575,3106
576,3086
577,8306
578,3126
579,3066
580,3046
581,3125
582,3066
583,3096
584,3045
585,3046
586,3046
587,3135
588,3116
589,3156
590,3116
591,8346
592,3186
593,3066
594,3055
595,3046
596,3056
597,3126
598,3046
599,3046
600,3136
601,3046
602,3106
603,3066
604,3156
605,3045
606,8416
607,3076
608,3066
609,3066
610,3065
611,3156
612,3056
613,3045
614,3146
615,3055
616,3056
617,3066
618,3115
619,3076
620,8486
621,3076
622,3046
623,3055
624,3126
625,3046
626,3045
627,3056
628,3046
629,3045
630,3046
631,3046
632,3045
633,3046
634,14668
635,3175
636,3056
637,3046
638,3055
639,3046
640,3136
641,3045
642,3046
643,3116
644,3045
645,3056
646,3046
647,8506
648,3166
649,3086
650,3116
651,3065
652,3116
653,3056
654,3095
655,3056
656,3086
657,3055
658,3056
659,3056
660,3065
661,8446
662,3105
663,3066
664,3046
665,3055
666,13986
667,3206
668,3035
669,3036
670,3076
671,3046
672,3066
673,3186
674,3046
675,3106
676,3036
677,3146
678,3116
679,3036
680,3035
681,3036
682,3036
683,3026
684,3025
685,3036
686,3036
687,8356
688,3076
689,3176
690,3035
691,3036
692,3126
693,3035
694,3036
695,3116
696,3035
697,3036
698,3036
699,3026
700,3176
701,8286
702,3096
703,3036
704,3026
705,3066
706,3035
707,3126
708,3076
709,3116
710,3036
711,3026
712,3035
713,3036
714,3076
715,3035
716,3186
717,3056
718,3035
719,3076
720,3106
721,3025
722,3036
723,3116
724,3135
725,3036
726,3036
727,3095
728,3026
729,3106
730,8345
731,3076
732,3076
733,3075
734,3036
735,3036
736,3116
737,3046
738,3046
739,3036
740,3045
741,3036
742,3036
743,3065
744,8305
745,3116
746,3045
747,3056
748,3026
749,3056
750,3035
751,3036
752,3086
753,3025
754,3036
755,3186
756,3126
757,3196
758,3035
759,3166
760,3056
761,3055
762,3046
763,3046
764,3035
765,3036
766,3036
767,3046
768,3035
769,3036
770,3036
771,3036
772,3116
773,8366
774,3076
775,3036
776,3036
777,3066
778,3045
779,3056
780,3036
781,3035
782,3036
783,3086
784,3035
785,3066
786,3036
787,8316
788,3116
789,3036
790,3146
791,3076
792,3046
793,3025
794,3025
795,3026
796,3036
797,3085
798,3106
799,3046
800,3035
801,3116
802,8336
803,3035
804,3046
805,3196
806,3126
807,3036
808,3046
809,3045
810,3136
811,3036
812,3086
813,3036
814,3086
815,3045
816,8496
817,3085
818,3026
819,3036
820,3036
821,3035
822,3036
823,3036
824,3125
825,3036
826,3036
827,3035
828,3036
829,3086
830,8276
831,3136
832,3036
833,3036
834,3106
835,3026
836,3126
837,3025
838,3036
839,3026
840,3135
841,3026
842,3026
843,3116
844,3026
845,3326
846,3035
847,3036
848,3056
849,3035
850,3096
851,3036
852,3065
853,3036
854,3036
855,3026
856,3025
857,3026
858,3036
859,8346
860,3096
861,3036
862,3026
863,3035
864,3036
865,3036
866,3036
867,3035
868,3036
869,3036
870,3256
871,3036
872,3036
873,14186
874,3216
875,3036
876,3046
877,3036
878,3256
879,3026
880,3075
881,3026
882,3036
883,3036
884,3025
885,3026
886,8757
887,3096
888,3046
889,3046
890,3036
891,3045
892,3036
893,3046
894,3036
895,3036
896,3106
897,3146
898,3276
899,3025
900,2966
901,2966
902,2966
903,2966
904,2966
905,2965
906,2965
907,2965
908,2975
909,2966
910,2956
911,2966
912,8376
913,3045
914,2975
915,2966
916,2966
917,2966
918,2966
919,2966
920,3035
921,2965
922,2975
923,2966
924,2966
925,2976
926,2996
927,8416
928,3016
929,2976
930,2966
931,2976
932,2986
933,2965
934,2985
935,2965
936,3046
937,2966
938,2976
939,2976
940,3036
941,2975
942,8536
943,2986
944,2985
945,3055
946,2986
947,2966
948,3016
949,2976
950,3115
951,2996
952,2996
953,2976
954,2976
955,2975
956,8375
957,3046
958,2986
959,2976
960,2976
961,2965
962,2975
963,2965
964,2966
965,2966
966,3036
967,3006
968,2975
969,2965
970,2995
971,8336
972,3016
973,2976
974,2975
975,2975
976,2975
977,3076
978,2966
979,2986
980,3035
981,3046
982,3106
983,3035
984,3046
985,8386
986,3146
987,3066
988,3026
989,3025
990,3036
991,3046
992,3025
993,3036
994,3076
995,3026
996,3045
997,3046
998,3036
999,3036
1000,8255
1001,3206
1002,3036
1003,3136
1004,3056
1005,3036
1006,3045
1007,3036
1008,3036
1009,3035
1010,3046
1011,3186
1012,3045
1013,3036
1014,8496
1015,3106
1016,3046
1017,3035
1018,3036
1019,3036
1020,3036
1021,3146
1022,3036
1023,3036
1024,3035
1025,3036
1026,3046
1027,3036
1028,3035
1029,3256
1030,3115
1031,3106
1032,3036
1033,3106
1034,3026
1035,3106
1036,3036
1037,3036
1038,3076
1039,3035
1040,3076
1041,3036
1042,3115
1043,8466
1044,3146
1045,3036
1046,3046
1047,3045
1048,3046
1049,3036
1050,3065
1051,3056
1052,3036
1053,3096
1054,3036
1055,3046
1056,3036
1057,7574
1058,3095
1059,3046
1060,3046
1061,3035
1062,3046
1063,3136
1064,3045
1065,3086
1066,3036
1067,3075
1068,3136
1069,3056
1070,3045
1071,3046
1072,3217
1073,3196
1074,3045
1075,3046
1076,3036
1077,3045
1078,3036
1079,3036
1080,3046
1081,3045
1082,3046
1083,3046
1084,3045
1085,12303
1086,3316
1087,3035
1088,3046
1089,3026
1090,3176
1091,3026
1092,3026
1093,3026
1094,3035
1095,3026
1096,3056
1097,3035
1098,3025
1099,3246
1100,3045
1101,3036
1102,3026
1103,3045
1104,3025
1105,3076
1106,3026
1107,3055
1108,3026
1109,3036
1110,3115
1111,3036
1112,3156
1113,3126
1114,3036
1115,3046
1116,3076
1117,3136
1118,3035
1119,3036
1120,3026
1121,3036
1122,3035
1123,3046
1124,3076
1125,3035
1126,8336
1127,3076
1128,3256
1129,3056
1130,3046
1131,3036
1132,3046
1133,3035
1134,3046
1135,3036
1136,3026
1137,8436
1138,3106
1139,3106
1140,3026
1141,3106
1142,3045
1143,3036
1144,3026
1145,3035
1146,3106
1147,3026
1148,3176
1149,3026
1150,3026
1151,3065
1152,3196
1153,3046
1154,3045
1155,3056
1156,3046
1157,3036
1158,3096
1159,3046
1160,3106
1161,3046
1162,3196
1163,3035
1164,3036
1165,3036
1166,8365
1167,3076
1168,3036
1169,3135
1170,3036
1171,3026
1172,3025
1173,3186
1174,3066
1175,3035
1176,3036
1177,3036
1178,3035
1179,3026
1180,8316
1181,3106
1182,3206
1183,3036
1184,3035
1185,3036
1186,3086
1187,3035
1188,3046
1189,3036
1190,3036
1191,3075
1192,3036
1193,3036
1194,3115
1195,3216
1196,3056
1197,3045
1198,3036
1199,3036
1200,3025
1201,3256
1202,3066
1203,3026
1204,3106
1205,3056
1206,3025
1207,3096
1208,3036
1209,8396
1210,3126
1211,3176
1212,3046
1213,3046
1214,3035
1215,3186
1216,3075
1217,3036
1218,3036
1219,3186
1220,3036
1221,3176
1222,3036
1223,8326
1224,3116
1225,3076
1226,3046
1227,3046
1228,3106
1229,3036
1230,3036
1231,3036
1232,3036
1233,3046
1234,3035
1235,3046
1236,3046
1237,3035
1238,3146
1239,3056
1240,3046
1241,3045
1242,3036
1243,3036
1244,3035
1245,3036
1246,3046
1247,3036
1248,3035
1249,3036
1250,3046
1251,3045
1252,8386
1253,3056
1254,3125
1255,3036
1256,3036
1257,3095
1258,3036
1259,3026
1260,3026
1261,3025
1262,3026
1263,3036
1264,3035
1265,3036
1266,8286
1267,3106
1268,3035
1269,3036
1270,3036
1271,3036
1272,3046
1273,3036
1274,3026
1275,3025
1276,3026
1277,3026
1278,3146
1279,3025
1280,3036
1281,8406
1282,3055
1283,3126
1284,3046
1285,3046
1286,3036
1287,3136
1288,3046
1289,3086
1290,3105
1291,3046
1292,3126
1293,3035
1294,3056
1295,8476
1296,3086
1297,3036
1298,3186
1299,3116
1300,3086
1301,3036
1302,3036
1303,3106
1304,3036
1305,3036
1306,3106
1307,3136
1308,3036
1309,8285
1310,3096
1311,3046
1312,3036
1313,3035
1314,3036
1315,3086
1316,3045
1317,3106
1318,3046
1319,3035
1320,3036
1321,3036
1322,3036
1323,3035
1324,3266
1325,3196
1326,3046
1327,3025
1328,3036
1329,3026
1330,3026
1331,3025
1332,3026
1333,3066
1334,13495
1335,3226
1336,3086
1337,3025
1338,3076
1339,3036
1340,3055
1341,3036
1342,3046
1343,3036
1344,3065
1345,3036
1346,3036
1347,11511
1348,3146
1349,3036
1350,3045
1351,3026
1352,3096
1353,3025
1354,13355
1355,3166
1356,3086
1357,3095
1358,8416
1359,3096
1360,3015
1361,3026
1362,3056
1363,3016
1364,3015
1365,3016
1366,3016
1367,3016
1368,3126
1369,3086
1370,3076
1371,3016
1372,8185
1373,3106
1374,3025
1375,3086
1376,3036
1377,3016
1378,3095
1379,3016
1380,3016
1381,3016
1382,3015
1383,3026
1384,3026
1385,3076
1386,3015
1387,8406
1388,3086
1389,3015
1390,3026
1391,3026
1392,3016
1393,3106
1394,3036
1395,3066
1396,3025
1397,3016
1398,3176
1399,3015
1400,3026
1401,8286
1402,3076
1403,3015
1404,3016
