Iteration,Latency/Jitter (ns)
0,47835
1,45169
2,-30804
3,14732
4,-7500
5,-20565
6,27195
7,-2771
8,-44970
9,-747
10,27876
11,-27828
12,14521
13,4753
14,-22198
15,4714
16,54206
17,-9764
18,-17039
19,23118
20,-13481
21,-37096
22,-1719
23,26644
24,-26155
25,16746
26,104
27,-18431
28,3672
29,-3924
30,-2250
31,26574
32,26815
33,9382
34,-57154
35,42735
36,-19833
37,-24222
38,15724
39,2429
40,-19693
41,4252
42,-5366
43,-767
44,26424
45,-27578
46,5484
47,1086
48,42244
49,-15956
50,-12850
51,896
52,26895
53,-43758
54,3510
55,-4685
56,-1338
57,25843
58,-26947
59,6026
60,775
61,50299
62,-25584
63,-12028
64,28277
65,-24742
66,-19343
67,4323
68,32976
69,-17499
70,7749
71,-29832
72,22536
73,-2741
74,34019
75,-23000
76,22587
77,-6498
78,-21136
79,-23269
80,15333
81,-16057
82,-967
83,27616
84,-27017
85,3962
86,16034
87,-23219
88,4472
89,52113
90,-6198
91,-23871
92,32385
93,-37156
94,-17088
95,-737
96,25993
97,-26135
98,4513
99,10975
100,-18090
101,4432
102,51672
103,-57504
104,27025
105,27956
106,-32727
107,-16737
108,-1529
109,27656
110,-27628
111,4733
112,13179
113,-19823
114,4122
115,52603
116,-58746
117,26664
118,28127
119,-4845
120,-44470
121,94693
122,-68675
123,-27328
124,4543
125,14211
126,-20895
127,4753
128,-4886
129,-1038
130,27286
131,-28530
132,52002
133,-45772
134,45991
135,-21526
136,24260
137,-45733
138,13159
139,-19783
140,4392
141,-5095
142,2559
143,24090
144,-28650
145,54937
146,-47866
147,43697
148,-41695
149,47414
150,-48377
151,16765
152,-20083
153,3190
154,-5085
155,-2882
156,29760
157,-28329
158,4573
159,735
160,45460
161,-42416
162,47644
163,-47695
164,15182
165,-20794
166,3200
167,-4124
168,-1188
169,27205
170,-28469
171,4512
172,3802
173,55609
174,-30143
175,28317
176,-15775
177,-10366
178,-32537
179,3591
180,-4344
181,-908
182,26945
183,-27638
184,3682
185,26564
186,-31646
187,34750
188,21484
189,-6538
190,-24853
191,29370
192,-46614
193,-3833
194,-1809
195,29179
196,-27498
197,1888
198,2789
199,-8993
200,35040
201,21806
202,-47375
203,17256
204,27436
205,-45151
206,-3232
207,-1629
208,27957
209,-28830
210,3761
211,2809
212,-9403
213,5845
214,50669
215,-2410
216,-26416
217,27897
218,-1038
219,-48667
220,-1559
221,25482
222,-25825
223,33307
224,-26355
225,-9314
226,3531
227,53896
228,90364
229,-123398
230,-23741
231,67401
232,-22458
233,-22789
234,-20414
235,3621
236,-2711
237,-838
238,22938
239,-24092
240,3431
241,-1278
242,-1920
243,32766
244,-33158
245,5354
246,72531
247,-79676
248,32896
249,-23670
250,37244
251,-23661
252,69245
253,-89445
254,-2510
255,25813
256,-26677
257,42785
258,-35593
259,45991
