Iteration,Latency/Jitter (ns)
0,-957119
1,-229408
2,18719
3,-981605
4,-25985
5,-23470
6,21985
7,-979932
8,-26426
9,20643
10,-980464
11,-25303
12,-24913
13,21514
14,-981926
15,-25945
16,21004
17,-981906
18,-24412
19,-24111
20,21274
21,-981876
22,-25414
23,-23200
24,21044
25,-981856
26,-25013
27,21324
28,-981926
29,-25084
30,-21907
31,19681
32,-981946
33,-25173
34,20943
35,-981685
36,-26286
37,-23540
38,21745
39,-982026
40,-22709
41,-25514
42,20734
43,-981856
44,-25154
45,22075
46,-981885
47,-25104
48,-24241
49,21023
50,-981795
51,-23140
52,21786
53,-973881
54,-25504
55,-34230
56,22286
57,-981866
58,-26045
59,-23360
60,21255
61,-981916
62,-25815
63,21976
64,-981916
65,-25875
66,-23069
67,21615
68,-982046
69,-25003
70,-19813
71,17166
72,-981806
73,-24974
74,20894
75,-981936
76,-22979
77,-25033
78,21004
79,-981846
80,-25834
81,20252
82,-981916
83,-24792
84,-22759
85,21214
86,-981876
87,-25303
88,20743
89,-981756
90,-25013
91,-23179
92,21104
93,-981776
94,-25334
95,-24092
96,22697
97,-981535
98,-27067
99,22988
100,-979802
101,-28099
102,-23580
103,20703
104,-981726
105,-24512
106,21134
107,-981695
108,-26025
109,-23450
110,21645
111,-981876
112,-25814
113,-22939
114,21555
115,-981996
116,-24663
117,20253
118,-982006
119,-24893
120,-24252
121,21204
122,-982006
123,-23079
124,20072
125,-981726
126,-25975
127,-23730
128,21484
129,-980614
130,-26035
131,-23380
132,20773
133,-981736
134,-25514
135,22417
136,-981245
137,-25153
138,-12860
139,9392
140,-981916
141,-25624
142,20913
143,-981987
144,-25033
145,-15836
146,14521
147,-980764
148,-26737
149,-23830
150,20182
151,-982076
152,-23871
153,20553
154,-981946
155,-25194
156,-23431
157,22296
158,-977658
159,-28109
160,-25073
161,21344
162,-981465
163,-26125
164,21174
165,-981916
166,-24693
167,-24071
168,22246
169,-980333
170,-27878
171,21284
172,-981885
173,-25605
174,-23710
175,22246
176,-981956
177,-25514
178,-23290
179,20513
180,-981816
181,-24782
182,22025
183,-981946
184,-25283
185,-24342
186,21825
187,-981966
188,-24371
189,20242
190,-980423
191,-26816
192,-21146
193,18970
194,-981706
195,-25413
196,-23981
197,21565
198,-981876
199,-25775
200,22397
201,-981966
202,-25544
203,-24141
204,21765
205,-981936
206,-25153
207,21344
208,-981986
209,-25514
210,-22648
211,20673
212,-981926
213,-25264
214,-6428
215,23589
216,-24552
217,19561
218,-981635
219,-26196
220,-24101
221,22597
222,-981916
223,-20474
224,16074
225,-981735
226,-25204
227,-23700
228,21234
229,-981946
230,-25003
231,-24191
232,22105
233,-981836
234,-25474
235,20934
236,-982447
237,3821
238,-49799
239,19420
240,-981826
241,-25875
242,-23580
243,21334
244,-982567
245,-25564
246,23729
247,-980644
248,-27217
249,-23099
250,20763
251,-981946
252,-26436
253,21706
254,-982057
255,-24652
256,-24202
257,22225
258,-982006
259,-26014
260,22146
261,-980333
262,-25654
263,-24833
264,21505
265,-981856
266,-26175
267,-23531
268,21905
269,-982377
270,-25874
271,22136
272,-982407
273,-25023
274,-23370
275,22486
276,-980863
277,-26336
278,19881
279,-982007
280,-25474
281,-23661
282,22096
283,-982667
284,-6288
285,-41154
286,20724
287,-982588
288,-25674
