Iteration,Latency/Jitter (ns)
0,62820
1,98135
2,108535
3,35308
4,96281
5,223838
6,1098389
7,112992
8,52551
9,169918
10,144581
11,155781
12,34457
13,164067
14,32443
15,45317
16,58661
17,88286
18,79730
19,48994
20,117681
21,534143
22,248143
23,41611
24,50677
25,151514
26,38714
27,226963
28,71064
29,111229
30,95831
31,90972
32,1058595
33,72277
34,122360
35,24178
36,55146
37,59343
38,34948
39,55717
40,91282
41,34116
42,38735
43,120637
44,119465
45,86663
46,171430
47,69351
48,70114
49,75963
50,84439
51,56417
52,75553
53,24148
54,102904
55,124203
56,141586
57,47100
58,61567
59,52841
60,117862
61,171150
62,71777
63,43814
64,27995
65,34337
66,71195
67,137307
68,109206
69,50948
70,71576
71,119164
72,80322
73,75343
74,98796
75,45388
76,122169
77,114045
78,374337
79,44576
80,51098
81,51408
82,37953
83,72167
84,135253
85,100850
86,35148
87,41771
88,23597
89,43133
90,89509
91,62830
92,78358
93,64422
94,72287
95,34827
96,884162
97,95540
98,33345
99,52591
100,133631
101,78920
102,25570
103,40759
104,43804
105,50917
106,38034
107,40598
108,43604
109,93456
110,118864
111,182441
112,139181
113,95661
114,72858
115,109115
116,129494
117,28025
118,36180
119,57650
120,104196
121,94027
122,125195
123,105989
124,66246
125,79781
126,83087
127,84459
128,124183
129,72848
130,204302
131,194503
132,938532
133,101100
134,37783
135,49926
136,55055
137,48864
138,55226
139,57790
140,24018
141,27434
142,66797
143,78669
144,57179
145,56187
146,108855
147,127289
148,121959
149,119324
150,145783
151,74642
152,85011
153,73199
154,64352
155,149070
156,96552
157,87135
158,92204
159,204221
160,77887
161,85982
162,184044
163,105679
164,79380
165,80452
166,73879
167,119334
168,860267
169,55025
170,85662
171,48392
172,59273
173,42802
174,48903
175,33454
176,32904
177,41460
178,82967
179,140784
180,105579
181,83518
182,86473
183,31832
184,88286
185,70013
186,73539
187,93547
188,79781
189,126367
190,74581
191,91914
192,102733
193,169738
194,34036
195,976283
196,44766
197,24298
198,51980
199,34687
200,45236
201,46148
202,39727
203,43925
204,63471
205,43143
206,45498
207,92785
208,96813
209,44636
210,58221
211,99858
212,80292
213,45217
214,72538
215,101160
216,105378
217,81655
218,77687
219,70464
220,120737
221,26472
222,41490
223,52369
224,76635
225,144261
226,122931
227,121458
228,42742
229,173825
230,133350
