Iteration,Latency/Jitter (ns)
0,-819275
1,-72222
2,26310
3,-21448
4,23104
5,-922987
6,-126383
7,134361
8,-88012
9,-29152
10,20599
11,-31396
12,34325
13,7716
14,-931
15,-14405
16,-2653
17,26210
18,45555
19,-55231
20,-59800
21,26100
22,38162
23,-932775
24,-94804
25,111037
26,-814967
27,-328307
28,57498
29,13567
30,37090
31,-48649
32,-30094
33,45977
34,-41436
35,9819
36,763
37,26941
38,-62274
39,6173
40,57548
41,-17041
42,512
43,25428
44,29636
45,-53328
46,46657
47,-7313
48,7845
49,-100455
50,32201
51,-20086
52,30819
53,-903411
54,-89414
55,53961
56,-26517
57,-50643
58,110737
59,-64358
60,-46575
61,27443
62,-905375
63,-133846
64,29496
65,-21999
66,27652
67,84948
68,-126032
69,27572
70,-923708
71,-41235
72,8377
73,91000
74,-863257
75,-299824
76,483436
77,-891930
78,-581635
79,4560
80,16312
81,-25787
82,74520
83,-94213
84,-8585
85,14859
86,27963
87,-19194
88,159126
89,-137263
90,-16820
91,89106
92,-67924
93,-7813
94,14268
95,-22681
96,62547
97,-895617
98,-156188
99,28644
100,85279
101,-75468
102,-65430
103,-9807
104,122879
105,-2964
106,22352
107,5401
108,-88813
109,45957
110,-92640
111,59612
112,43892
113,652960
114,-820949
115,65171
116,6263
117,6754
118,-14275
119,82263
120,-83332
121,10350
122,-38620
123,60955
124,39083
125,-51483
126,32521
127,7445
128,553315
129,-779501
130,-839433
131,-5298
132,5091
133,9308
134,-13203
135,21230
136,21752
137,-42207
138,12384
139,1424
140,82224
141,209048
142,-291668
143,133789
144,-912859
145,-196752
146,-3976
147,69179
148,-81820
149,24547
150,135102
151,-157059
152,-13734
153,-15337
154,60543
155,-49981
156,84628
157,-15126
158,-47146
159,-2794
160,-35975
161,41097
162,2986
163,72215
164,-65621
165,-30195
166,2626
167,42490
168,-28221
169,-26617
170,21701
171,96520
172,-104091
173,12605
174,-18794
175,9659
176,-17251
177,54482
178,101900
179,-132574
180,25148
181,-1641
182,-4858
183,-21248
184,-1732
185,10782
186,-30866
187,35657
188,-6901
189,-26127
190,374755
191,-887602
192,-502779
193,18686
194,7485
195,3638
196,70242
197,-764785
198,-308389
199,20529
200,-26508
201,84437
202,-49060
203,-37628
204,-2894
205,3027
206,84047
207,-83003
208,40095
209,1063
210,46788
211,-29153
212,19367
213,-35204
214,-12813
215,12054
216,-48288
217,172210
218,-125761
219,72856
220,-103450
221,83166
222,-96257
223,43682
224,-32148
225,34365
226,33864
227,10721
228,-74507
229,10761
230,16823
231,-57355
232,35096
233,15039
234,71
235,-3174
236,-41786
237,57888
238,56937
239,-85327
240,-19424
241,87193
242,-924851
243,-101256
244,-52696
245,16652
246,-5709
247,38863
248,-4737
249,116257
250,-891920
251,-181054
252,-16960
253,-17441
254,719263
255,-849772
256,-810719
257,-143414
258,5942
