Iteration,Latency/Jitter (ns)
0,34039
1,32196
2,20784
3,23930
4,22778
5,23479
6,19382
7,19732
8,17769
9,24391
10,20313
11,20945
12,21025
13,29881
14,36544
15,22237
16,42385
17,30963
18,26525
19,15695
20,13250
21,21316
22,34911
23,22317
24,19963
25,16556
26,770748
27,12449
28,18370
29,21726
30,39359
31,11566
32,15805
33,21185
34,28849
35,21696
36,23239
37,22918
38,29301
39,35191
40,33308
41,16426
42,28358
43,29210
44,28249
45,30402
46,40691
47,30854
48,34079
49,33248
50,43868
51,46433
52,29651
53,45300
54,28869
55,24121
56,30693
57,29952
58,34259
59,27025
60,32696
61,27037
62,40902
63,28128
64,28589
65,22177
66,14032
67,27206
68,21866
69,29200
70,33258
71,33418
72,26726
73,24932
74,26655
75,27367
76,29531
77,33538
78,32727
79,70759
80,33598
81,31414
82,37416
83,34099
84,256359
85,49789
86,28959
87,27667
88,22758
89,31064
90,27376
91,26806
92,25042
93,27708
94,35352
95,28098
96,29911
97,30843
98,33498
99,29010
100,27868
101,36614
102,26996
103,23830
104,30182
105,31285
106,33758
107,39270
108,38557
109,36183
110,38417
111,34761
112,928977
113,29610
114,26736
115,30182
116,33248
117,36233
118,35191
119,34751
120,27647
121,26455
122,28539
123,24201
124,33017
125,16015
126,27176
127,26014
128,24290
129,30082
130,32767
131,767071
132,13670
133,12930
134,30843
135,31956
136,17448
137,14432
138,30383
139,29561
140,31554
141,40231
142,27127
143,33398
144,17027
145,26375
146,29340
147,29470
148,27307
149,26886
150,27497
151,23890
152,29200
153,33298
154,41203
155,29080
156,39510
157,41894
158,32015
159,28539
160,33929
161,27196
162,26756
163,26976
164,29430
165,33429
166,34069
167,27176
168,36814
169,20454
170,20985
171,30131
172,40312
173,32206
174,35411
175,33167
176,37777
177,26956
178,33408
179,612400
180,32346
181,38367
182,15805
183,16737
184,24992
185,31374
186,33689
187,32056
188,27096
189,32717
190,26896
191,13591
192,30342
193,26044
194,45652
195,27487
196,25543
197,26064
198,27177
199,29370
200,33108
201,39099
202,33488
203,27237
204,35592
205,34330
206,29370
207,1007835
208,23229
209,30102
210,33839
211,43818
212,34611
213,29881
214,33849
215,27207
216,24431
217,8030
218,12048
219,26285
220,25974
221,32146
222,31294
223,33809
224,33118
225,26625
226,678544
227,30503
228,30483
229,42665
230,12429
231,22948
232,21807
233,29731
234,32466
235,32627
236,40782
237,34330
238,27507
239,71530
240,28739
241,30252
242,34520
243,33348
244,28168
245,46593
246,27778
247,27988
248,69446
249,33017
250,35232
251,30232
252,62433
253,28910
254,721836
255,26635
256,29741
257,30984
258,33639
259,27657
260,30042
261,26996
262,21956
263,29801
264,33488
265,34410
266,26846
267,48687
268,34690
269,13180
270,25393
271,27276
272,29752
273,33207
274,26576
275,27286
276,27117
277,29160
278,30943
279,30503
280,33258
281,32556
282,27267
283,27457
284,32587
285,26595
286,46853
287,30021
288,27507
289,29140
290,29571
291,90306
292,992707
293,27887
294,27978
295,24972
296,29932
297,34300
298,33688
299,47104
300,35131
301,26325
302,25303
303,22487
304,22036
305,24972
306,26045
307,20554
308,22637
309,19542
310,20134
311,17878
312,18350
313,25193
314,34640
315,35833
316,21496
317,24561
318,28589
319,21877
320,20964
321,443982
322,23420
323,35211
324,19693
325,22858
326,30162
327,30052
328,33398
329,27176
330,26646
331,29010
332,25333
333,30923
334,32677
335,35372
336,33358
337,27046
338,27156
339,29030
340,22708
341,30142
342,42786
343,31054
344,40051
345,34350
346,33278
347,42234
348,40552
349,801977
350,12218
351,104562
352,29691
353,29931
354,28569
355,32596
356,31465
357,35021
358,34630
359,26706
360,27938
361,31254
362,30933
363,26135
364,28298
365,26896
366,26415
367,24091
368,30993
369,34040
370,30031
371,27387
372,27347
373,26545
374,25353
375,29731
376,32978
377,25202
378,487064
379,11687
380,17929
381,19171
382,28218
383,16706
384,26756
385,23950
386,28800
387,31243
388,33187
389,27116
390,30041
391,27057
392,36293
393,30383
394,304379
395,35923
396,25503
397,46513
398,26094
399,29151
400,33618
401,82471
402,44659
403,36494
404,33488
405,30874
406,37455
407,37556
408,36013
409,35762
410,39440
411,34680
412,29702
413,23619
414,21486
415,22117
416,20433
417,20464
418,14883
419,19522
420,57734
421,32056
422,21626
423,20674
424,23049
425,22036
426,20574
427,22077
428,24992
429,24121
430,20944
431,22488
432,23690
433,22367
434,27136
435,23029
436,24080
437,20995
438,28800
439,31895
440,48386
441,27948
442,34300
443,32506
444,26686
445,801696
446,21646
447,9513
448,27477
449,16156
450,20714
451,26535
452,27016
453,24571
454,34710
455,29811
456,30553
457,27256
458,28038
459,29371
460,23489
461,29130
462,29600
463,26815
464,34681
465,26846
466,25373
467,26825
468,36144
469,29821
470,35472
471,33017
472,27247
473,1004709
474,12920
475,28569
476,33969
477,32246
478,38978
479,27968
480,32907
481,25764
