Iteration,Latency/Jitter (ns)
0,15499
1,4749
2,5009
3,5060
4,11422
5,4549
6,4459
7,4458
8,4468
9,4459
10,4458
11,5249
12,5200
13,11091
14,4609
15,4479
16,4509
17,17182
18,5270
19,5029
20,11011
21,4619
22,4488
23,4468
24,4479
25,4469
26,4468
27,5620
28,4959
29,4920
30,4639
31,4498
32,4468
33,4469
34,4468
35,4458
36,5030
37,5140
38,4509
39,4659
40,4488
41,4469
42,4468
43,4468
44,4459
45,4939
46,4959
47,5079
48,12984
49,4489
50,4449
51,4458
52,4458
53,4469
54,4809
55,5110
56,4558
57,11121
58,4509
59,4458
60,4479
61,4469
62,4478
63,4879
64,4940
65,4839
66,11191
67,4539
68,4478
69,4468
70,4469
71,4469
72,4468
73,4990
74,5100
75,13355
76,4588
77,4458
78,4479
79,4478
80,4448
81,4469
82,4929
83,4999
84,11081
85,4558
86,4468
87,4479
88,4468
89,4458
90,4469
91,5160
92,5150
93,10991
94,4618
95,4468
96,4479
97,4478
98,4438
99,4469
100,5150
101,5571
102,14598
103,6473
104,5400
105,5410
106,5129
107,5460
108,5140
109,5490
110,11702
111,4529
112,4469
113,4478
114,4458
115,4469
116,4448
117,4889
118,5110
119,11111
120,4629
121,4469
122,4478
123,4468
124,4469
125,4468
126,5109
127,5160
128,25618
129,4849
130,4489
131,4468
132,4468
133,4980
134,5019
135,11551
136,4599
137,4478
138,4459
139,4469
140,4458
141,4458
142,4990
143,5130
144,10941
145,4629
146,4489
147,4458
148,4458
149,4469
150,4468
151,5099
152,5210
153,4589
154,4699
155,4499
156,4479
157,4478
158,4478
159,4479
160,4949
161,22182
162,4689
163,4479
164,4458
165,4468
166,4449
167,4468
168,4979
169,5209
170,11020
171,4649
172,4488
173,4478
174,4469
175,4459
176,4458
177,5079
178,5049
179,4548
180,4688
181,4498
182,4498
183,4479
184,4478
185,4458
186,4880
187,4919
188,4979
189,11101
190,4518
191,4458
192,4469
193,4468
194,4458
195,4469
196,4909
197,5049
198,11061
199,4588
200,4478
201,4469
202,4488
203,4458
204,4449
205,5140
206,5210
207,4569
208,4648
209,4478
210,4469
211,4479
212,4468
213,4528
214,5020
215,5020
216,4568
217,11121
218,4508
219,4458
220,4459
221,4458
222,4468
223,4459
224,4959
225,5039
226,11121
227,4528
228,4458
229,4469
230,4478
231,4458
232,4469
233,5260
234,5180
235,10990
236,4608
237,4488
238,4459
239,4448
240,4458
241,4469
242,5150
243,5140
244,4549
245,4709
246,4489
247,4468
248,4468
249,4469
250,4479
251,4689
252,4950
253,4849
254,11101
255,4528
256,4458
257,4469
258,4479
259,4468
260,4468
261,4879
262,5039
263,11101
264,4588
265,4458
266,4469
267,4469
268,4458
269,4459
270,5180
271,5140
272,4549
273,4829
274,4469
275,4479
276,4468
277,4879
278,4950
279,4990
280,11371
281,4528
282,4469
283,4469
284,4458
285,4458
286,4459
287,4969
288,5049
289,11071
290,4588
291,4468
292,4469
293,4489
294,4468
295,4468
296,5180
297,5210
298,10980
299,4619
300,4478
301,4478
302,4459
303,4478
304,4458
305,5070
306,5030
307,4568
308,11120
309,20078
310,4579
311,4448
312,4949
313,5019
314,11020
315,4588
316,4478
317,4479
318,4479
319,4478
320,4458
321,4930
322,5270
323,4539
324,4709
325,4498
326,4469
327,4478
328,4478
329,4479
330,4709
331,4989
332,4869
333,10991
334,4539
335,4468
336,4468
337,4479
338,4479
339,4468
340,4939
341,5059
342,10941
343,4578
344,4479
345,4479
346,4468
347,4478
348,4469
349,5150
350,5240
351,4529
352,4658
353,4488
354,4459
355,4458
356,4458
357,4449
358,4939
359,4929
360,4579
361,11071
362,4519
363,4468
364,4478
365,4479
366,4469
367,4468
368,4930
369,4990
370,11101
371,4549
372,4488
373,4488
374,4479
375,4469
376,4478
377,5169
378,5190
379,11031
380,4599
381,4509
382,4478
383,4468
384,4549
385,4459
386,5160
387,5020
388,4559
389,4689
390,4509
391,4479
392,4488
393,4478
394,4469
395,4949
396,4959
397,4769
398,11151
399,4509
400,4469
401,4478
402,4468
403,4469
404,4469
405,4879
406,5110
407,11031
408,4559
409,4479
410,4488
411,4478
412,4499
413,4469
414,5150
415,5160
416,4549
417,4639
418,4479
419,4459
420,4468
421,4469
422,4459
423,4859
424,5000
425,4568
426,20348
427,4579
428,4469
429,4478
430,4468
431,5190
432,5239
433,11141
434,4649
435,4479
436,4448
437,4448
438,4459
439,4448
440,5069
441,4999
442,4558
443,4719
444,4489
445,4468
446,4469
447,4489
448,4468
449,4889
450,4980
451,4909
452,11061
453,4518
454,4478
455,4479
456,4469
457,18244
458,5180
459,11171
460,4568
461,4469
462,4479
463,4478
464,4478
465,4469
466,5019
467,5019
468,11030
469,4558
470,4468
471,4499
472,4479
473,4488
474,4468
475,5120
476,5230
477,11010
478,4629
479,4488
480,4478
481,4479
482,4478
483,4468
484,5090
485,5020
486,4568
487,11081
488,4478
489,4468
490,4489
491,4458
492,4468
493,4890
494,4949
495,4929
496,11101
497,4538
498,4478
499,4479
500,4478
501,4478
502,4469
503,5110
504,5040
505,11011
506,4609
507,4489
508,4488
509,4468
510,4479
511,4469
512,4889
513,5059
514,4548
515,4698
516,4498
517,4469
518,4489
519,4488
520,4478
521,4910
522,4949
523,4869
524,11141
525,4538
526,4458
527,4469
528,4479
529,4488
530,4468
531,4980
532,5090
533,11051
534,4569
535,4478
536,4468
537,4459
538,4469
539,4468
540,5159
541,5189
542,4508
543,4628
544,4498
545,4478
546,4479
547,4478
548,4458
549,5000
550,4930
551,4578
552,10360
553,4499
554,4468
555,4458
556,4459
557,4459
558,4468
559,4970
560,5030
561,10951
562,4569
563,4478
564,4478
565,4469
566,4458
567,4468
568,5140
569,5179
570,4538
571,4789
572,4468
573,4459
574,4458
575,4458
576,4879
577,5090
578,11191
579,4589
580,4469
581,4478
582,4468
583,4459
584,4448
585,5179
586,5170
587,10941
588,4648
589,4478
590,4459
591,4479
592,4468
593,4468
594,4759
595,4859
596,4718
597,11071
598,4508
599,4458
600,4479
601,4479
602,4468
603,4458
604,5009
605,5130
606,18094
607,4579
608,4469
609,4468
610,4478
611,4469
612,4890
613,4980
614,11091
615,4589
616,4459
617,4478
618,4478
619,4479
620,4458
621,4939
622,5210
623,4549
624,4618
625,4478
626,4469
627,4448
628,4468
629,4469
630,4739
631,4929
632,4749
633,11081
634,4519
635,4458
636,4468
637,4469
638,4468
639,4478
640,4990
641,5040
642,10981
643,4558
644,4468
645,4479
646,4479
647,4468
648,4488
649,5170
650,5159
651,10940
652,4649
653,4478
654,4479
655,4449
656,4458
657,4458
658,5110
659,5070
660,4558
661,4699
662,4498
663,4478
664,4479
665,4478
666,4468
667,4679
668,4929
669,5010
670,11111
671,4539
672,4469
673,4498
674,4458
675,4459
676,4469
677,5260
678,5040
679,11001
680,4619
681,4479
682,4468
683,4458
684,4469
685,4458
686,5139
687,5250
688,4539
689,4659
690,4479
691,4488
692,4488
693,4479
694,4459
695,4939
696,4929
697,4578
698,10990
699,4518
700,4458
701,4489
702,4478
703,4478
704,4469
705,5009
706,5049
707,11031
708,4549
709,4468
710,4478
711,4469
712,4468
713,4468
714,5150
715,5179
716,19556
717,4699
718,4479
719,4458
720,4458
721,4459
722,4909
723,5039
724,11232
725,4579
726,4478
727,4478
728,4479
729,4478
730,4468
731,5170
732,5079
733,4509
734,4618
735,4488
736,4478
737,4469
738,4468
739,4478
740,5080
741,5080
742,4578
743,11010
744,4508
745,4469
746,4469
747,4448
748,4459
749,4659
750,4990
751,4930
752,10991
753,4549
754,4468
755,17564
756,4589
757,4940
758,5030
759,10971
760,4589
761,4478
762,4478
763,4469
764,4458
765,4468
766,5030
767,5140
768,11021
769,4638
770,4478
771,4489
772,4458
773,4458
774,4449
775,4859
776,5039
777,4579
778,11041
779,4489
780,4468
781,4469
782,4469
783,4468
784,4889
785,4970
786,4879
787,11131
788,4508
789,4458
790,4489
791,4469
792,4458
793,4468
794,5230
795,5039
796,10970
797,4648
798,4468
799,4459
800,4468
801,4458
802,4469
803,5190
804,5210
805,4528
806,4668
