Iteration,Latency/Jitter (ns)
0,126596
1,68900
2,-92990
3,4991
4,872799
5,-789961
6,-95575
7,20560
8,-26747
9,37041
10,-18873
11,22464
12,-23131
13,-9345
14,31360
15,-19133
16,40988
17,-42818
18,-3083
19,23746
20,-12902
21,-1260
22,-1160
23,17114
24,12135
25,-37007
26,33394
27,-22119
28,-3404
29,36480
30,-28160
31,-28922
32,46419
33,-22700
34,38493
35,-44090
36,48412
37,38824
38,-85957
39,-24623
40,21522
41,9379
42,7797
43,5713
44,4360
45,453
46,-44741
47,-8524
48,44685
49,3409
50,12555
51,-37958
52,-9876
53,8047
54,36630
55,35177
56,-62473
57,-17821
58,23726
59,20770
60,-46143
61,31160
62,55675
63,53632
64,-53838
65,-57905
66,5242
67,-20055
68,31370
69,-23692
70,42411
71,-33410
72,-14084
73,34646
74,-33539
75,41729
76,-37578
77,-9776
78,39626
79,-27158
80,-24243
81,52840
82,15320
83,-26767
84,3940
85,-24393
86,10451
87,243
88,-25375
89,36119
90,-39672
91,-9174
92,35447
93,165359
94,-136241
95,-25815
96,-30735
97,3338
98,19288
99,11594
100,-21899
101,-9555
102,43192
103,-40773
104,56877
105,-20095
106,-22279
107,137807
108,-138294
109,-12691
110,30909
111,-19033
112,27433
113,-31596
114,34145
115,-429
116,-19053
117,-28230
118,37291
119,25179
120,-27419
121,-18411
122,-7632
123,33093
124,-47276
125,31311
126,-720
127,149059
128,-39742
129,-114570
130,10672
131,38503
132,-46213
133,118011
134,-127274
135,-18532
136,41278
137,-25905
138,28905
139,-7722
140,4871
141,11414
142,-33821
143,53421
144,-36095
145,-11629
146,4100
147,-13403
148,-7622
149,34847
150,-25075
151,13107
152,-10177
153,-13703
154,36339
155,21142
156,-8494
157,-67152
158,28465
159,20229
160,-2763
161,-29753
162,43493
163,-42336
164,41949
165,-20105
166,114174
167,-52415
168,-66712
169,59282
170,-26046
171,2867
172,-7051
173,-36966
174,-11900
175,45406
176,-44751
177,-4737
178,28024
179,52249
180,-33640
181,-32258
182,-10788
183,70513
184,-16839
185,-29553
186,-17270
187,27162
188,11995
189,-21698
190,-25886
191,37762
192,-24063
193,27423
194,-27759
195,45215
196,165489
197,-203996
198,11323
199,-8523
200,12485
201,40928
202,-50021
203,-2933
204,4811
205,-14766
206,36650
207,-33840
208,-9476
209,34757
210,-35354
211,21903
212,67787
213,-56723
214,557946
215,-577217
216,-24093
217,28455
218,40467
219,13768
220,-59288
221,-14976
222,37792
223,-30955
224,42230
225,14750
226,2406
227,-26377
228,-25425
229,38133
230,-45332
231,3869
232,30569
233,-19775
234,22674
235,56186
236,-95084
237,16052
238,-8303
239,-4687
