Iteration,Latency/Jitter (ns)
0,-953542
1,-136883
2,-20675
3,-4493
4,4553
5,-5896
6,-16
7,10835
8,-8511
9,4042
10,-3612
11,-2720
12,2599
13,-4393
14,6687
15,-1738
16,-2490
17,8571
18,-1228
19,3181
20,1478
21,-3522
22,7228
23,-1878
24,7659
25,-1138
26,-8872
27,10524
28,-4424
29,3531
30,-416
31,-6748
32,7559
33,-1207
34,8380
35,-8301
36,-3723
37,5004
38,-1388
39,-9493
40,10604
41,-4043
42,3240
43,-275
44,-5025
45,5125
46,-4805
47,-857
48,62973
49,-970314
50,-90626
51,3672
52,73854
53,-82421
54,8992
55,-4634
56,3511
57,55
58,-4194
59,5115
60,-1388
61,-5015
62,5005
63,-4945
64,4874
65,-296
66,-9102
67,9282
68,-3231
69,50941
70,-41814
71,-10505
72,5215
73,-1068
74,-5275
75,5666
76,-4674
77,4433
78,305
79,-9082
80,9613
81,-3141
82,2379
83,-256
84,-6888
85,6818
86,-106
87,-11627
88,11847
89,-4614
90,4833
91,-616
92,-8982
93,9102
94,-3862
95,3361
96,65
97,-7249
98,8621
99,-1308
100,-4844
101,5074
102,-1819
103,2921
104,-1899
105,-8331
106,8471
107,38658
108,-971837
109,-65168
110,-1308
111,-6828
112,6768
113,-567
114,-9212
115,9292
116,-5095
117,4433
118,-316
119,-8091
120,41453
121,-34871
122,3231
123,-516
124,-7069
125,6768
126,-667
127,-4955
128,4764
129,-3091
130,3852
131,-216
132,-8481
133,8751
134,-4563
135,4282
136,-235
137,-1929
138,3331
139,-1338
140,-5575
141,5655
142,-5014
143,4733
144,-265
145,-8702
146,8821
147,-4263
148,3532
149,1307
150,-7209
151,6898
152,-656
153,7278
154,-5225
155,-6487
156,4423
157,-927
158,-8201
159,10014
160,-4774
161,4002
162,25
163,-6928
164,6637
165,-4424
166,-7039
167,10915
168,-4624
169,5755
170,14823
171,-24481
172,8761
173,-4524
174,3982
175,-355
176,6717
177,-2510
178,-1608
179,-6267
180,4173
181,-4745
182,4703
183,-927
184,-8331
185,7700
186,-1789
187,3712
188,-1107
189,-5676
190,6787
191,-516
192,-11386
193,11035
194,-4904
195,4884
196,-987
197,-7680
198,7980
199,-2961
200,3792
201,-1087
202,6437
203,4583
204,-8261
205,-14602
206,12037
207,-4353
208,3912
209,966
210,-8111
211,8000
212,-4293
213,-3462
214,6237
215,-6338
216,6898
217,-4373
218,-8301
219,13160
220,-917
221,1066
222,11317
223,-20063
224,8410
225,-4704
226,-3281
227,6347
228,-6869
229,8762
230,-4544
231,-6768
232,10615
233,-4674
234,3802
235,315
236,22858
237,-20103
238,-7269
239,5305
240,-697
241,-7068
242,7559
243,-4103
244,-8822
245,11657
246,-4524
247,4654
248,-807
249,-6537
250,8360
251,-4343
252,-3292
253,56171
254,-54849
255,6437
256,-2189
257,-9313
258,9954
259,-3722
260,3912
261,-186
262,-7239
263,7759
264,-4594
265,-3281
266,7338
267,-7038
268,6868
269,-3622
270,-2721
271,7109
272,-5356
273,4694
274,-376
275,-7189
276,7910
277,-4484
278,-4353
279,8701
280,-7249
281,6607
282,-917
283,-9413
284,10184
285,6517
286,3822
287,-8521
288,-10445
289,7970
290,-2831
291,-5495
292,7128
293,-6768
294,6948
295,5
296,-11697
297,11316
298,-4023
299,5455
300,9603
301,-18841
302,7970
303,8000
304,30843
305,-11968
306,-18981
307,-13080
308,5616
309,-3152
310,-5927
311,8992
312,-5436
313,4444
314,1467
315,-6608
316,5305
317,-4724
318,-2920
319,8891
320,-4834
321,4193
322,-5426
323,11236
324,-6207
325,-5686
326,5656
327,-927
328,-6578
329,7188
330,-2750
331,-4924
332,5896
333,-5726
334,7559
335,-2270
336,-6417
337,7278
338,-4063
339,4694
340,325
341,-7229
342,32285
343,-23941
344,-7850
345,4193
346,-3462
347,5475
348,746
349,-3411
350,3421
351,-4965
352,5035
353,-1137
354,-6518
355,6838
356,-5035
357,-3031
358,4994
359,-3652
360,6798
361,-1438
362,-9854
363,11507
364,-5496
365,4443
366,-1218
367,-5546
368,6297
369,-3893
370,18390
371,-18140
372,8802
373,-5155
374,-1879
375,-8772
376,10154
377,-3912
378,3401
379,1197
380,-7960
381,6277
382,-917
383,-4755
384,5626
385,37876
386,-29851
387,-14142
388,6497
389,-6187
390,-6437
391,12889
392,-18661
393,2269
394,-4543
395,21134
396,10405
397,-14172
398,896
399,-15454
400,-4344
401,3322
402,-4013
403,10444
404,-4443
405,-7400
406,6316
407,-4664
408,-105
409,15995
410,10154
411,-16276
412,-2260
413,-325
414,-6458
415,4263
416,-4824
