Iteration,Latency/Jitter (ns)
0,-954454
1,-146193
2,-24153
3,-9185
4,5693
5,-4026
6,-1751
7,2577
8,-10468
9,19830
10,-981185
11,-26618
12,21934
13,-982156
14,-25536
15,-16960
16,15231
17,-982257
18,-24925
19,21573
20,-982066
21,-24995
22,-13864
23,12426
24,-981505
25,-26899
26,-23252
27,21884
28,-982257
29,-18092
30,14359
31,-981716
32,-25366
33,-24213
34,22725
35,-982327
36,-25145
37,-23703
38,21323
39,-982237
40,-25025
41,21513
42,-982247
43,-25806
44,-22751
45,21713
46,-981966
47,-24794
48,20180
49,-982076
50,-24865
51,-23582
52,22094
53,-982477
54,-25486
55,-23342
56,21573
57,-982096
58,-25717
59,22365
60,-982047
61,-25546
62,-23603
63,22074
64,-982597
65,-25155
66,21703
67,-982558
68,-24665
69,-23492
70,21162
71,-982627
72,-24644
73,-24314
74,23256
75,-982217
76,-25927
77,122
78,2507
79,-6881
80,764
81,4250
82,-9386
83,9320
84,-6170
85,3338
86,3749
87,-6700
88,132
89,3058
90,-3695
91,6895
92,-5368
93,704
94,6875
95,-7662
96,11784
97,-1240
98,-980
99,9861
100,-5488
101,7185
102,-1059
103,-5919
104,5753
105,-4206
106,4921
107,-809
108,18587
109,-17150
110,-4536
111,3568
112,-18
113,-6651
114,6935
115,-1050
116,-4757
117,5272
118,-4176
119,5272
120,-1010
121,-8043
122,8778
123,-4666
124,4360
125,-569
126,-6440
127,38845
128,-27048
129,-27590
130,27043
131,-948854
132,-57766
133,36210
134,-26898
135,-23823
136,13427
137,-973571
138,-26157
139,13528
140,-972859
141,-26117
142,-25586
143,12947
144,-978560
145,-28902
146,-26237
147,21182
148,-982397
149,-24734
150,21793
151,-982708
152,-25435
153,-22761
154,22364
155,-982517
156,-25115
157,20922
158,-982397
159,-25226
160,-15517
161,14540
162,-982527
163,-23513
164,-24574
165,21252
166,-981646
167,-19404
168,15772
169,-982217
170,-25426
171,-23562
172,20972
173,-982317
174,-24353
175,21322
176,-982477
177,-24925
178,-23652
179,22124
180,-982427
181,-24745
182,-23762
183,21492
184,-982346
185,-19365
186,16834
187,-981605
188,-24093
189,-26167
190,21733
191,-981916
192,-25676
193,-22571
194,26242
195,-9757
196,-3615
197,4711
198,-5558
199,-229
200,4932
201,-5529
202,6094
203,-4096
204,-1451
205,4941
206,-8223
207,9289
208,-2652
209,-1962
210,6434
211,-3875
212,7206
213,86184
214,-87462
215,8087
216,-3104
217,7345
218,-680
219,-6931
220,6865
221,-1281
222,-2592
223,4140
224,-6080
225,5393
226,4701
227,-12111
228,7166
229,-3425
230,10392
231,-10277
232,-2242
233,6013
234,-5147
235,-6410
236,10452
237,-3965
238,3809
239,256916
240,-963892
241,-299352
242,10983
243,-5508
244,-5819
245,-9185
246,7526
247,2407
248,11424
249,36771
250,-26498
251,-23071
252,11995
253,-970795
254,-24664
255,-26147
256,12195
257,-970795
258,-26598
259,10592
260,-972698
261,-30275
262,-28351
263,17835
264,-980323
265,-27761
266,21784
267,-981235
268,-25987
269,-23782
270,24899
271,-977608
272,-33471
273,-23181
274,20781
275,-981395
276,-26758
277,-12852
278,11814
279,-981054
280,-26097
281,20941
282,-981395
283,-24544
284,20361
285,-981535
286,-25166
287,-22750
288,20821
289,-980944
290,-25867
291,-23101
292,19910
293,-981055
294,-24654
295,20731
296,-981094
297,-25095
298,-25556
299,21703
300,-981024
301,-25436
302,-22721
303,20742
304,-980844
305,-26618
306,21232
307,-981475
308,-25346
309,-22650
310,20040
311,-981115
312,-23822
313,-7703
314,3048
315,-2332
316,-2112
317,20972
318,-23933
319,5943
320,-1571
321,-2723
322,4611
323,1014
324,-6159
325,10953
326,-14946
327,11052
328,-3534
329,41560
330,-34462
331,-9256
332,-7392
333,6435
334,8588
335,-679
336,-2693
337,6855
338,-2112
339,7486
340,2557
341,-10417
342,11454
343,-4447
344,4230
345,22
346,-7823
347,7947
348,-3504
349,4040
350,-780
351,-3875
352,3289
353,-3775
354,-7152
355,12246
356,-4407
357,2437
358,1305
359,-6570
360,6143
361,-1210
362,-6430
363,23306
364,-25636
365,13307
366,-973239
367,-27290
368,-22710
369,14169
370,-973771
371,-27209
372,14460
373,-973711
374,-26037
375,-24153
376,14860
377,-974632
378,-26949
379,12385
380,-979972
381,-25196
382,-26328
383,20711
384,-982807
385,-24625
386,-23442
387,22224
388,-982527
389,-24995
390,21843
391,-982417
392,-25817
393,-22912
394,21652
395,-982416
396,-25326
397,21743
398,-982437
399,-25355
400,-23032
401,21623
402,-982326
403,-25536
404,-22721
405,27664
406,-980383
407,-33791
408,22244
409,-982337
410,-25055
411,-23923
412,21653
413,-982387
414,-24784
415,-22190
416,20862
417,-982377
418,-25366
419,21753
420,-982477
421,-24975
422,-23512
423,21072
424,-982256
425,-24384
426,28586
427,-978159
428,-8313
429,-19755
430,-28953
431,-629
432,6274
433,-8093
434,6444
435,788456
436,-975283
437,-832986
438,1044
439,12185
440,-780
441,4571
442,-8324
443,9530
444,-2212
445,-4817
446,5923
447,-4075
448,1184
449,4070
450,-4206
451,-9546
452,14800
453,1094
454,45908
455,-28822
456,781372
457,-952701
458,-849116
459,13408
460,-12071
461,22274
462,-8294
463,-1050
464,5884
465,-2934
466,-779
467,1445
468,-1911
469,4550
470,-829
471,-6791
472,5844
473,-8
474,-5097
475,5001
476,-2492
477,799757
478,-960946
479,-853094
480,7356
481,-5478
482,17054
483,-1020
484,13638
485,-25767
486,11574
487,-971155
488,-25646
489,10131
490,-972027
491,-30385
492,-26428
493,15912
494,-979100
495,-29353
496,-22741
497,20601
498,-981164
499,-25115
500,20821
501,-981014
502,-25757
503,-23371
504,20751
505,-980894
506,-24203
507,-24975
508,21362
509,-981094
510,-25386
511,20471
512,-980513
513,-25797
514,-23882
515,20430
516,-980944
517,-25416
518,21642
519,-980142
520,-26488
521,-23552
522,20451
523,-980694
524,-25115
525,-23251
526,19609
527,-980534
528,-25736
529,19799
530,-980824
531,-24815
532,-23923
533,21272
534,-980934
535,-25516
536,20571
537,-980844
538,-26428
539,-23863
540,22665
541,-979611
542,-27049
543,-22921
544,19339
545,-980644
546,-24774
547,19408
548,-980974
549,-24874
550,-13904
551,17244
552,-974311
553,-41707
554,-10076
555,7516
556,-2242
557,777956
558,-968480
559,-810193
560,-2382
561,-449
562,6765
563,-6430
564,6094
565,-4156
566,-1300
567,3028
568,-5378
569,6975
570,-3534
571,-17291
572,20902
573,-4436
574,-4256
575,6635
576,-5318
577,6494
578,-2693
579,-4356
580,8498
581,-6069
582,9250
583,-469
584,-1420
585,9029
586,-2713
587,7326
588,944
589,-13253
590,11564
591,-5799
592,5502
593,-298
594,-7051
595,7266
596,-3855
597,-3004
598,7526
599,-7001
600,6345
601,-349
602,-11379
603,11834
604,-5678
605,12816
606,-973309
607,-27480
608,-22680
609,13307
610,-973680
611,-25787
612,13999
613,-973600
614,-26168
615,-23823
616,14810
617,-973650
618,-26758
619,-24374
620,12305
621,-977127
622,-28521
623,18136
624,-981525
625,-27289
626,-23302
627,22174
628,-982507
629,-25546
630,22224
631,-982407
632,-25065
633,-22961
634,21643
635,-982337
636,-25025
637,-23773
638,21453
639,-982157
640,-20767
641,17945
642,-981987
643,-25296
644,-22971
645,20942
646,-982247
647,-25426
648,21503
649,-982116
650,-25526
651,-23151
652,21833
653,-982237
654,-25606
655,-23071
656,21553
657,-982277
658,-16098
659,12576
660,-982246
661,-25616
662,-23753
663,22204
664,-982156
665,-24935
666,21803
667,-982276
668,-25246
669,-23161
