Iteration,Latency/Jitter (ns)
0,53474
1,35579
2,37885
3,37924
4,36912
5,36792
6,38235
7,37664
8,37152
9,41572
10,34217
11,42502
12,32484
13,48754
14,41391
15,22936
16,37403
17,37464
18,37303
19,36862
20,39076
21,35360
22,38735
23,37774
24,36963
25,38104
26,38085
27,36762
28,38094
29,37193
30,43064
31,33386
32,41240
33,33125
34,37283
35,37804
36,37484
37,36711
38,39056
39,36321
40,40509
41,39527
42,33516
43,37644
44,36261
45,39006
46,44828
47,29508
48,37874
49,37022
50,37864
51,36862
52,37333
53,38355
54,37363
55,36922
56,37874
57,37754
58,37273
59,37503
60,37443
61,38536
62,36651
63,38045
64,37383
65,37453
66,37603
67,51309
68,25772
69,35800
70,37904
71,36782
72,37454
73,38194
74,38425
75,36472
76,36572
77,38615
78,36612
79,37984
80,37624
81,37563
82,37534
83,37704
84,37994
85,36541
86,38314
87,36932
88,41521
89,34017
90,37122
91,37514
92,38084
93,46561
94,38916
95,28296
96,35950
97,38145
98,37313
99,37383
100,37313
101,38145
102,37854
103,37012
104,37763
105,37724
106,36722
107,39016
108,36753
109,36621
110,37854
111,38255
112,36973
113,37213
114,37853
115,37353
116,38625
117,37143
118,37173
119,37884
120,39958
121,21443
122,51109
123,37223
124,38295
125,38996
126,35710
127,36702
128,38465
129,36512
130,38134
131,38386
132,36962
133,37914
134,37684
135,55828
136,20411
137,36021
138,37683
139,42382
140,32815
141,38024
142,36983
143,37463
144,37102
145,39928
146,41701
147,40028
148,29108
149,37403
150,38064
151,36923
152,37824
153,37653
154,37263
155,36933
156,38475
157,37624
158,36661
159,38405
160,36641
161,37955
162,37854
163,39327
164,36661
165,35771
166,38715
167,37033
168,37423
169,38105
170,37112
171,38235
172,36822
173,40028
174,34438
175,38596
176,40999
177,34218
178,37293
179,37183
180,38024
181,37263
182,37193
183,38575
184,36922
185,37363
186,37603
187,37674
188,37403
189,37303
190,37914
191,38095
192,36712
193,37744
194,38104
195,37163
196,37684
197,37503
198,36722
199,38676
200,49897
201,89251
202,34517
203,38365
204,36131
205,37464
206,38074
207,37343
208,37383
209,37073
210,38325
211,36902
212,37654
213,37854
214,37944
215,36802
216,38225
217,42002
218,33856
219,36221
220,37583
221,39437
222,35901
223,37603
224,39758
225,50237
226,23417
227,37253
228,37163
229,37533
230,37173
231,37744
232,37734
233,37313
234,37183
235,37393
236,38525
237,37043
238,38725
239,38385
