Iteration,Latency/Jitter (ns)
0,12714
1,3186
2,3016
3,2976
4,2975
5,2975
6,2965
7,2965
8,2966
9,2966
10,8356
11,3016
12,2975
13,2975
14,2976
15,2966
16,2976
17,2976
18,2966
19,2976
20,2975
21,2965
22,2965
23,2966
24,2976
25,8156
26,2986
27,2966
28,2966
29,2966
30,2975
31,2955
32,2955
33,2965
34,2966
35,2956
36,2966
37,2966
38,2966
39,2965
40,3086
41,2975
42,2976
43,2966
44,2966
45,2976
46,2966
47,2965
48,2965
49,2965
50,2966
51,2966
52,2966
53,2966
54,8136
55,3046
56,2985
57,2965
58,2975
59,2976
60,2976
61,2966
62,2966
63,2966
64,2965
65,2965
66,2965
67,2975
68,2976
69,8145
70,3016
71,2976
72,2976
73,2975
74,2975
75,2975
76,2976
77,2976
78,2986
79,2976
80,2986
81,2975
82,2975
83,2976
84,8236
85,2996
86,2986
87,2976
88,2976
89,2975
90,2975
91,2995
92,2976
93,2976
94,2976
95,2976
96,2975
97,2975
98,8105
99,3065
100,2976
101,2966
102,2966
103,2966
104,2966
105,2976
106,2965
107,2965
108,2975
109,2975
110,2976
111,2976
112,2976
113,8106
114,3046
115,2986
116,2975
117,2975
118,2975
119,2986
120,2986
121,2976
122,2986
123,2986
124,2985
125,2975
126,2975
127,2976
128,8226
129,3016
130,2976
131,2986
132,2975
133,2975
134,2975
135,2975
136,2976
137,2976
138,2976
139,2966
140,2976
141,2975
142,2975
143,14468
144,3056
145,2975
146,2975
147,2965
148,2965
149,2976
150,2976
151,2976
152,2976
153,2966
154,8156
155,3066
156,2995
157,2975
158,2976
159,2976
160,2976
161,2966
162,2976
163,2965
164,2975
165,2965
166,2975
167,2976
168,2976
169,16491
170,3136
171,2976
172,2976
173,2965
174,2965
175,2965
176,2965
177,2966
178,2976
179,2976
180,2966
181,2966
182,8386
183,2985
184,2976
185,2976
186,2966
187,2976
188,2976
189,2976
190,2965
191,2975
192,2975
193,2965
194,2966
195,2976
196,7925
197,3085
198,2985
199,2966
200,2976
201,2976
202,2976
203,2976
204,2965
205,2975
206,2965
207,2975
208,2976
209,2976
210,2986
211,8065
212,3056
213,2976
214,2966
215,2965
216,2975
217,2975
218,2965
219,2976
220,2966
221,2966
222,2966
223,2966
224,2976
225,2985
226,8115
227,3015
228,2975
229,2985
230,2966
231,2976
232,2976
233,2986
234,2976
235,2985
236,2965
237,2975
238,2976
239,2986
240,2986
241,8166
242,2996
243,2966
244,2976
245,2975
246,2975
247,2965
248,2976
249,2976
250,2986
251,2976
252,2986
253,2965
254,2965
255,2965
256,3125
257,2996
258,2986
259,2986
260,2976
261,2975
262,2975
263,2985
264,2976
265,2986
266,2976
267,2986
268,2975
269,2985
270,8165
271,3035
272,2976
273,2966
274,2966
275,2966
276,2976
277,2965
278,2965
279,2965
280,2975
281,2966
282,2966
283,2966
284,2966
285,8176
286,3016
287,2986
288,2985
289,2975
290,2975
291,2976
