Iteration,Latency/Jitter (ns)
0,48354
1,35510
2,-49130
3,1596
4,-8473
5,4371
6,-4977
7,-1470
8,5122
9,-3614
10,28757
11,-24262
12,38074
13,-34232
14,48534
15,-50111
16,2758
17,-8393
18,3710
19,-4316
20,-1590
21,4301
22,-4776
23,4291
24,2607
25,-8252
26,10843
27,48734
28,-23521
29,-23091
30,-8844
31,4612
32,-5348
33,-1159
34,13548
35,-13613
36,4311
37,2157
38,36973
39,-36426
40,7096
41,-15767
42,29568
43,-23621
44,-108
45,14210
46,-15927
47,5573
48,1205
49,-1089
50,-2382
51,-5437
52,36732
53,-23432
54,-15256
55,13519
56,-7311
57,-358
58,13257
59,-14414
60,5754
61,453
62,-7341
63,4111
64,-6049
65,-17
66,14049
67,-15546
68,30199
69,-24303
70,38295
71,-20996
72,-18503
73,6385
74,-147
75,-7572
76,4141
77,-1680
78,-3645
79,3389
80,-5507
81,29899
82,-23552
83,37684
84,-24854
85,-14514
86,4391
87,2367
88,-7582
89,152350
90,-153987
91,554
92,13017
93,-15005
94,29869
95,-23632
96,37644
97,-23342
98,37654
99,-49090
100,2087
101,-8183
102,3951
103,-5358
104,524
105,12436
106,-14484
107,30069
108,-24032
109,38184
110,-23190
111,37453
112,-47366
113,-58
114,-7521
115,4331
116,-5808
117,323
118,13258
119,268438
120,-277810
121,2147
122,36331
123,-23382
124,37564
125,-48018
126,374
127,-7662
128,4241
129,-5848
130,343
131,13759
132,-15467
133,5534
134,1034
135,-7601
136,21774
137,37674
138,-23833
139,-23020
140,-8744
141,5082
142,-5748
143,-588
144,12326
145,-14384
146,8048
147,-649
148,36923
149,-16739
150,-23542
151,31873
152,-23992
153,-8744
154,4621
155,-4255
156,-488
157,13829
158,-15937
159,5313
160,1575
161,-7671
162,29207
163,29799
164,-23601
165,-23752
166,38305
167,-41436
168,-5808
169,-508
170,13518
171,-14404
172,5433
173,644
174,-7441
175,21433
176,38215
177,-23542
178,-23311
179,36922
180,-40684
181,-5547
182,263
183,17315
184,-19714
185,5904
186,574
187,-7772
188,4852
189,-1230
190,32394
191,-22910
192,36752
193,-40784
194,-6139
195,624
196,12556
197,-14624
198,5052
199,1596
200,-7502
201,4181
202,54956
203,-23862
204,-22890
205,37453
206,-40493
207,-6820
208,413
209,14380
210,-15857
211,5423
212,1185
213,-8353
214,5102
215,54606
216,-22860
217,-24013
218,38025
219,110180
220,-157594
221,253
222,13749
223,-15396
224,6124
225,-7
226,-7652
227,4722
228,54786
229,-22870
230,-23913
231,37574
232,-23602
233,-22870
234,-188
235,13859
236,-15727
237,5293
238,865
239,-8433
240,5072
241,55437
242,-23742
243,-23331
244,38084
245,-41545
246,-5538
247,-4505
248,17686
249,-15326
250,6104
251,423
252,-7771
253,4681
254,-5668
255,564
256,12977
257,37163
258,-22670
259,-23461
260,-1160
261,3350
262,-4967
263,4411
264,2798
265,-8233
266,22526
267,-23111
268,-57
269,13297
270,-14825
271,29478
272,-23842
273,37564
274,-25746
275,-13963
276,5222
277,2287
278,-9485
279,5483
280,-5627
281,9590
282,5574
283,-16749
284,30390
285,-24754
286,-548
287,12887
288,39557
289,-48759
290,2398
291,-7452
292,3019
293,-5488
294,-318
295,20532
296,-20506
297,29088
298,-23953
299,39016
300,-22439
301,36471
302,-51995
303,3941
304,-7913
305,3530
306,-4636
307,-629
308,12507
309,-13683
310,30470
311,-23982
312,38034
313,-35885
314,49967
315,-50101
316,2838
317,-8864
318,3870
319,-3734
320,-2121
321,4731
322,-588
323,28005
324,-25755
325,37753
326,-21798
327,36372
328,-50132
329,3439
330,-9415
331,4321
332,-4445
333,-2122
334,4642
335,-4716
336,29508
337,-23431
338,-7712
339,22425
340,37463
341,-49610
342,6385
343,-12371
344,6355
345,-659
346,-4255
347,734
348,-5026
349,4511
350,1626
351,-1510
352,4080
353,50237
354,-48678
355,2527
356,-5197
357,-798
358,-4266
359,-1179
360,4020
361,-5928
362,5443
363,2517
364,-8974
365,22936
366,38395
367,-21147
368,-33250
369,-2672
370,4121
371,-4195
372,-1390
373,4050
374,-4004
375,34587
376,-28010
377,-8854
378,23007
379,36982
380,-22530
381,-27949
382,-5197
383,4711
