Iteration,Latency/Jitter (ns)
0,-940939
1,-199613
2,-15216
3,27204
4,-14584
5,-36777
6,22204
7,-982026
8,-11899
9,-36486
10,31632
11,-982126
12,-27429
13,18007
14,-982107
15,-19604
16,-34472
17,25070
18,-981966
19,-18842
20,10833
21,-983068
22,-8553
23,-39542
24,22996
25,-982086
26,-12681
27,-36095
28,30149
29,-981476
30,-26907
31,26803
32,-5558
33,-38710
34,25000
35,-982126
36,-16488
37,20000
38,-7842
39,-34542
40,24499
41,-982076
42,-17981
43,16003
44,-3374
45,-22159
46,24529
47,-9425
48,-31557
49,23036
50,-982136
51,-21457
52,24208
53,-9184
54,-32769
55,24018
56,-982016
57,-12762
58,10563
59,-57
60,-25335
61,11344
62,-981946
63,-16919
64,-32208
65,26943
66,-982246
67,-19003
68,21994
69,-12932
70,-29303
71,21874
72,-976936
73,-19665
74,13878
75,-4024
76,-19264
77,27214
78,-13161
79,-34803
80,27094
81,-981846
82,-22329
83,25851
84,-8663
85,-35264
86,23307
87,-981054
88,-11018
89,13308
90,-8744
91,-21197
92,10603
93,-976355
94,-15657
95,-35053
96,22204
97,-976946
98,-21748
99,27444
100,-11949
101,-37588
102,21824
103,-980313
104,-16769
105,18648
106,-10096
107,-17109
108,22585
109,-9315
110,-35144
111,28096
112,-981776
113,-22028
114,-29052
115,26663
116,-982026
117,-34933
118,21453
119,-981705
120,-18673
121,17166
122,-1330
123,-22750
124,13448
125,-979211
126,-17640
127,-35254
128,26173
129,-982207
130,-20806
131,25330
132,-9765
133,-34212
134,25291
135,-978009
136,-23161
137,17105
138,-7662
139,-19023
140,10853
141,-982146
142,-13493
143,-34642
144,25441
145,-981996
146,-20536
147,25430
148,-10917
149,-22390
150,11615
151,-982106
152,-18923
153,19640
154,-8042
155,-7842
156,22094
157,-18381
158,-32609
159,22615
160,-981956
161,-15908
162,21083
163,-8974
164,-22209
165,12166
166,-981926
167,-17230
168,-32178
169,23988
170,-981926
171,-18613
172,11695
173,-982176
174,-13703
175,-34913
176,24770
177,-981896
178,-19875
179,24108
180,-9455
181,-24514
182,13879
183,-981926
184,-17700
185,24008
186,-1199
187,-31106
188,23727
189,-6058
190,-37438
191,23657
192,-981926
193,-17911
194,18217
195,-974923
196,-28681
197,-21949
198,6636
199,-982167
200,-4746
201,-40273
202,24590
203,-981796
204,-16959
205,10292
206,-981876
207,-3153
208,-46414
209,24138
210,-982026
211,-16168
212,15853
213,-1039
214,-24584
215,9841
216,-982477
