Iteration,Latency/Jitter (ns)
0,44657
1,38025
2,48284
3,35099
4,30971
5,28997
6,31292
7,6906
8,19129
9,26293
10,21884
11,21674
12,21173
13,27584
14,23347
15,21223
16,17086
17,23988
18,20672
19,22715
20,31954
21,23457
22,30480
23,22836
24,23948
25,21353
26,28567
27,33146
28,34998
29,28867
30,34959
31,28506
32,33956
33,32014
34,38976
35,32314
36,27976
37,31712
38,36592
39,36131
40,35900
41,37394
42,48484
43,35119
44,30100
45,36562
46,37884
47,37163
48,36913
49,38135
50,48204
51,25040
52,35059
53,39087
54,528358
55,37273
56,36672
57,37744
58,34819
59,37103
60,38225
61,36551
62,37283
63,38335
64,37674
65,39487
66,36221
67,37244
68,39667
69,34959
70,37694
71,37083
72,39217
73,36742
74,37444
75,37032
76,38064
77,37875
78,36792
79,40008
80,35841
81,36932
82,41311
83,39117
84,32514
85,37814
86,22576
87,20732
88,17736
89,26122
90,20382
91,20552
92,20241
93,27264
94,37504
95,46190
96,28176
97,21273
98,22565
99,22556
100,25320
101,22576
102,23377
103,25331
104,27695
105,29659
106,33315
107,27545
108,18658
109,25682
110,32203
111,34298
112,32314
113,36982
114,36442
115,39417
116,37193
117,39888
118,16134
119,16945
120,28547
121,30901
122,36151
123,35370
124,34668
125,34798
126,34868
127,46421
128,32844
129,35210
130,37534
131,164813
132,35620
133,32775
134,28576
135,57290
136,36321
137,39828
138,37253
139,35881
140,37313
141,39067
142,40309
143,37063
144,33396
145,37313
146,37383
147,35900
148,36021
149,36642
150,46070
151,28266
152,37814
153,38456
154,37163
155,37363
156,20031
157,56389
158,38636
159,36141
160,36642
161,36832
162,39077
163,36742
164,39598
165,36492
166,37273
167,37313
168,36902
169,42473
170,33676
171,36842
172,36973
173,37694
174,38275
175,39087
176,38034
177,35390
178,37684
179,37804
180,37213
181,37253
182,38675
183,23617
184,21493
185,22105
186,35670
187,25070
188,23117
189,20982
190,22335
191,24680
192,27555
193,21964
194,65506
195,27635
196,29518
197,28246
198,28226
199,29288
200,28497
201,24218
202,20993
203,28466
204,25441
205,27144
206,26173
207,21333
208,20632
209,16824
210,23948
211,20631
212,20682
213,26543
214,28978
215,31763
216,21914
217,22585
218,20211
219,27786
220,23186
221,23267
222,23427
223,25141
224,28606
225,22825
226,23488
227,20591
228,26734
229,25110
230,32354
231,30811
232,69233
233,36531
234,38907
235,37583
236,39457
237,39828
238,28497
239,37343
240,35801
241,37403
242,36933
243,37123
244,37683
245,42222
246,35670
247,35670
248,37944
249,37904
250,36823
251,37513
252,37544
253,37183
254,39648
255,37293
256,36712
257,37153
258,37464
259,38596
260,36742
261,37754
262,37514
263,39347
264,38485
265,34548
266,37654
267,36702
268,38205
269,37033
270,37814
271,48675
272,27014
273,37664
274,38726
275,36822
276,37033
277,38095
278,36732
279,37273
280,24138
281,23126
282,22956
283,22836
284,29579
285,26242
286,23017
287,23327
288,25040
289,28046
290,23787
291,23417
292,18427
293,29499
294,24168
295,27796
296,9150
297,24629
298,41451
299,33005
300,27505
301,27675
302,27686
303,25801
304,30440
305,34488
306,41941
307,99501
308,36912
309,32324
310,32394
311,35059
312,41010
313,35530
314,36341
315,35801
316,36131
317,32925
318,29698
319,36411
320,29929
321,30421
322,29228
323,27024
324,39778
325,19519
326,15974
327,27785
328,16324
329,35379
330,38867
331,42262
332,32464
333,36091
334,48855
335,27254
336,37333
337,37734
338,36792
339,38155
340,36251
341,36652
342,35861
343,38365
344,35430
345,37493
346,37905
347,38004
348,37865
349,40268
350,35038
351,36803
352,38355
353,40229
354,35169
355,36812
356,37674
357,37673
358,37414
359,37173
360,37594
361,39537
362,37323
363,35960
364,37444
365,38335
366,36862
367,38195
368,37384
369,40439
370,35109
371,37233
372,37374
373,38044
374,37754
375,40700
376,33646
377,24700
378,22816
379,21403
380,25090
381,28247
382,7246
383,11345
384,21253
385,20982
386,24319
387,23467
388,23287
389,22215
390,20471
391,25221
392,22946
393,24489
394,24810
395,37974
396,27494
397,31262
398,35209
399,35370
400,31973
401,36792
402,28366
403,28326
404,28516
405,23728
406,39738
407,28857
408,37193
409,33005
410,34989
411,34688
412,35019
413,30049
414,36632
415,29879
416,33046
417,18858
418,17496
419,13979
420,28808
421,24729
422,30170
423,33416
424,46471
425,41821
426,35499
427,108057
428,35981
429,37263
430,40289
431,32765
432,39126
433,32714
434,33556
435,34387
436,42493
437,38817
438,38775
439,53964
440,28507
441,33286
442,37163
443,40579
444,37925
445,34427
446,38015
447,20672
448,36492
449,37684
450,37243
451,101955
452,34768
453,39367
454,35189
455,37974
456,36983
457,37333
458,38616
459,38045
460,36692
461,37063
462,38225
463,37664
464,37433
465,36973
466,40559
467,35440
468,37584
469,40559
470,37063
471,34618
472,37263
473,12266
474,20511
475,22285
476,21113
477,20501
478,21684
479,23838
480,19259
481,28096
482,21343
483,23787
484,21614
485,28146
486,21624
487,21503
488,26784
489,935304
490,37223
491,25461
492,19530
493,29548
494,23858
495,29839
496,24249
497,24168
498,29569
499,31252
500,35299
501,36381
502,36462
503,78511
504,31211
505,31633
506,27815
507,34919
508,9922
509,17476
510,25350
511,31382
512,30851
513,33997
514,26743
515,25491
516,26503
517,45018
518,42122
519,34097
520,28697
521,23026
522,34177
523,41661
524,34087
525,36943
526,37243
527,36822
528,38506
529,45679
530,29038
531,38135
532,42613
533,29419
534,36862
535,36041
536,39447
537,405056
538,34919
539,37253
540,37984
541,37132
542,38276
543,37263
544,37473
545,37123
546,38346
547,37363
548,37714
549,40880
550,34498
551,37423
552,37554
553,37564
554,40028
555,39267
556,33597
557,37082
558,37544
559,37644
560,37784
561,38556
562,45438
563,28957
564,37484
565,37363
566,37674
567,37243
568,37894
569,32123
570,21353
571,20562
572,22876
573,27775
574,22566
575,20091
576,18928
577,28216
578,21614
579,20572
580,23026
581,26613
582,22065
583,22766
584,21393
585,642132
586,27535
587,25371
588,25350
589,23077
590,27715
591,31873
592,31563
593,33496
594,28045
595,28075
596,29659
597,29328
598,29529
599,49586
600,36232
601,26152
602,29769
603,33917
604,33977
605,27224
606,26894
607,26192
608,23928
609,31252
610,30380
611,42143
612,36031
613,33736
614,34699
615,27434
616,28046
617,68973
618,35580
619,37203
620,40940
621,34939
622,37233
623,589853
624,33727
625,37984
626,36231
627,38515
628,36422
629,36852
630,36271
631,37934
632,36231
633,36702
634,37604
635,38365
636,37454
637,36752
638,38556
639,40319
640,34878
641,39567
642,38395
643,34799
644,36742
645,37965
646,37643
647,37754
648,36932
649,46090
650,31232
651,36482
652,37423
653,37343
654,37393
655,37253
656,37273
657,38255
658,37925
659,38435
660,36071
661,37844
662,38165
663,37163
664,37714
665,32313
666,22806
667,21373
668,20442
669,28416
670,14060
671,674062
672,9311
673,18658
674,24559
675,20041
676,20391
677,21443
678,26042
679,20441
680,21323
681,18899
682,27735
683,24429
684,53534
685,25190
686,14541
687,24850
688,22645
689,45278
690,31502
691,34187
692,26473
693,25882
694,25862
695,25841
696,37143
697,22666
698,36181
699,38726
700,179090
701,29869
702,45879
703,34598
704,24690
705,31663
706,34768
707,39698
708,35289
709,36402
710,36431
711,36421
712,19360
713,20461
714,20682
715,31442
716,62149
717,73782
718,37072
719,69394
720,21854
721,29088
722,36832
723,36432
724,37724
725,38195
726,36942
727,49086
728,26342
729,37524
730,37373
731,37554
732,38295
733,39618
734,35229
735,39217
736,36943
737,39507
738,39287
739,32875
740,37925
741,37022
742,37885
743,37423
744,37504
745,37413
746,42423
747,34498
748,36021
749,36752
750,38716
751,40219
752,34769
753,37253
754,42924
755,33486
756,36712
757,37183
758,39167
759,36111
760,36812
761,33095
762,24810
763,23628
764,18397
765,27184
766,32134
767,7858
768,15482
769,20882
770,21614
771,21423
772,22656
773,20692
774,22916
775,17696
776,26553
777,23137
778,24208
779,25410
780,25311
781,36361
782,31552
783,34538
784,35450
785,37383
786,28507
787,28767
788,29469
789,30260
790,28166
791,30550
792,34939
793,38055
794,34979
795,36461
796,35721
797,36421
798,37344
799,36471
800,48785
801,16965
802,14060
803,25390
804,31121
805,33566
806,31502
807,27454
808,27535
809,27445
810,17205
811,39688
812,45358
813,26262
814,38646
815,36923
816,37824
817,36391
818,38445
819,37554
820,37513
821,36292
822,36922
823,36742
824,38435
825,34328
826,37413
827,37965
828,37213
829,38054
830,43906
831,36271
832,33176
833,36662
834,37754
835,37023
836,38215
837,37964
838,37092
839,35530
840,39498
841,37744
842,38395
843,37985
844,36371
845,37414
846,37042
847,39176
848,36161
849,39488
850,35730
851,37975
852,38134
853,37324
854,36993
855,37503
856,37474
857,39978
858,13328
859,21373
860,21043
861,25922
862,21343
863,20872
864,20111
865,26313
866,21383
867,20892
868,22446
869,26042
870,21052
871,30320
872,21233
873,25261
874,29328
875,25461
876,25391
877,26523
878,30079
879,31111
880,35700
881,34699
882,37453
883,35290
884,35920
885,36773
886,37764
887,39627
888,34579
889,37233
890,36642
891,29829
892,45649
893,15502
894,27735
895,27545
896,29689
897,33075
898,30781
899,27255
900,26943
901,27014
902,26273
903,41591
904,28707
905,31442
906,43214
907,35700
908,35350
909,38656
910,36962
911,37614
912,37193
913,37063
914,40570
915,36251
916,37013
917,37193
918,37243
919,37614
920,43685
921,36231
922,32955
923,32794
924,37805
925,20141
926,55367
927,37263
928,37133
929,37945
930,37964
931,37133
932,40048
933,35631
934,37082
935,37573
936,37734
937,39257
938,35881
939,37604
940,38215
941,36261
942,37984
943,39397
944,37043
945,36241
946,37464
947,37974
948,39908
949,38085
950,35500
951,36261
952,37784
953,37564
954,37704
955,22205
956,21924
957,23107
