Iteration,Latency/Jitter (ns)
0,14968
1,4749
2,4509
3,4508
4,4488
5,11472
6,4529
7,4458
8,4458
9,4459
10,4458
11,4458
12,4469
13,4458
14,4468
15,4608
16,4479
17,4469
18,4448
19,4459
20,4449
21,4438
22,4459
23,4459
24,11041
25,4528
26,4458
27,4479
28,4449
29,4458
30,4559
31,22663
32,4729
33,4478
34,4489
35,4458
36,4458
37,4469
38,4459
39,4458
40,4469
41,11261
42,4618
43,4488
44,4489
45,4489
46,4498
47,4488
48,4489
49,4488
50,4488
51,10941
52,4539
53,4499
54,4458
55,4458
56,4469
57,4458
58,4468
59,4449
60,10340
61,4589
62,4468
63,4439
64,4448
65,4458
66,4459
67,4448
68,4448
69,4449
70,12984
71,4538
72,4469
73,4459
74,4458
75,4459
76,4499
77,4458
78,4448
79,10861
80,4619
81,4468
82,4478
83,4459
84,4468
85,4458
86,4459
87,4458
88,4458
89,11021
90,4499
91,4449
92,4448
93,4449
94,4448
95,4448
96,4459
97,4448
98,4438
99,4809
100,4458
101,4448
102,4439
103,4458
104,4448
105,4449
106,11211
107,4529
108,4459
109,4468
110,4449
111,4448
112,4448
113,4459
114,4458
115,4448
116,4639
117,4479
118,4458
119,4468
120,4459
121,4458
122,4448
123,4469
124,4458
125,10930
126,4548
127,4469
128,4469
129,4458
130,4459
131,4458
132,4448
133,4459
134,4448
135,10890
136,4509
137,4479
138,4458
139,4468
140,4459
141,4448
142,4458
143,4449
144,10680
145,4598
146,4468
147,4449
148,4448
149,4458
150,4449
151,4448
152,4448
153,4449
154,10991
155,4528
156,4468
157,4449
158,4448
159,4458
160,4459
161,4448
162,4448
163,4449
164,4678
165,4448
166,4459
167,4458
168,4468
169,4468
170,4469
171,4458
172,4498
173,10771
174,4599
175,4458
176,4458
177,4449
178,4448
179,4459
180,4459
181,4448
182,4439
183,23645
184,4659
185,4468
186,4458
187,4449
188,4448
189,4438
190,10881
191,4569
192,4478
193,4448
194,4449
195,4448
196,4448
197,4459
198,4458
199,4448
200,11011
201,4519
202,4459
203,4448
204,4459
205,4458
206,4458
207,4469
208,4499
209,4458
210,4658
211,4498
212,4469
213,4459
214,4468
215,4459
216,4469
217,4468
218,4448
219,10881
220,4529
221,4478
222,4458
223,4459
224,4448
225,4458
226,4459
227,4458
228,4468
229,10911
230,4469
231,4458
232,4448
233,4449
234,4458
235,4438
236,4459
237,4458
238,10730
239,4559
240,4469
241,4458
242,4448
243,4469
244,4438
245,4508
246,4449
247,4458
248,20168
249,4549
250,4479
251,4438
