Iteration,Latency/Jitter (ns)
0,36091
1,4943
2,-4256
3,-2040
4,233
5,-2281
6,2277
7,-7281
8,12807
9,-6259
10,2608
11,-1790
12,-7381
13,12967
14,-5487
15,-6670
16,5944
17,-4796
18,-1971
19,12277
20,-5989
21,7627
22,-4405
23,-1279
24,15011
25,-24714
26,13589
27,-2101
28,-12631
29,7096
30,-1530
31,3189
32,3279
33,-8232
34,-2822
35,12646
36,-10837
37,3399
38,-4405
39,-729
40,4572
41,4612
42,-4035
43,1255
44,-227
45,3409
46,254
47,3018
48,-2602
49,-5487
50,4000
51,-4595
52,-1270
53,3901
54,-4155
55,3649
56,2448
57,-8573
58,5643
59,-5748
60,-998
61,14550
62,33336
63,-29042
64,-15025
65,3599
66,2969
67,-8613
68,4210
69,-3653
70,-2562
71,15552
72,-15316
73,29689
74,-20225
75,-6790
76,5623
77,50438
78,-50221
79,3199
80,-8754
81,4592
82,-3554
83,-3494
84,16003
85,-16087
86,4211
87,2097
88,38555
89,-34912
90,48544
91,-23211
92,-23692
93,-3193
94,-1750
95,54395
96,-22810
97,-24052
98,37995
99,-23191
100,-15186
101,-10667
102,15101
103,-17480
104,14250
105,-8182
106,1275
107,143
108,30010
109,-15937
110,-7511
111,-11609
112,8408
113,605
114,-7451
115,15742
116,-20566
117,16725
118,-8664
119,2658
120,6335
121,-4766
122,5143
123,-2712
124,-15166
125,10904
126,-5197
127,2046
128,7117
129,-8724
130,10774
131,-9666
132,3119
133,-778
134,684
135,-7391
136,11344
137,-9615
138,8910
139,-7061
140,-1469
141,17546
142,-17070
143,10523
144,-6299
145,9681
146,-9304
147,2247
148,-10166
149,14881
150,-13623
151,2868
152,2087
153,-7962
154,22876
155,36742
156,-22148
157,-24213
158,38115
159,-41455
160,-5377
161,-2192
162,14781
163,-14124
164,4812
165,2999
166,-10316
167,5884
168,54866
169,-23632
170,-23230
171,37453
172,-23662
173,-18602
174,-5738
175,14290
176,-14975
177,4261
178,3349
179,-9525
180,5143
181,55668
182,-62365
183,8249
184,45769
185,-24293
186,-24062
187,-1290
188,14380
189,-14063
190,4882
191,2177
192,-9345
193,5423
194,-5517
195,-1800
196,15552
197,-16428
198,31141
199,-24232
200,8979
201,2398
202,-16538
203,13899
204,-4786
205,-448
206,-678
207,3930
208,4571
209,-7270
210,-9776
211,13729
212,2428
213,4541
214,-11318
215,-1911
216,18889
217,-7231
218,5163
219,-14655
220,604
221,-10296
222,15572
223,-14915
224,8338
225,-3613
226,8829
227,-9405
228,1546
229,6936
230,11856
231,-19945
232,14260
233,-15737
234,-3313
235,18307
236,-16769
237,11946
238,-8243
239,12236
240,-11819
241,614
242,11084
243,-7251
244,124
245,-2502
246,3119
247,4421
248,2187
249,-2632
250,20662
251,5894
252,-40363
253,5904
254,57832
255,-27169
256,-23421
257,-15446
258,11715
259,-5026
260,36972
261,-23651
262,-14234
263,5693
264,-77
265,267096
266,-264785
267,53914
268,-67143
269,15632
270,-16117
271,30851
272,-22470
273,37283
274,-24563
275,37934
276,-47716
277,283
278,-7471
279,4571
280,-5056
281,11444
282,3179
283,-17900
284,6024
285,1886
286,10002
287,5373
288,36061
289,-49330
290,3911
291,37283
292,-42427
293,-3985
294,-2462
295,18749
296,-19765
297,5934
298,1276
299,-979
300,1436
301,604
302,1085
303,6285
304,-14004
305,10984
306,-10978
307,3449
308,8640
309,-4947
310,955
311,-6249
312,7327
313,13308
314,-15055
315,30310
316,-25205
317,-4465
318,-5959
319,3
320,354
321,9250
322,-8583
323,624
324,6225
325,-8483
326,24950
327,-26928
328,10102
329,3349
330,-12631
331,3740
332,-768
333,2407
334,-4235
335,4983
336,6064
337,-5758
338,2017
339,15312
340,-16218
341,3630
342,885
343,-7081
344,11575
345,6535
346,-3804
347,-5668
348,-5267
349,4993
350,6765
351,36803
352,-11499
353,-33841
354,-15546
355,9651
356,-4496
357,-1009
358,3269
359,-3433
360,2908
361,3740
362,-7471
363,2989
364,53173
365,-52456
366,55147
367,-24433
368,-22580
369,37414
370,-43289
371,-3774
372,-1550
373,4622
374,-5368
375,4352
376,-118
377,-5677
378,4691
379,-4866
380,-1219
381,21824
382,-22149
383,30080
384,-23291
385,37543
386,-35584
387,-3924
388,3519
389,2648
390,-7922
391,3290
392,-4045
393,-1891
394,16204
395,-16027
396,29759
397,-23382
398,38386
399,-35224
400,-638
401,4531
402,-2081
403,-9494
404,7036
405,2908
406,-11679
407,15382
408,-12340
409,1716
410,-1280
411,5744
412,5744
413,-12821
414,15562
415,-15546
416,9120
417,3339
418,-12180
419,1436
420,7226
421,-1860
422,1195
423,-4796
424,4461
425,3871
426,-11018
427,-1731
428,8099
429,-9074
430,8969
431,-7531
432,-1720
433,15712
434,-10106
435,8549
436,-9825
437,2547
438,-137
439,2578
440,-759
441,-528
442,-6459
443,8559
444,-8723
445,15121
446,-728
447,-13613
448,6816
449,-989
450,-5958
451,3429
452,-4215
453,37303
454,-24293
455,38165
456,-42938
457,-3533
458,37744
459,-25956
460,-14114
461,6606
462,403
463,-8052
464,3860
465,-5036
466,-1720
467,15882
468,-15756
469,29829
470,-23201
471,37964
472,-35303
473,49296
474,-49771
475,1977
476,-7892
477,3910
478,-4556
479,-1399
480,15672
481,-15827
482,4031
483,2598
484,38265
485,-23732
486,37183
487,-49791
488,3119
489,-8684
490,5083
491,-5417
492,-1049
493,14921
494,-15597
495,30250
496,-23741
497,-8794
498,22996
499,37824
500,-44831
501,-8203
502,-2912
503,21914
504,-14534
505,-10738
506,15823
507,-13793
508,9040
509,-5417
510,4080
511,-4064
512,-3253
513,9160
514,-5047
515,2297
516,-4245
517,-4024
518,11925
519,-808
520,-10317
521,13108
522,-7081
523,-7170
524,4822
525,-899
526,10884
527,-8003
528,1065
529,-1339
530,-5147
531,-1670
532,13849
533,-5898
534,4331
535,-4916
536,1746
537,14951
538,-16989
539,9050
540,-6730
541,1686
542,-6499
543,-3564
544,12877
545,4051
546,-15346
547,11996
548,-5257
549,-9866
550,7176
551,-5667
552,-789
553,15532
554,-16237
555,4942
556,1275
557,37524
558,-33370
559,48354
560,-23622
561,-28731
562,1236
563,-1130
564,2428
565,-9395
566,23768
567,36993
568,-23592
569,-23982
570,38225
571,-44160
572,10562
573,34849
574,-44922
575,-4545
576,3429
577,2398
578,-829
579,22596
580,30670
581,-23291
582,-24663
583,38325
584,-42347
585,-4265
586,38626
587,-36065
588,-5057
589,4582
590,2898
591,-8643
592,3409
593,-2371
594,-2963
595,15502
596,-15566
597,30200
598,-23712
599,38135
600,-29773
601,-5528
602,2628
603,-3624
604,2227
605,-4225
606,4372
607,12887
608,-8383
609,-4025
610,2267
611,-5988
612,885
613,-4015
614,4041
615,-869
616,6505
617,-2241
618,-2382
619,3079
620,-10637
621,14250
622,-9114
623,6425
624,-8964
625,5423
626,-4506
627,-4044
628,7166
629,1957
630,-9034
631,25571
632,-25986
633,2778
634,12066
635,-14405
636,8730
637,-498
638,2107
639,5403
640,-6710
641,-8733
642,4702
643,3930
644,-2552
645,2888
646,-4896
647,7026
648,-4826
649,334
650,1616
651,-8523
652,23006
653,38065
654,-60261
655,12807
656,36782
657,-43549
658,-3634
659,-167
660,3800
661,-3203
662,3439
663,2638
664,-9074
665,3369
666,55939
667,-61072
668,15843
669,-16098
670,29699
671,-23461
672,37994
673,-35123
674,48905
675,-48849
676,2378
677,-8644
678,3209
679,-3644
680,-979
681,15903
682,-15797
683,29329
684,-23231
685,37213
686,-34833
687,51530
688,-50582
689,3
690,-6950
691,3119
692,-4185
693,-1470
694,5724
695,-4576
696,28306
697,-22720
698,-8162
699,22425
700,-19133
701,5653
702,815
703,-7852
704,23107
705,-23411
706,12065
707,1556
708,-4746
709,-3614
710,-2922
711,3229
712,-2993
713,5904
714,5153
715,-12341
716,7958
717,-538
718,2037
719,-11849
720,10633
721,-1570
722,7176
723,-8082
724,3409
725,-7331
726,5664
727,5002
728,-4996
729,1736
730,5373
731,-11078
732,-668
733,8409
734,-6880
735,8138
736,-5678
737,-1940
738,-1130
739,-4926
740,10964
741,-7431
742,6334
743,354
744,-8854
745,11986
746,-2281
747,-11148
748,13277
749,-6318
750,-5438
751,2047
752,57521
753,-62915
754,16494
755,-15997
756,34037
757,-27118
758,36521
759,-33660
760,-5588
761,3971
762,494
763,-4376
764,2829
765,-4746
766,-1961
767,15993
768,-16428
769,5603
770,3169
771,36442
772,-39391
773,52992
774,-49620
775,3810
776,-9315
777,4291
778,-4575
779,-1360
780,14220
781,-15246
782,3740
783,4391
784,37544
785,-23612
786,37394
787,-24033
788,-22870
789,37825
790,-42818
791,5143
792,-9335
793,2688
794,-4395
795,9240
796,-167
797,-7281
798,19399
799,37794
800,-47997
801,-448
802,-6018
803,3289
804,-1620
805,-6760
806,5213
807,2698
808,-4907
809,1406
810,-5928
811,4962
812,4492
813,-7922
814,11494
815,-11278
816,7237
817,-5157
818,10833
819,-2041
820,-2442
821,2368
822,-6449
823,-5578
824,5293
825,5043
826,-10868
827,12757
828,-4566
829,-247
830,3008
831,11154
832,-6759
833,-10808
834,11214
835,-10156
836,-5858
837,7217
838,4902
839,-11088
840,11034
841,-3053
842,-3003
843,2037
844,-6890
845,11154
846,-4616
847,1325
848,-2632
849,675
850,19840
851,-24143
852,-648
853,14170
854,-15216
855,3970
856,9341
857,-14975
858,23898
859,37113
860,-23432
861,-24022
862,37383
863,-43839
864,-3384
865,-307
866,4852
867,-5558
868,2258
869,3820
870,-7652
871,22385
872,38656
873,-23662
874,-23561
875,36973
876,-43209
877,-3994
878,39156
879,-25274
880,-14925
881,2297
882,4151
883,-9085
884,22476
885,39457
886,-62425
887,15052
888,-15857
889,30149
890,-24342
891,38265
892,-25335
893,-12932
894,2859
895,2548
896,-9045
897,3029
898,-3975
899,-437
900,10663
901,-949
902,8088
903,-7581
904,-6199
905,6485
906,-1720
907,4842
908,-7591
909,5653
910,-3964
911,-8443
912,1225
913,11374
914,-7130
915,1486
916,6224
917,-4585
918,9070
919,-11419
920,9832
921,-4827
922,-427
923,-2382
924,3630
925,-8543
926,8018
927,-6690
928,494
929,1436
930,-1140
931,134
932,4160
933,5914
934,-6018
935,604
936,-3994
937,-3574
938,1395
939,16194
940,-15757
941,9451
942,-4806
943,-2662
944,824
945,1776
946,-6268
947,6615
948,-3353
949,11023
950,-11498
951,-2111
952,4110
953,-3754
954,4522
955,2097
956,-8904
957,3820
958,56679
959,-62424
960,15933
961,38135
962,-23752
963,-24193
964,37624
965,-34642
966,-4295
967,2868
968,4391
969,-9324
970,3930
971,-4285
972,-1971
973,25120
974,-20515
975,2187
976,33
977,38796
978,-25465
979,39647
980,-50342
981,-2271
982,-3133
983,2869
984,-2502
985,-3444
986,21253
987,-20145
988,4031
989,1886
990,36722
991,-36786
992,51470
993,-51664
994,12316
995,-14615
996,2658
997,-5477
998,-2472
999,16855
1000,524
1001,-10788
1002,83
1003,-438
1004,5644
1005,965
1006,5052
1007,-11328
1008,-4335
1009,7156
1010,-1610
1011,-718
1012,-78
1013,-3613
1014,10743
1015,-5748
1016,1927
1017,433
1018,-8112
1019,13739
1020,-12200
1021,6074
1022,-2812
1023,-6319
1024,624
1025,18949
1026,-17520
1027,11965
1028,-4626
1029,-1830
1030,-1921
1031,374
1032,9601
1033,-7822
1034,-2502
1035,4502
1036,-7111
1037,-1460
1038,12397
1039,-10307
1040,10794
1041,-3684
1042,-1140
1043,-2892
1044,-6009
1045,1516
1046,8990
1047,-2943
1048,4572
1049,-8012
1050,40239
1051,-35905
1052,48444
1053,-50111
1054,3399
1055,-7461
1056,3640
1057,-5477
1058,-1460
1059,13318
1060,-13653
1061,10853
1062,-2722
1063,37363
1064,-35253
1065,48855
1066,-50642
1067,-3925
1068,-1179
1069,4020
1070,-3774
1071,-2081
1072,3570
1073,-4185
1074,3680
1075,2998
1076,38426
1077,-22951
1078,36733
1079,-23452
1080,-23581
1081,37594
1082,-42608
1083,-3784
1084,-1119
1085,3109
1086,-4395
1087,4080
1088,2398
1089,-9205
1090,24419
1091,37654
1092,-23942
1093,-23832
1094,38105
1095,-42968
1096,-3744
1097,73
1098,2257
1099,-4355
1100,3519
1101,624
1102,-3393
1103,3570
1104,5172
1105,5383
1106,-8883
1107,-7401
1108,32594
1109,-31166
1110,18959
1111,-9064
1112,-1590
1113,-2592
1114,3028
1115,31272
1116,-35834
1117,5363
1118,4401
1119,-1199
1120,-11760
1121,8499
1122,-8593
1123,4892
1124,6295
1125,-13162
1126,11906
1127,-1911
1128,16554
1129,-3003
1130,-16077
1131,-4736
1132,4361
1133,-5086
1134,8809
1135,334
1136,-4305
1137,-2933
1138,-3664
1139,12687
1140,-1961
1141,-3614
1142,14801
1143,-12761
1144,-8713
1145,12967
1146,-5788
1147,3770
1148,-1730
1149,-6880
1150,11544
1151,44557
1152,-24172
1153,-31296
1154,45138
