Iteration,Latency/Jitter (ns)
0,-951820
1,-214881
2,-5307
3,-39462
4,17446
5,-979561
6,-26547
7,-24503
8,23517
9,-981224
10,-27750
11,2909
12,12606
13,-14334
14,4270
15,7046
16,-4195
17,-759
18,-3544
19,-4586
20,6235
21,-5698
22,4021
23,-1310
24,-4044
25,6074
26,-6219
27,506066
28,-974492
29,-537630
30,-2712
31,14821
32,-4385
33,-1701
34,6696
35,-8744
36,7216
37,-949
38,-1750
39,3029
40,-3303
41,-4115
42,9901
43,-4375
44,15322
45,-10336
46,5723
47,-1289
48,-4716
49,11695
50,4582
51,63
52,13608
53,-21328
54,7507
55,-4857
56,-5147
57,9140
58,-4445
59,3599
60,13
61,-10918
62,35119
63,-30394
64,13258
65,-972428
66,-27258
67,-22670
68,12817
69,-972758
70,-26537
71,12716
72,-973911
73,-29593
74,-26868
75,16193
76,-979161
77,-15967
78,-33550
79,18518
80,-981265
81,-25034
82,20862
83,-981375
84,450852
85,-975664
86,-523623
87,19750
88,-980804
89,-22259
90,-23000
91,17486
92,-981225
93,-22880
94,17977
95,-981215
96,-25505
97,-20325
98,18007
99,-981245
100,-25334
101,20351
102,-980984
103,-24994
104,-23612
105,20412
106,-981045
107,-24923
108,-24263
109,20772
110,-981165
111,-25385
112,20461
113,-980884
114,-25204
115,-22860
116,19840
117,-981194
118,-24694
119,19961
120,-981145
121,-24433
122,-23461
123,20311
124,-980823
125,-25676
126,-23431
127,19560
128,-981024
129,-24193
130,19610
131,-981154
132,-35865
133,-2892
134,-3083
135,8218
136,-7821
137,6295
138,-4396
139,2388
140,3159
141,-10888
142,8810
143,-1069
144,-3734
145,5313
146,-4776
147,-2031
148,10232
149,-10747
150,7267
151,-3163
152,-3734
153,7978
154,-9926
155,7587
156,93
157,-2162
158,6115
159,-5077
160,5744
161,-117
162,-3413
163,9340
164,-3283
165,5263
166,2968
167,-6389
168,9251
169,-4606
170,4512
171,-468
172,-6489
173,7627
174,-2061
175,-6810
176,7728
177,-4385
178,4822
179,-959
180,-9134
181,14951
182,-7060
183,39447
184,-28651
185,-23241
186,13539
187,-972248
188,-28090
189,13218
190,-972778
191,-26217
192,-21838
193,19169
194,-975784
195,-18331
196,-46415
197,17987
198,-981285
199,-25705
200,21403
201,-981184
202,-25736
203,-23381
204,21253
205,-981365
206,-14926
207,17316
208,-974813
209,-36887
210,-24273
211,19660
212,-980683
213,-25064
214,-23992
215,20962
216,-981265
217,-26146
218,20632
219,-980914
220,-24884
221,-23511
222,20992
223,-980593
224,-26367
225,-21708
226,19250
227,-980984
228,-26247
229,20161
230,-980914
231,-24914
232,-23311
233,19751
234,-980904
235,-25515
236,21413
237,-981134
238,-24974
239,-24103
240,21283
241,-981004
242,-27909
243,21573
244,-981946
245,-25585
246,-22880
247,20642
248,-982056
249,-24263
250,-13362
251,-2161
252,4351
253,-5758
254,5273
255,-2862
256,-2261
257,5142
258,-7421
259,7688
260,-3073
261,4742
262,-1700
263,-5728
264,-498
265,2868
266,-1621
267,12206
268,-7851
269,-1530
270,7447
271,-8032
272,12015
273,-728
274,6475
275,4802
276,-10957
277,6395
278,33
279,5483
280,-5648
281,-4115
282,10072
283,4151
284,-19594
285,9511
286,-3123
287,3449
288,-538
289,-7230
290,8619
291,-2101
292,-10116
293,10913
294,-3755
295,3670
296,554
297,-9485
298,16945
299,-12271
300,15402
301,-971617
302,-29112
303,-23862
304,13788
305,-973781
306,-27369
307,-22039
308,13849
309,-973810
310,-26808
311,22095
312,-973841
313,-33069
314,-5828
315,17276
316,-27920
