Iteration,Latency/Jitter (ns)
0,78411
1,27104
2,35870
3,36932
4,37474
5,37563
6,37304
7,38335
8,37353
9,38345
10,37294
11,37273
12,39668
13,35950
14,37384
15,37714
16,40218
17,38516
18,34708
19,36031
20,37474
21,38856
22,32083
23,44036
24,36041
25,37243
26,40750
27,37714
28,34177
29,37414
30,37333
31,37744
32,38686
33,39457
34,595274
35,27264
36,36952
37,37654
38,40159
39,37734
40,34568
41,37013
42,37934
43,37855
44,37293
45,37604
46,37593
47,37543
48,37965
49,36882
50,37233
51,37524
52,56640
53,21263
54,37704
55,34989
56,38776
57,36301
58,37624
59,37704
60,46230
61,28647
62,37864
63,37374
64,43134
65,37373
66,32094
67,36993
68,37654
69,38134
70,37053
71,37694
72,655738
73,29729
74,37794
75,39858
76,38275
77,34348
78,37153
79,38395
80,36883
81,37784
82,37373
83,37724
84,37564
85,37614
86,36752
87,38265
88,37334
89,37473
90,37243
91,37594
92,60136
93,15953
94,36753
95,35690
96,36401
97,48283
98,26744
99,37413
100,53584
101,31072
102,37313
103,34047
104,36452
105,37854
106,38225
107,37524
108,36792
109,38295
110,37323
111,37613
112,37814
113,38465
114,35901
115,37483
116,37023
117,39848
118,36542
119,39507
120,220338
121,34187
122,36972
123,40299
124,37904
125,33997
126,37904
127,37353
128,37494
129,37293
130,37955
131,37513
132,45790
133,28977
134,37945
135,37223
136,37874
137,37464
138,37513
139,37484
140,37503
141,37805
142,37604
143,37163
144,37924
145,37584
146,22355
147,52822
148,37454
149,37504
150,40749
151,34448
152,19560
153,55598
154,37393
155,37544
156,37403
157,37323
158,37493
159,37244
160,37593
161,37734
162,37604
163,37083
164,38035
165,36782
166,38676
167,36862
168,37714
169,37694
170,37123
171,38245
172,46551
173,29148
174,36812
175,37474
176,40649
177,37704
178,34208
179,37483
180,38325
181,36531
182,37474
183,37463
184,38124
185,37684
186,37734
187,37293
188,37053
189,37724
190,37604
191,37654
192,41331
193,34498
194,36732
195,37484
196,37102
197,38155
198,37805
199,35469
200,39778
201,37253
202,38085
203,40049
204,38154
205,33927
206,36943
207,38105
208,37604
209,37734
210,36712
211,37433
212,37704
213,39097
214,36271
215,38015
216,38054
217,36561
218,37905
219,37614
220,37062
221,37975
222,36932
223,37834
224,37463
225,46721
226,30080
227,37834
228,49056
229,29658
230,42583
231,29178
232,35950
233,37844
234,36972
235,37654
236,37003
237,37714
238,37303
239,37424
240,38105
241,37583
242,37935
243,37233
244,37073
245,37694
246,37764
247,37223
248,37914
249,37634
250,38005
251,36822
252,40139
253,37904
254,35179
255,39096
256,38175
257,38415
258,33617
259,38114
260,36932
261,37644
262,38315
263,37353
264,37334
265,38034
266,37053
267,38095
268,37954
269,36783
270,37132
271,37695
272,37834
273,39487
274,35189
275,37674
276,37925
277,37513
278,37473
279,24760
280,52552
281,35660
282,37253
283,40840
284,38355
285,33466
286,36843
287,38425
288,37534
289,37233
290,37273
291,37954
292,37093
293,37744
294,38876
295,36431
296,38626
297,36502
298,36752
299,38576
300,37393
301,37393
302,43866
303,55608
304,20451
305,43535
306,24069
307,37233
308,37754
309,41521
310,37303
311,35440
312,36402
313,36852
314,38946
315,36252
316,37964
317,37524
318,37474
319,37483
320,38826
321,43425
322,416798
323,18057
324,37193
325,37984
326,40219
327,37865
328,34237
329,37664
330,36812
331,38235
332,36983
333,37774
334,37935
335,37253
336,37954
337,37584
338,37414
339,42994
340,31782
341,43115
342,33065
343,36271
344,37364
345,37934
346,37354
347,36752
348,37754
349,26092
350,49907
351,36993
352,40950
353,38906
354,64715
355,66528
356,38045
357,37514
358,37102
359,37714
360,37673
361,37874
362,37373
363,36913
364,37624
365,38184
366,36702
367,36922
368,39748
369,41992
370,36933
371,37313
372,36682
373,38145
374,19890
375,54486
376,39457
377,36833
378,40218
379,837379
380,28948
381,36932
382,36913
383,41000
384,37464
385,34738
386,37654
387,37373
388,37364
389,37413
390,38135
391,36462
392,38335
393,36872
394,38676
395,37053
396,36963
397,38014
398,37514
399,38265
400,37444
401,36912
402,37954
403,37383
404,36953
405,37904
406,24459
407,50248
408,38145
409,37303
410,40289
411,38175
412,34437
413,36703
414,38756
415,37132
416,37413
417,37684
418,38005
419,37112
420,36762
421,38014
422,37544
423,37574
424,37804
425,37113
426,38095
427,37714
428,37243
429,37513
430,37384
431,37784
432,48083
433,30741
434,34998
435,36542
436,36923
437,41912
438,41852
439,29428
440,37123
441,37624
442,37583
443,37002
444,37594
445,37945
446,37363
447,37363
448,37744
449,38265
450,36652
451,37673
452,38486
453,36802
454,37955
455,38585
456,35921
457,37534
458,37724
459,36051
460,39698
461,37303
462,37854
463,39648
464,38345
465,33797
466,37533
467,37684
468,37183
469,37314
470,37824
471,37283
472,38475
473,37553
474,36392
475,40319
476,36682
477,36752
478,37373
479,36952
480,38315
481,37704
482,37384
483,36692
484,37413
485,47202
486,29148
487,37814
488,37233
489,37674
490,40228
491,37063
492,35330
493,37052
494,36733
495,37814
496,39437
497,36141
498,36632
499,38756
500,37293
501,37374
502,37263
503,37544
504,38325
505,36802
506,37854
507,36722
508,38174
509,36822
510,38966
511,37283
512,41961
513,33567
514,38655
515,37574
516,43676
517,34568
518,32824
519,37693
520,39468
521,36712
522,36171
523,37373
524,38715
525,36963
526,37484
527,37513
528,37023
529,37033
530,38225
531,36822
532,37704
533,37744
534,40980
535,35751
536,51219
537,29930
538,30200
539,25150
540,51069
541,37223
542,37113
543,41131
544,36952
545,35350
546,36321
547,37484
548,38415
549,36492
550,38265
551,37774
552,36662
553,38325
554,37033
555,37874
556,36131
557,39538
558,37043
559,37804
560,37443
561,36602
562,37103
563,38005
564,37513
565,48545
566,28166
567,37003
568,37413
569,37524
570,39968
571,33506
572,38546
573,37533
574,37955
575,34969
576,20602
577,57401
578,37573
579,36632
580,38606
581,37704
582,36472
583,37714
584,38916
585,36141
586,38385
587,37132
588,36893
589,36943
590,39156
591,37063
592,37944
593,37825
594,36491
595,38445
596,42914
597,35249
598,34508
599,37253
600,37554
601,37163
602,37664
603,37283
604,38075
605,36982
606,37935
607,37924
608,36773
609,37944
610,37484
611,38335
612,36962
613,36673
614,38034
615,36752
616,38215
617,39808
618,46000
619,35640
620,30110
621,36882
622,37133
623,40700
624,37904
625,34077
626,37233
627,37002
628,37654
629,101985
630,34759
631,37123
632,37603
633,37353
634,37904
635,37233
636,37374
637,39237
638,37082
639,37032
640,37544
641,37203
642,37864
643,47863
644,6886
645,57922
646,37123
647,38134
648,40959
649,33886
650,37103
651,37163
652,38055
653,36962
654,38134
655,37474
656,37323
657,39257
658,35921
659,37694
660,37744
661,37163
662,37413
663,37924
664,37564
665,37002
666,38235
667,36662
668,37344
669,39327
670,39938
671,34799
672,37563
673,37364
674,39748
675,38906
676,33316
677,37994
678,37804
679,36883
680,37754
681,37694
682,36502
683,38395
684,37594
685,37513
686,37755
687,37453
688,37734
689,36913
690,37734
691,37463
692,37674
693,38366
694,37343
695,36592
696,38225
697,23026
698,54646
699,35881
700,36391
701,39979
702,38615
703,34488
704,36903
705,37734
706,37293
707,37634
708,37994
709,37413
710,36372
711,38585
712,36792
713,37935
714,37984
715,38055
716,36522
717,42042
718,34478
719,37233
720,42874
721,31212
722,38115
723,47352
724,27595
725,651089
726,35249
727,36822
728,37875
729,37744
730,36872
731,37023
732,37794
733,37915
734,23116
735,51700
736,63422
737,13509
738,39216
739,37865
740,35039
741,36321
742,37444
743,37804
744,37333
745,37664
746,36792
747,38455
748,37824
749,37374
750,37253
751,37744
752,37964
753,37133
754,36883
755,37253
756,42353
757,33486
758,37503
759,36352
760,44717
761,32354
762,36832
763,38276
764,37042
765,41461
766,34248
767,37283
768,37384
769,37343
770,37794
771,36782
772,35270
773,37984
774,37263
775,37604
776,37885
777,37694
778,37103
779,37523
780,37293
781,37835
782,37483
783,36973
784,38365
785,37414
786,37263
787,36592
788,39106
789,37073
790,38175
791,42473
792,892123
793,33025
794,37043
795,40429
796,37874
797,33697
798,37964
799,37183
800,37444
801,37393
802,37965
803,37493
804,37854
805,37293
806,37464
807,37483
808,37434
809,37744
810,37113
811,37493
812,37774
813,37614
814,37424
815,46320
816,30020
817,47732
818,26834
819,37203
820,37323
821,37985
822,42994
823,32484
824,37223
825,37213
826,37103
827,40990
828,33847
829,38034
830,37894
831,36581
832,37845
833,38064
834,37484
835,37554
836,38405
837,36782
838,37143
839,37815
840,37323
841,38095
842,36922
843,37584
844,38736
845,36241
846,37444
847,37664
848,41150
849,37684
850,33727
851,37914
852,37754
853,36442
854,38345
855,37574
856,36812
857,38666
858,37143
859,37133
860,37664
861,37383
862,37874
863,37604
864,37774
865,37113
866,37794
867,37384
868,37574
869,37794
870,37634
871,18247
872,57361
873,36462
874,37654
875,40830
876,37463
877,35240
878,37012
879,37464
880,37393
881,37063
882,38195
883,36973
884,37603
885,37955
886,37343
887,37995
888,36531
889,37914
890,37995
891,37243
892,37664
893,37112
894,37995
895,36923
896,38004
897,41692
898,37022
899,36021
900,59325
901,19560
902,35269
903,34749
904,37814
905,36792
906,37554
907,50037
908,25652
909,37203
910,37643
911,37112
912,37354
913,37604
914,38315
915,36902
916,37394
917,39858
918,36061
919,36752
920,37584
921,37524
922,37744
923,37603
924,33216
925,42493
926,37193
927,37674
928,40119
929,38224
930,34118
931,37814
932,37373
933,37223
934,37764
935,36932
936,38265
937,38656
938,36822
939,36903
940,37273
941,37915
942,37032
943,37834
944,37423
945,37814
946,38065
947,37083
948,37273
949,37774
950,46761
951,28948
952,37684
953,37092
954,38075
955,39808
956,48134
957,28026
958,35970
959,36873
960,37784
961,37644
962,38095
963,36992
964,37674
965,37394
966,37934
967,36682
968,37985
969,38215
970,37353
971,37373
972,38325
973,36882
974,37223
975,38055
976,36492
977,38315
978,38095
979,37493
980,37834
981,39587
982,38145
983,34287
984,37724
985,37223
986,37463
987,37604
988,37955
989,37253
990,38114
991,37133
992,37614
993,36793
994,38415
995,36482
996,39036
997,47152
998,27795
999,36662
1000,37324
1001,38054
1002,37674
1003,49577
1004,30811
1005,32574
1006,37544
1007,38205
1008,40439
1009,36802
