Iteration,Latency/Jitter (ns)
0,13115
1,3527
2,3076
3,3065
4,3056
5,8296
6,3095
7,3046
8,3066
9,3075
10,3056
11,3066
12,3075
13,3527
14,3337
15,3257
16,3056
17,3056
18,3056
19,7815
20,3146
21,3046
22,3066
23,3065
24,3076
25,3066
26,3065
27,3356
28,3376
29,3416
30,3066
31,3056
32,3066
33,16751
34,3186
35,3055
36,3056
37,3066
38,3055
39,3557
40,3347
41,3327
42,3066
43,3066
44,3066
45,7795
46,3096
47,3066
48,3056
49,3066
50,3055
51,3056
52,3056
53,3476
54,3366
55,3396
56,3066
57,3056
58,3065
59,8125
60,3096
61,3056
62,3066
63,3066
64,3066
65,3056
66,3055
67,3497
68,3337
69,3427
70,3125
71,3066
72,3056
73,7293
74,3106
75,3066
76,3055
77,3066
78,3066
79,3055
80,3056
81,3347
82,3327
83,3487
84,3095
85,3076
86,3066
87,7393
88,3136
89,3075
90,3056
91,3076
92,3065
93,3066
94,3076
95,3326
96,3347
97,3527
98,3126
99,3066
100,3056
101,3066
102,3206
103,3076
104,3055
105,3066
106,3056
107,3065
108,3066
109,3327
110,3277
111,3296
112,3437
113,3106
114,3075
115,3066
116,3176
117,3066
118,3066
119,3066
120,3066
121,3056
122,3066
123,3216
124,3276
125,3327
126,3357
127,3066
128,3066
129,8596
130,3126
131,3066
132,3055
133,3056
134,3066
135,3055
136,3066
137,3397
138,3377
139,3477
140,3076
141,3046
142,3056
143,7665
144,3146
145,3076
146,3066
147,3055
148,3056
149,3056
150,3045
151,3206
152,3346
153,3546
154,3106
155,3056
156,3055
157,7434
158,3155
159,3076
160,3056
161,3065
162,3066
163,3056
164,3065
165,3066
166,3286
167,3336
168,3266
169,3066
170,3046
171,3056
172,8637
173,3076
174,3065
175,3056
176,3066
177,3065
178,3056
179,3066
180,3406
181,3487
182,3135
183,17773
184,3216
185,3076
186,3056
187,3056
188,3055
189,3056
190,3056
191,3256
192,3317
193,3467
194,3095
195,3056
196,3056
197,8425
198,3126
199,3075
200,3076
201,3056
202,3055
203,3056
204,3066
205,3357
206,3367
207,3447
208,3085
209,3066
210,3066
211,7594
212,3116
213,3076
214,3076
215,3065
216,3066
217,3056
218,3065
219,3356
220,3326
221,3376
222,3156
223,3065
224,3056
225,8136
226,3156
227,3076
228,3056
229,3056
230,3055
231,3056
232,3056
233,3216
234,3357
