Iteration,Latency/Jitter (ns)
0,48043
1,-16859
2,3400
3,-5598
4,-618
5,12907
6,-14584
7,6104
8,-317
9,38555
10,-40213
11,54285
12,366554
13,-413696
14,-7411
15,3289
16,-5047
17,164
18,12867
19,-13914
20,3139
21,2037
22,-6710
23,3129
24,55698
25,-23671
26,-23902
27,37703
28,-41384
29,-4917
30,705
31,12907
32,-14605
33,4321
34,1346
35,-7010
36,3469
37,55548
38,-22620
39,-24864
40,38105
41,-41756
42,440893
43,-446708
44,15021
45,-15386
46,4282
47,1265
48,-7481
49,3800
50,55738
51,-23722
52,-23271
53,37464
54,-41175
55,-5788
56,113
57,13429
58,-14214
59,4040
60,1236
61,-6950
62,3419
63,58253
64,-25816
65,-24333
66,38065
67,-42267
68,-4275
69,-1730
70,13618
71,-13362
72,29408
73,-23040
74,-8934
75,4171
76,55988
77,-61723
78,14901
79,37844
80,-23261
81,-23311
82,-1790
83,14791
84,-15486
85,4351
86,2247
87,-8022
88,3419
89,56339
90,-62064
91,15112
92,37954
93,-42677
94,-678
95,-5388
96,4432
97,-5197
98,4702
99,2447
100,-8523
101,4201
102,56890
103,-62605
104,14661
105,-15206
106,16234
107,-9936
108,37403
109,-34742
110,-4766
111,2257
112,29789
113,-34111
114,3740
115,-3925
116,-1359
117,14159
118,-15275
119,30670
120,-23832
121,37935
122,-34693
123,-4996
124,4361
125,2317
126,-7931
127,3649
128,-5437
129,-648
130,14871
131,-16428
132,30761
133,-23582
134,37885
135,-35865
136,-4225
137,3590
138,3129
139,-4416
140,6696
141,-10607
142,-1710
143,15341
144,-16969
145,30501
146,-22830
147,41831
148,-28961
149,-15767
150,3700
151,2778
152,-7150
153,4401
154,-3333
155,-2933
156,4261
157,-2442
158,27275
159,-24283
160,38155
161,-23732
162,38105
163,-49190
164,2408
165,-8293
166,2107
167,-2923
168,-2962
169,15221
170,-15626
171,30560
172,-22840
173,37153
174,-22679
175,37253
176,-49080
177,2768
178,-9114
179,4492
180,-5047
181,37884
182,-25385
183,-14504
184,4061
185,3650
186,36451
187,-23181
188,37714
189,-50181
190,2898
191,-8062
192,3730
193,-4726
194,-408
195,3520
196,-5207
197,3860
198,2718
199,-8312
200,10062
201,51039
202,-50232
203,2348
204,-8734
205,3490
206,-3765
207,-1509
208,4230
209,-5196
210,4631
211,2298
212,-8483
213,22715
214,37464
215,-51414
216,4792
217,37393
218,-42116
219,-4736
220,-2141
221,3559
222,-2521
223,3710
224,2217
225,36892
226,-23241
227,37604
228,-23110
229,-22921
230,37113
231,-41956
232,-5277
233,-1069
234,4011
235,-4025
236,3810
237,2117
238,-9364
239,23356
240,37785
241,-23592
242,-23010
243,37634
244,-41826
245,-5157
246,-1640
247,3079
248,49626
249,-48548
250,2567
251,-9945
252,24078
253,36261
254,-57916
255,12787
256,37273
257,-42136
258,-5938
259,-2352
260,5003
261,-4546
262,4171
263,2848
264,-8313
265,4462
266,55137
267,-23081
268,-23491
269,37163
270,-22219
271,-23201
272,-1830
273,4401
274,-5748
275,3510
276,5152
277,-9555
278,22195
279,38215
280,-62094
281,15081
282,41752
283,-27659
284,-23682
285,-738
286,4371
287,-4726
288,3950
289,2538
290,-5738
291,1356
292,54706
293,-61102
294,14520
295,38345
296,-44521
297,-1600
298,-3053
299,4722
300,-4315
301,3810
302,3279
303,-8382
304,5112
305,54626
306,-62355
307,17607
308,-17430
309,29789
310,-23922
311,38936
312,-27028
313,-13342
314,3620
