Iteration,Latency/Jitter (ns)
0,-951960
1,-177411
2,-32608
3,19830
4,-981806
5,-25264
6,-23541
7,21483
8,-981816
9,-24613
10,-23291
11,21133
12,-980964
13,-25415
14,19880
15,-981805
16,-25395
17,-22720
18,20822
19,-981805
20,-26277
21,21774
22,-981084
23,-25746
24,-23501
25,21393
26,-981845
27,-25716
28,-23812
29,21704
30,-981976
31,-25485
32,20352
33,-982006
34,-24333
35,-24283
36,24209
37,-980804
38,-28972
39,21384
40,-982057
41,-24853
42,-23201
43,21223
44,-982187
45,-23561
46,-25395
47,20983
48,-982066
49,-24884
50,20551
51,-982067
52,-24312
53,-23391
54,20661
55,-981997
56,-24342
57,21152
58,-982066
59,-24373
60,-24162
61,20401
62,-972598
63,-32428
64,-25605
65,22285
66,-981966
67,-26417
68,21874
69,-982056
70,-18151
71,-29222
72,20301
73,-981906
74,-25926
75,22035
76,-982036
77,-25305
78,-23261
79,20352
80,-982046
81,-25495
82,-23371
83,22094
84,-981194
85,-25706
86,20492
87,-981956
88,-25205
89,-21728
90,20050
91,-981896
92,-25606
93,-22649
94,21072
95,-982096
96,-24633
97,20622
98,-981395
99,-26888
100,-22419
101,20922
102,-982086
103,-25395
104,21494
105,-982097
106,-24933
107,-24043
108,20943
109,-981996
110,-24684
111,21554
112,-982066
113,-25616
114,-19293
115,17356
116,-981926
117,-25976
118,-22820
119,21443
120,-981996
121,-24022
122,19991
123,-982067
124,-25825
125,-22870
126,22194
127,-982227
128,-25555
129,20822
130,-981846
131,-24944
132,-23362
133,21073
134,-982126
135,-24383
136,-25916
137,22465
138,-982107
139,-25435
140,22666
141,-981235
142,-26517
143,-23411
144,21514
145,-982597
146,-24564
147,25031
148,-981265
149,-30074
150,-24012
151,22435
152,-980523
153,-27248
154,-23592
155,21404
156,-982027
157,-25505
158,21553
159,-982086
160,-25114
161,-23562
162,21604
163,-982036
164,-25134
165,-18943
166,17396
167,-981085
168,-27579
169,22215
170,-982106
171,-21948
172,-27158
173,21603
174,-981836
175,-26016
176,21643
177,-981996
178,-22649
179,-25956
180,20872
181,-980724
182,-25615
183,20181
184,-981946
185,-18341
186,-29523
187,20412
188,-981726
189,-25585
190,-22930
191,23828
192,-980724
193,-29202
194,20982
195,-982047
196,-24873
197,-23692
198,21654
199,-982076
200,-24894
201,20712
202,-982107
203,-24322
204,-23562
205,20342
206,-982167
207,-24172
208,-24954
209,22305
210,-982046
211,-25325
212,21473
213,-982086
214,-25254
215,-23111
216,20852
217,-981856
218,-23532
219,19640
220,-981855
221,-25175
222,-24212
223,21864
224,-982096
225,-25365
226,-21097
227,19480
228,-981986
229,-25716
230,20472
231,-982166
232,-23882
233,-23532
234,21283
235,-982006
236,-25565
237,21544
238,-982117
239,-25364
240,-23051
241,21384
242,-981866
243,-25916
244,-21748
245,19359
246,-981906
247,-25005
248,22506
249,-982006
250,-26307
251,-22118
252,19860
253,-982026
254,-25515
255,21634
256,-981976
257,-25515
258,-23071
259,21794
260,-981675
261,-26848
262,-22659
263,20722
264,-982036
265,-24804
266,20752
267,-982557
268,-20406
269,-24904
270,19169
271,-981786
272,-26667
273,-22510
274,21544
275,-982046
276,-25696
277,21354
278,-981105
279,-25825
280,-23482
281,21223
